target,model,split,n,mae,rmse,bias,interval_coverage
load_10min,hist_gradient_boosting,audit,26496,178.4708238967351,246.49239685950405,-28.05528358011627,
load_10min,ridge,audit,26496,207.9676764616955,264.17616482469884,3.3601622996969955,
load_10min,seasonal_naive,audit,26496,224.39401196029587,312.5288189892702,9.291919255736726,
load_10min,hist_gradient_boosting,development,21600,147.0771740425968,199.78133195578997,-28.546498986955655,
load_10min,seasonal_naive,development,21600,158.94832838194444,216.02605840959126,-4.508459543981476,
load_10min,ridge,development,21600,221.56869225726433,283.84476913806515,-100.65332167211908,
price_10min,hist_gradient_boosting,audit,26496,0.042514442207067626,0.060296936530185766,-0.006347608782891658,
price_10min,ridge,audit,26496,0.0426555191471574,0.05612363345892255,0.0029093445027516237,
price_10min,seasonal_naive,audit,26496,0.052069231204710145,0.07710763484501819,-0.008876632321859904,
price_10min,hist_gradient_boosting,development,21600,0.04073065636433383,0.05505814403664732,-0.005868675000022888,
price_10min,seasonal_naive,development,21600,0.0471069050925926,0.06615037936871564,0.010928344907407406,
price_10min,ridge,development,21600,0.059665488966735576,0.08482095080618117,-0.03458287006650622,
pv_hourly,hist_gradient_boosting_residual,audit,17628,172.15008310461113,337.0426804276434,-51.71467480752762,
pv_hourly,ridge_residual,audit,17628,310.33398462368973,510.4429678680175,48.32399203193427,
pv_hourly,raw_official,audit,17628,362.63474542772866,620.5558210708,-34.166772312986915,
pv_hourly,hist_gradient_boosting_residual,development,14400,209.04711847602636,381.80059757534383,5.528459765797286,
pv_hourly,ridge_residual,development,14400,319.40962023099036,512.5633931909013,57.771373090090314,
pv_hourly,raw_official,development,14400,363.8427706099537,608.5363063119771,-32.59783063773149,
