case,policy,alpha,split,days,cash_cost,normal_cost,emergency_cost,emergency_kwh,surplus_kwh,final_energy_kwh
q3_fixed_price,adaptive_alpha70,0.7,audit,184,8182014.333928833,7687254.257083474,494760.0768453589,79640.653638112,1242270.8973055326,5902.735740720847
q3_fixed_price,adaptive_alpha70,0.7,development,150,5786517.778897327,5207879.914082079,578637.8648152482,90501.98938081534,866432.6780363868,5592.518943064742
q3_fixed_price,adaptive_economic,0.85,audit,184,8186726.509445413,8045019.596078493,141706.91336692104,22812.843202852113,1702792.0545019852,6176.872484405277
q3_fixed_price,adaptive_economic,0.85,development,150,5621449.852288948,5458675.906390035,162773.9458989139,25663.62889701344,1170621.325154274,6200.690617412724
q3_fixed_price,static_alpha70,0.7,audit,184,8242432.347768178,7685202.234392693,557230.1133754846,93272.3470725433,1237262.6197211405,6010.999579846777
q3_fixed_price,static_alpha70,0.7,development,150,5896542.076921911,5182747.936863667,713794.140058244,112145.74247657592,853052.5902059497,6244.9994681282615
q4_variable_price,adaptive_alpha70,0.7,audit,184,8803733.761566618,8304992.072626458,498741.68894016143,77208.59643530422,1236604.8997867978,5956.099846925427
q4_variable_price,adaptive_alpha70,0.7,development,150,5876593.827160644,5306456.624313416,570137.2028472278,90125.1393330745,862863.6550303377,5547.939938255808
q4_variable_price,adaptive_economic,0.85,audit,184,8827989.007209899,8681737.071636193,146251.93557370745,22029.899353860936,1691290.8288816793,6246.633076958757
q4_variable_price,adaptive_economic,0.85,development,150,5712379.7528007785,5559860.700874801,152519.05192597775,24492.141839366726,1163915.381959568,6189.42433432206
q4_variable_price,static_alpha70,0.7,audit,184,8849675.259399572,8303796.980790896,545878.2786086764,89723.81931360895,1230096.462346921,6008.406450822581
q4_variable_price,static_alpha70,0.7,development,150,5985547.064596676,5282416.5823929235,703130.4822037525,112722.67395543463,852410.2490548296,6256.900684747029
