scenario,policy,split,month,days,cash_cost,normal_cost,adjustment_cost,emergency_cost,emergency_kwh,surplus_kwh,gate_passes,gate_expected_net
q3,adaptive_no_updates,audit,2025-07,31,1557962.9213584948,1522847.6914551521,0.0,35115.22990334264,6300.559960186042,363658.9531795365,0,0.0
q3,adaptive_no_updates,audit,2025-08,31,1284171.4529004022,1203813.625327928,0.0,80357.82757247426,12031.726870531922,244208.9751927587,0,0.0
q3,adaptive_no_updates,audit,2025-09,30,1222484.275248042,1006954.1226938986,0.0,215530.1525541435,33379.25841861358,170643.5603917811,0,0.0
q3,adaptive_no_updates,audit,2025-10,31,1176507.3672465945,1090002.5479939186,0.0,86504.8192526759,13274.715276856437,237652.586749768,0,0.0
q3,adaptive_no_updates,audit,2025-11,30,1270846.3321810416,1221315.4025374262,0.0,49530.929643615294,8566.294333321359,80496.1451673103,0,0.0
q3,adaptive_no_updates,audit,2025-12,31,1679724.7490267823,1642729.9630034638,0.0,36994.786023318535,7329.291251504609,142408.1426971935,0,0.0
q3,adaptive_no_updates,development,2025-02,28,1197137.8520801866,1177361.080314462,0.0,19776.771765724545,3366.9657064719554,118070.99103582831,0,0.0
q3,adaptive_no_updates,development,2025-03,31,1230320.7430501364,1054432.652324461,0.0,175888.09072567552,27535.797594549604,168003.33777405747,0,0.0
q3,adaptive_no_updates,development,2025-04,30,936533.0440637444,910725.4770947815,0.0,25807.566968962878,4088.4763112281503,250308.0304782572,0,0.0
q3,adaptive_no_updates,development,2025-05,31,989348.2737079858,896178.9565827929,0.0,93169.31712519289,14668.294610949415,232353.8234071168,0,0.0
q3,adaptive_no_updates,development,2025-06,30,1438020.080074741,1172392.2276385282,0.0,265627.8524362128,41234.70173632132,102852.41670778711,0,0.0
q3,adaptive_rolling,audit,2025-07,31,1572069.1184321467,1518130.8116033187,44447.923139226994,9490.383689600932,1935.1511439538815,381580.68031232373,38,40037.98194865871
q3,adaptive_rolling,audit,2025-08,31,1281675.6808133586,1203277.4153083356,6185.811180670006,72212.454324353,10763.420691479627,245930.2342746056,14,6947.803166551947
q3,adaptive_rolling,audit,2025-09,30,1188287.176669181,1005700.5168196674,19284.238057340706,163302.42179217283,25050.219316770606,173397.3200151941,31,16425.300271751432
q3,adaptive_rolling,audit,2025-10,31,1175118.5018184835,1088460.8162312843,20082.939213243215,66574.74637395592,10043.264194476014,244829.2559699989,30,18119.310946312133
q3,adaptive_rolling,audit,2025-11,30,1258597.7042560535,1220084.284937213,28817.688306039137,9695.731012801467,1839.034865444845,94356.93335292104,37,24292.43666315544
q3,adaptive_rolling,audit,2025-12,31,1688310.5368979673,1641865.1622983355,31032.803688536565,15412.570911095374,3064.7025969632455,160367.54470234687,36,26294.08751233804
q3,adaptive_rolling,development,2025-02,28,1198796.5478221066,1176757.7546529232,3154.873710054328,18883.919459129265,3237.567605910229,119095.84296347007,9,3561.7955173028654
q3,adaptive_rolling,development,2025-03,31,1212488.0104408404,1053397.5785038203,21460.893929527225,137629.5380074928,21170.011130056388,172973.80527652559,32,14310.169945313253
q3,adaptive_rolling,development,2025-04,30,946104.5340016575,910069.537964861,14023.625299889603,22011.37073690688,3411.8720268259544,258238.63178706434,25,11746.308184943142
