scenario,policy,split,days,cash_cost,normal_cost,adjustment_cost,emergency_cost,emergency_kwh,surplus_kwh,adjustment_up_kwh,adjustment_down_kwh,gate_passes,gate_expected_net,final_energy_kwh
q3,adaptive_no_updates,audit,184,8191697.097961358,7687663.353011788,0.0,504033.74494957016,80881.84611101395,1239068.363378348,0.0,0.0,0,0.0,5907.393068154309
q3,adaptive_no_updates,development,150,5791359.992976794,5211090.393955026,0.0,580269.5990217687,90894.23595952045,871588.5994030469,0.0,0.0,0,0.0,5561.232129196146
q3,adaptive_rolling,audit,184,8164058.71888719,7677519.007198154,149851.40358505663,336688.3081039795,52695.79280908822,1300461.9686273902,113185.69633854287,6152.9555947617855,186,132116.92050876768,5913.829549541731
q3,adaptive_rolling,development,150,5741018.418783693,5204543.672548791,89710.87616609868,446763.87006880244,69126.12487163662,898907.8748304952,66534.18332472375,4585.954226516936,117,71998.07481662693,5561.232129196146
q3,static,audit,184,8242432.347768178,7685202.234392693,0.0,557230.1133754846,93272.3470725433,1237262.6197211405,0.0,0.0,0,0.0,6010.999579846777
q3,static,development,150,5896542.076921911,5182747.936863667,0.0,713794.140058244,112145.74247657592,853052.5902059497,0.0,0.0,0,0.0,6244.9994681282615
q4_2,adaptive_no_updates,audit,184,8870898.327729976,8306293.841913695,0.0,564604.4858162808,84084.26524260482,1273481.7145124616,0.0,0.0,0,0.0,5958.052312535835
q4_2,adaptive_no_updates,development,150,6010609.6172483945,5409036.887400569,0.0,601572.7298478255,96990.49863552683,1023917.7749759579,0.0,0.0,0,0.0,5584.541975859869
q4_2,adaptive_rolling,audit,184,8870898.327729976,8306293.841913695,0.0,564604.4858162808,84084.26524260482,1273481.7145124616,0.0,0.0,0,0.0,5958.052312535835
q4_2,adaptive_rolling,development,150,6010609.6172483945,5409036.887400569,0.0,601572.7298478255,96990.49863552683,1023917.7749759579,0.0,0.0,0,0.0,5584.541975859869
q4_2,static,audit,184,8918828.002287246,8317786.922304986,0.0,601041.0799822598,95085.24461255077,1285869.888092487,0.0,0.0,0,0.0,6056.685683897781
q4_2,static,development,150,6108874.554410479,5383336.562969242,0.0,725537.9914412372,118156.06613279865,1009701.8964327726,0.0,0.0,0,0.0,6318.963868246602
q4_3,adaptive_no_updates,audit,184,8817238.845416317,8305246.808866302,0.0,511992.036550016,79323.73421110553,1234006.3707398192,0.0,0.0,0,0.0,5956.241694018047
q4_3,adaptive_no_updates,development,150,5878324.477710746,5310587.413988565,0.0,567737.0637221817,90175.92882945563,867578.7987039345,0.0,0.0,0,0.0,5550.614830342754
q4_3,adaptive_rolling,audit,184,8790098.674328921,8293989.11920122,155805.3117677787,340304.24335992365,51892.70291648174,1286222.3381527506,105267.95000449017,6845.923416611452,181,136793.57165735125,5962.678175405469
q4_3,adaptive_rolling,development,150,5831604.477340244,5303734.5894337855,88046.23899436535,439823.6489120926,68851.02466334064,894442.1480630611,66121.02645659118,4721.443118879733,117,68195.26611955983,5550.614830342754
q4_3,static,audit,184,8848402.478160063,8304394.72655844,0.0,544007.7516016223,89949.39325367569,1229814.05198244,0.0,0.0,0,0.0,6035.273084765503
q4_3,static,development,150,5985763.645434237,5283530.452854746,0.0,702233.192579492,112441.63119426726,850908.9251490452,0.0,0.0,0,0.0,6256.900684747031
