step,internal_start,internal_end,input_time_label,template_label,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,purchase_kwh,charge_kwh,discharge_kwh,unused_supply_kwh,energy_before_kwh,energy_after_kwh,purchase_cost_yuan
0,00:10,00:20,00:10:00,0:10-0:20,0.4248,3439.8466,0.0,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,0.0,6000.0,6750.0,597.5411392799999
1,00:20,00:30,00:20:00,0:20-0:30,0.4245,3437.9792,0.0,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,0.0,6750.0,7500.0,596.9870283999999
2,00:30,00:40,00:30:00,0:30-0:40,0.4269,3444.3031,0.0,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,0.0,7500.0,8250.0,600.812165565
3,00:40,00:50,00:40:00,0:40-0:50,0.4272,3454.4437,0.0,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,0.0,8250.0,9000.0,601.9563914400001
4,00:50,01:00,00:50:00,0:50-1:00,0.4271,3458.8273,0.0,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,0.0,9000.0,9750.0,602.127523305
5,01:00,01:10,01:00:00,1:00-1:10,0.4285,3459.8401,0.0,576.6400166666666,0.0,576.6400166666666,0.0,0.0,0.0,9750.0,9750.0,247.09024714166665
6,01:10,01:20,01:10:00,1:10-1:20,0.4311,3467.1582,0.0,577.8597,0.0,577.8597,0.0,0.0,0.0,9750.0,9750.0,249.11531666999997
7,01:20,01:30,01:20:00,1:20-1:30,0.4302,3467.9632,0.0,577.9938666666667,0.0,577.9938666666667,0.0,0.0,0.0,9750.0,9750.0,248.65296144
8,01:30,01:40,01:30:00,1:30-1:40,0.4279,3466.9683,0.0,577.82805,0.0,911.1613833333333,333.3333333333333,0.0,0.0,9750.0,10050.0,389.8859559283333
9,01:40,01:50,01:40:00,1:40-1:50,0.4312,3482.4927,0.0,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0,10050.0,250.27514204
10,01:50,02:00,01:50:00,1:50-2:00,0.4333,3495.0841,0.0,582.5140166666666,0.0,582.5140166666666,0.0,0.0,0.0,10050.0,10050.0,252.40332342166667
11,02:00,02:10,02:00:00,2:00-2:10,0.4311,3498.4443,0.0,583.0740499999999,0.0,583.0740499999999,0.0,0.0,0.0,10050.0,10050.0,251.36322295499997
12,02:10,02:20,02:10:00,2:10-2:20,0.4293,3505.2295,0.0,584.2049166666666,0.0,584.2049166666666,0.0,0.0,0.0,10050.0,10050.0,250.79917072499998
13,02:20,02:30,02:20:00,2:20-2:30,0.4324,3512.6387,0.0,585.4397833333333,0.0,585.4397833333333,0.0,0.0,0.0,10050.0,10050.0,253.1441623133333
14,02:30,02:40,02:30:00,2:30-2:40,0.4367,3516.8685,0.0,586.1447499999999,0.0,586.1447499999999,0.0,0.0,0.0,10050.0,10050.0,255.96941232499995
15,02:40,02:50,02:40:00,2:40-2:50,0.4348,3517.9246,0.0,586.3207666666666,0.0,586.3207666666666,0.0,0.0,0.0,10050.0,10050.0,254.93226934666666
16,02:50,03:00,02:50:00,2:50-3:00,0.4335,3518.5518,0.0,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0,10050.0,254.21536755
17,03:00,03:10,03:00:00,3:00-3:10,0.4357,3521.0976,0.0,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0,10050.0,255.69037072
18,03:10,03:20,03:10:00,3:10-3:20,0.4374,3526.9261,0.0,587.8210166666667,0.0,587.8210166666667,0.0,0.0,0.0,10050.0,10050.0,257.11291269
19,03:20,03:30,03:20:00,3:20-3:30,0.4371,3537.2854,0.0,589.5475666666666,0.0,589.5475666666666,0.0,0.0,0.0,10050.0,10050.0,257.69124138999996
