step,input_time_label,internal_start,internal_end,template_label
0,00:10:00,00:10,00:20,0:10-0:20
1,00:20:00,00:20,00:30,0:20-0:30
2,00:30:00,00:30,00:40,0:30-0:40
3,00:40:00,00:40,00:50,0:40-0:50
4,00:50:00,00:50,01:00,0:50-1:00
5,01:00:00,01:00,01:10,1:00-1:10
6,01:10:00,01:10,01:20,1:10-1:20
7,01:20:00,01:20,01:30,1:20-1:30
8,01:30:00,01:30,01:40,1:30-1:40
9,01:40:00,01:40,01:50,1:40-1:50
10,01:50:00,01:50,02:00,1:50-2:00
11,02:00:00,02:00,02:10,2:00-2:10
12,02:10:00,02:10,02:20,2:10-2:20
13,02:20:00,02:20,02:30,2:20-2:30
14,02:30:00,02:30,02:40,2:30-2:40
15,02:40:00,02:40,02:50,2:40-2:50
16,02:50:00,02:50,03:00,2:50-3:00
17,03:00:00,03:00,03:10,3:00-3:10
18,03:10:00,03:10,03:20,3:10-3:20
19,03:20:00,03:20,03:30,3:20-3:30
20,03:30:00,03:30,03:40,3:30-3:40
21,03:40:00,03:40,03:50,3:40-3:50
22,03:50:00,03:50,04:00,3:50-4:00
23,04:00:00,04:00,04:10,4:00-4:10
24,04:10:00,04:10,04:20,4:10-4:20
25,04:20:00,04:20,04:30,4:20-4:30
26,04:30:00,04:30,04:40,4:30-4:40
27,04:40:00,04:40,04:50,4:40-4:50
28,04:50:00,04:50,05:00,4:50-5:00
29,05:00:00,05:00,05:10,5:00-5:10
30,05:10:00,05:10,05:20,5:10-5:20
31,05:20:00,05:20,05:30,5:20-5:30
32,05:30:00,05:30,05:40,5:30-5:40
33,05:40:00,05:40,05:50,5:40-5:50
34,05:50:00,05:50,06:00,5:50-6:00
35,06:00:00,06:00,06:10,6:00-6:10
36,06:10:00,06:10,06:20,6:10-6:20
37,06:20:00,06:20,06:30,6:20-6:30
38,06:30:00,06:30,06:40,6:30-6:40
39,06:40:00,06:40,06:50,6:40-6:50
40,06:50:00,06:50,07:00,6:50-7:00
41,07:00:00,07:00,07:10,7:00-7:10
42,07:10:00,07:10,07:20,7:10-7:20
43,07:20:00,07:20,07:30,7:20-7:30
44,07:30:00,07:30,07:40,7:30-7:40
45,07:40:00,07:40,07:50,7:40-7:50
46,07:50:00,07:50,08:00,7:50-8:00
47,08:00:00,08:00,08:10,8:00-8:10
48,08:10:00,08:10,08:20,8:10-8:20
49,08:20:00,08:20,08:30,8:20-8:30
50,08:30:00,08:30,08:40,8:30-8:40
51,08:40:00,08:40,08:50,8:40-8:50
52,08:50:00,08:50,09:00,8:50-9:00
53,09:00:00,09:00,09:10,9:00-9:10
54,09:10:00,09:10,09:20,9:10-9:20
55,09:20:00,09:20,09:30,9:20-9:30
56,09:30:00,09:30,09:40,9:30-9:40
57,09:40:00,09:40,09:50,9:40-9:50
58,09:50:00,09:50,10:00,9:50-10:00
59,10:00:00,10:00,10:10,10:00-10:10
60,10:10,10:10,10:20,10:10-10:20
61,10:20,10:20,10:30,10:20-10:30
62,10:30,10:30,10:40,10:30-10:40
63,10:40,10:40,10:50,10:40-10:50
64,10:50,10:50,11:00,10:50-11:00
65,11:00,11:00,11:10,11:00-11:10
66,11:10,11:10,11:20,11:10-11:20
67,11:20,11:20,11:30,11:20-11:30
68,11:30,11:30,11:40,11:30-11:40
69,11:40,11:40,11:50,11:40-11:50
70,11:50,11:50,12:00,11:50-12:00
71,12:00,12:00,12:10,12:00-12:10
72,12:10,12:10,12:20,12:10-12:20
73,12:20,12:20,12:30,12:20-12:30
74,12:30,12:30,12:40,12:30-12:40
75,12:40,12:40,12:50,12:40-12:50
76,12:50,12:50,13:00,12:50-13:00
77,13:00,13:00,13:10,13:00-13:10
78,13:10,13:10,13:20,13:10-13:20
79,13:20,13:20,13:30,13:20-13:30
80,13:30,13:30,13:40,13:30-13:40
81,13:40,13:40,13:50,13:40-13:50
82,13:50,13:50,14:00,13:50-14:00
83,14:00,14:00,14:10,14:00-14:10
84,14:10,14:10,14:20,14:10-14:20
85,14:20,14:20,14:30,14:20-14:30
86,14:30,14:30,14:40,14:30-14:40
87,14:40,14:40,14:50,14:40-14:50
88,14:50,14:50,15:00,14:50-15:00
89,15:00,15:00,15:10,15:00-15:10
90,15:10,15:10,15:20,15:10-15:20
91,15:20,15:20,15:30,15:20-15:30
92,15:30,15:30,15:40,15:30-15:40
93,15:40,15:40,15:50,15:40-15:50
94,15:50,15:50,16:00,15:50-16:00
95,16:00,16:00,16:10,16:00-16:10
96,16:10,16:10,16:20,16:10-16:20
97,16:20,16:20,16:30,16:20-16:30
98,16:30,16:30,16:40,16:30-16:40
99,16:40,16:40,16:50,16:40-16:50
100,16:50,16:50,17:00,16:50-17:00
101,17:00,17:00,17:10,17:00-17:10
102,17:10,17:10,17:20,17:10-17:20
103,17:20,17:20,17:30,17:20-17:30
104,17:30,17:30,17:40,17:30-17:40
105,17:40,17:40,17:50,17:40-17:50
106,17:50,17:50,18:00,17:50-18:00
107,18:00,18:00,18:10,18:00-18:10
108,18:10,18:10,18:20,18:10-18:20
109,18:20,18:20,18:30,18:20-18:30
110,18:30,18:30,18:40,18:30-18:40
111,18:40,18:40,18:50,18:40-18:50
112,18:50,18:50,19:00,18:50-19:00
113,19:00,19:00,19:10,19:00-19:10
114,19:10,19:10,19:20,19:10-19:20
115,19:20,19:20,19:30,19:20-19:30
116,19:30,19:30,19:40,19:30-19:40
117,19:40,19:40,19:50,19:40-19:50
118,19:50,19:50,20:00,19:50-20:00
119,20:00,20:00,20:10,20:00-20:10
120,20:10,20:10,20:20,20:10-20:20
121,20:20,20:20,20:30,20:20-20:30
122,20:30,20:30,20:40,20:30-20:40
123,20:40,20:40,20:50,20:40-20:50
124,20:50,20:50,21:00,20:50-21:00
125,21:00,21:00,21:10,21:00-21:10
126,21:10,21:10,21:20,21:10-21:20
127,21:20,21:20,21:30,21:20-21:30
128,21:30,21:30,21:40,21:30-21:40
129,21:40,21:40,21:50,21:40-21:50
130,21:50,21:50,22:00,21:50-22:00
131,22:00,22:00,22:10,22:00-22:10
132,22:10,22:10,22:20,22:10-22:20
133,22:20,22:20,22:30,22:20-22:30
134,22:30,22:30,22:40,22:30-22:40
135,22:40,22:40,22:50,22:40-22:50
136,22:50,22:50,23:00,22:50-23:00
137,23:00,23:00,23:10,23:00-23:10
138,23:10,23:10,23:20,23:10-23:20
139,23:20,23:20,23:30,23:20-23:30
140,23:30,23:30,23:40,23:30-23:40
141,23:40,23:40,23:50,23:40-23:50
142,23:50,23:50,00:00+1,23:50-0:00+1
143,0:00+1,00:00+1,00:10+1,0:00+1-0:10+1
