step,internal_start,internal_end,energy_at_lower_bound,energy_at_upper_bound,charge_at_power_limit,discharge_at_power_limit
0,00:10,00:20,0,0,1,0
1,00:20,00:30,0,0,1,0
2,00:30,00:40,0,0,1,0
3,00:40,00:50,0,0,1,0
4,00:50,01:00,0,0,1,0
5,01:00,01:10,0,0,0,0
6,01:10,01:20,0,0,0,0
7,01:20,01:30,0,0,0,0
8,01:30,01:40,0,0,0,0
9,01:40,01:50,0,0,0,0
10,01:50,02:00,0,0,0,0
11,02:00,02:10,0,0,0,0
12,02:10,02:20,0,0,0,0
13,02:20,02:30,0,0,0,0
14,02:30,02:40,0,0,0,0
15,02:40,02:50,0,0,0,0
16,02:50,03:00,0,0,0,0
17,03:00,03:10,0,0,0,0
18,03:10,03:20,0,0,0,0
19,03:20,03:30,0,0,0,0
20,03:30,03:40,0,0,0,0
21,03:40,03:50,0,0,0,0
22,03:50,04:00,0,0,0,0
23,04:00,04:10,0,0,0,0
24,04:10,04:20,0,0,0,0
25,04:20,04:30,0,0,0,0
26,04:30,04:40,0,0,0,0
27,04:40,04:50,0,0,0,0
28,04:50,05:00,0,0,0,0
29,05:00,05:10,0,0,0,0
30,05:10,05:20,0,0,0,0
31,05:20,05:30,0,0,0,0
32,05:30,05:40,0,0,0,0
33,05:40,05:50,0,0,1,0
34,05:50,06:00,0,1,0,0
35,06:00,06:10,0,1,0,0
36,06:10,06:20,0,0,0,0
37,06:20,06:30,0,0,0,0
38,06:30,06:40,0,0,0,0
39,06:40,06:50,0,0,0,0
40,06:50,07:00,0,0,0,0
41,07:00,07:10,0,0,0,0
42,07:10,07:20,0,0,0,0
43,07:20,07:30,0,0,0,0
44,07:30,07:40,0,0,0,0
45,07:40,07:50,0,0,0,0
46,07:50,08:00,0,0,0,0
47,08:00,08:10,0,0,0,0
48,08:10,08:20,0,0,0,0
49,08:20,08:30,0,0,0,0
50,08:30,08:40,0,0,0,0
51,08:40,08:50,0,0,0,0
52,08:50,09:00,0,0,0,0
53,09:00,09:10,0,0,0,0
54,09:10,09:20,0,0,0,0
55,09:20,09:30,0,0,0,0
56,09:30,09:40,0,0,0,0
57,09:40,09:50,0,0,0,0
58,09:50,10:00,0,0,0,0
59,10:00,10:10,0,0,0,0
60,10:10,10:20,0,0,0,0
61,10:20,10:30,0,0,0,0
62,10:30,10:40,0,0,0,0
63,10:40,10:50,0,0,0,0
64,10:50,11:00,0,0,0,0
65,11:00,11:10,0,0,0,0
66,11:10,11:20,0,0,1,0
67,11:20,11:30,0,0,0,0
68,11:30,11:40,0,0,0,0
69,11:40,11:50,0,0,0,0
70,11:50,12:00,0,0,1,0
71,12:00,12:10,0,0,1,0
72,12:10,12:20,0,0,1,0
73,12:20,12:30,0,0,1,0
74,12:30,12:40,0,0,1,0
75,12:40,12:50,0,0,1,0
76,12:50,13:00,0,0,0,0
77,13:00,13:10,0,0,0,0
78,13:10,13:20,0,0,0,0
79,13:20,13:30,0,0,0,0
80,13:30,13:40,0,0,0,0
81,13:40,13:50,0,0,0,0
82,13:50,14:00,0,0,0,0
83,14:00,14:10,0,0,0,0
84,14:10,14:20,0,0,0,0
85,14:20,14:30,0,0,0,0
86,14:30,14:40,0,0,0,0
87,14:40,14:50,0,1,0,0
88,14:50,15:00,0,0,0,0
89,15:00,15:10,0,0,0,0
90,15:10,15:20,0,0,0,0
91,15:20,15:30,0,1,0,0
92,15:30,15:40,0,1,0,0
93,15:40,15:50,0,1,0,0
94,15:50,16:00,0,1,0,0
95,16:00,16:10,0,1,0,0
96,16:10,16:20,0,1,0,0
97,16:20,16:30,0,1,0,0
98,16:30,16:40,0,1,0,0
99,16:40,16:50,0,1,0,0
100,16:50,17:00,0,1,0,0
101,17:00,17:10,0,1,0,0
102,17:10,17:20,0,1,0,0
103,17:20,17:30,0,1,0,0
104,17:30,17:40,0,1,0,0
105,17:40,17:50,0,1,0,0
106,17:50,18:00,0,1,0,0
107,18:00,18:10,0,1,0,0
108,18:10,18:20,0,1,0,0
109,18:20,18:30,0,0,0,0
110,18:30,18:40,0,0,0,0
111,18:40,18:50,0,0,0,0
112,18:50,19:00,0,0,0,0
113,19:00,19:10,0,0,0,0
114,19:10,19:20,0,0,0,0
115,19:20,19:30,0,0,0,0
116,19:30,19:40,0,0,0,0
117,19:40,19:50,0,0,0,0
118,19:50,20:00,0,0,0,0
119,20:00,20:10,0,0,0,0
120,20:10,20:20,0,0,0,0
121,20:20,20:30,0,0,0,0
122,20:30,20:40,0,0,0,0
123,20:40,20:50,0,0,0,0
124,20:50,21:00,1,0,0,0
125,21:00,21:10,1,0,0,0
126,21:10,21:20,1,0,0,0
127,21:20,21:30,1,0,0,0
128,21:30,21:40,1,0,0,0
129,21:40,21:50,1,0,0,0
130,21:50,22:00,1,0,0,0
131,22:00,22:10,1,0,1,0
132,22:10,22:20,0,0,1,0
133,22:20,22:30,0,0,0,0
134,22:30,22:40,0,0,1,0
135,22:40,22:50,0,0,1,0
136,22:50,23:00,0,0,0,0
137,23:00,23:10,0,0,1,0
138,23:10,23:20,0,0,0,0
139,23:20,23:30,0,0,0,0
140,23:30,23:40,0,0,1,0
141,23:40,23:50,0,0,0,0
142,23:50,00:00+1,0,0,0,0
143,00:00+1,00:10+1,0,0,0,0
