step,internal_start,internal_end,net_load_kw
0,00:10,00:20,3439.8466
1,00:20,00:30,3437.9792
2,00:30,00:40,3444.3031
3,00:40,00:50,3454.4437
4,00:50,01:00,3458.8273
5,01:00,01:10,3459.8401
6,01:10,01:20,3467.1582
7,01:20,01:30,3467.9632
8,01:30,01:40,3466.9683
9,01:40,01:50,3482.4927
10,01:50,02:00,3495.0841
11,02:00,02:10,3498.4443
12,02:10,02:20,3505.2295
13,02:20,02:30,3512.6387
14,02:30,02:40,3516.8685
15,02:40,02:50,3517.9246
16,02:50,03:00,3518.5518
17,03:00,03:10,3521.0976
18,03:10,03:20,3526.9261
19,03:20,03:30,3537.2854
20,03:30,03:40,3544.8808
21,03:40,03:50,3541.2787
22,03:50,04:00,3546.3976
23,04:00,04:10,3560.207
24,04:10,04:20,3561.9581
25,04:20,04:30,3556.7183
26,04:30,04:40,3560.0272
27,04:40,04:50,3580.0546
28,04:50,05:00,3586.6815
29,05:00,05:10,3570.975
30,05:10,05:20,3543.639
31,05:20,05:30,3536.9111000000003
32,05:30,05:40,3470.7327
33,05:40,05:50,3301.9587
34,05:50,06:00,3546.8412
35,06:00,06:10,4009.5233
36,06:10,06:20,3932.7320000000004
37,06:20,06:30,3699.0242000000003
38,06:30,06:40,3548.7269000000006
39,06:40,06:50,3344.9211999999998
40,06:50,07:00,3175.4382
41,07:00,07:10,3014.8243
42,07:10,07:20,2732.6614000000004
43,07:20,07:30,2460.4002
44,07:30,07:40,2141.9806999999996
45,07:40,07:50,1700.1814
46,07:50,08:00,1924.1046999999999
47,08:00,08:10,2510.5286999999994
48,08:10,08:20,2291.4647
49,08:20,08:30,1857.3380999999995
50,08:30,08:40,1587.7164000000002
51,08:40,08:50,1282.4448000000002
52,08:50,09:00,1071.3535000000002
53,09:00,09:10,932.3527000000004
54,09:10,09:20,673.5570000000007
55,09:20,09:30,386.3811999999998
56,09:30,09:40,135.3734999999997
57,09:40,09:50,-104.54439999999977
58,09:50,10:00,-317.02660000000014
59,10:00,10:10,-507.3744999999999
60,10:10,10:20,-701.9014999999999
61,10:20,10:30,-879.9636
62,10:30,10:40,-1041.1215000000002
63,10:40,10:50,-1206.1744999999992
64,10:50,11:00,-1352.4366999999993
65,11:00,11:10,-1464.0555000000004
66,11:10,11:20,-1548.9745000000003
67,11:20,11:30,-1635.7892000000002
68,11:30,11:40,-1705.9259000000002
69,11:40,11:50,-1735.8088000000007
70,11:50,12:00,-1879.2529000000004
71,12:00,12:10,-2081.5826000000006
72,12:10,12:20,-2117.5253000000002
73,12:20,12:30,-2088.2
74,12:30,12:40,-2068.3582000000006
75,12:40,12:50,-2010.3756000000003
76,12:50,13:00,-1827.3105999999998
77,13:00,13:10,-1587.0430999999999
78,13:10,13:20,-1455.0452999999998
79,13:20,13:30,-1338.4534999999996
80,13:30,13:40,-1192.5559000000003
81,13:40,13:50,-1064.1589000000004
82,13:50,14:00,-910.4417999999996
83,14:00,14:10,-720.2101999999995
84,14:10,14:20,-526.8867
85,14:20,14:30,-321.7491999999993
86,14:30,14:40,-97.53080000000045
87,14:40,14:50,142.6882000000005
88,14:50,15:00,403.9201000000003
89,15:00,15:10,672.5392000000002
90,15:10,15:20,925.5711000000001
91,15:20,15:30,1185.1410999999998
92,15:30,15:40,1468.8841999999995
93,15:40,15:50,1773.2077000000004
94,15:50,16:00,2074.6650000000004
95,16:00,16:10,2369.5889
96,16:10,16:20,2672.5899000000004
97,16:20,16:30,2974.1794999999997
98,16:30,16:40,3282.7143
99,16:40,16:50,3599.9125999999997
100,16:50,17:00,3812.5784999999996
101,17:00,17:10,3964.9841000000006
102,17:10,17:20,4212.2216
103,17:20,17:30,4428.3947
104,17:30,17:40,4655.6683
105,17:40,17:50,4956.4995
106,17:50,18:00,4574.5368
107,18:00,18:10,3821.8957
108,18:10,18:20,3846.9678
109,18:20,18:30,4072.9832
110,18:30,18:40,4117.611
111,18:40,18:50,4179.0262999999995
112,18:50,19:00,4227.8056
113,19:00,19:10,4238.9042
114,19:10,19:20,4244.4388
115,19:20,19:30,4251.318
116,19:30,19:40,4256.6813
117,19:40,19:50,4267.3947
118,19:50,20:00,4269.975
119,20:00,20:10,4268.6702
120,20:10,20:20,4282.2245
121,20:20,20:30,4291.7049
122,20:30,20:40,4291.3611
123,20:40,20:50,4293.9182
124,20:50,21:00,4295.2135
125,21:00,21:10,4302.0307
126,21:10,21:20,4320.9618
127,21:20,21:30,4302.3292
128,21:30,21:40,4322.6758
129,21:40,21:50,4428.8083
130,21:50,22:00,4030.1614
131,22:00,22:10,3362.7419
132,22:10,22:20,3309.3934
133,22:20,22:30,3412.9563
134,22:30,22:40,3381.9313
135,22:40,22:50,3386.5592
136,22:50,23:00,3400.4846
137,23:00,23:10,3399.2426
138,23:10,23:20,3406.9809
139,23:20,23:30,3416.1518
140,23:30,23:40,3421.9811
141,23:40,23:50,3429.6923
142,23:50,00:00+1,3439.061
143,00:00+1,00:10+1,3444.7259
