step,internal_start,internal_end,load_kw,pv_kw
0,00:10,00:20,3439.8466,0.0
1,00:20,00:30,3437.9792,0.0
2,00:30,00:40,3444.3031,0.0
3,00:40,00:50,3454.4437,0.0
4,00:50,01:00,3458.8273,0.0
5,01:00,01:10,3459.8401,0.0
6,01:10,01:20,3467.1582,0.0
7,01:20,01:30,3467.9632,0.0
8,01:30,01:40,3466.9683,0.0
9,01:40,01:50,3482.4927,0.0
10,01:50,02:00,3495.0841,0.0
11,02:00,02:10,3498.4443,0.0
12,02:10,02:20,3505.2295,0.0
13,02:20,02:30,3512.6387,0.0
14,02:30,02:40,3516.8685,0.0
15,02:40,02:50,3517.9246,0.0
16,02:50,03:00,3518.5518,0.0
17,03:00,03:10,3521.0976,0.0
18,03:10,03:20,3526.9261,0.0
19,03:20,03:30,3537.2854,0.0
20,03:30,03:40,3544.8808,0.0
21,03:40,03:50,3541.2787,0.0
22,03:50,04:00,3546.3976,0.0
23,04:00,04:10,3560.207,0.0
24,04:10,04:20,3561.9581,0.0
25,04:20,04:30,3556.7183,0.0
26,04:30,04:40,3560.0272,0.0
27,04:40,04:50,3580.654,0.5994
28,04:50,05:00,3586.916,0.2345
29,05:00,05:10,3571.2635,0.2885
30,05:10,05:20,3562.3171,18.6781
31,05:20,05:30,3591.3809,54.4698
32,05:30,05:40,3579.7045,108.9718
33,05:40,05:50,3486.119,184.1603
34,05:50,06:00,3823.8994,277.0582
35,06:00,06:10,4398.0727,388.5494
36,06:10,06:20,4454.0123,521.2803
37,06:20,06:30,4371.7919,672.7677
38,06:30,06:40,4392.953,844.2261
39,06:40,06:50,4384.5956,1039.6744
40,06:50,07:00,4434.7757,1259.3375
41,07:00,07:10,4523.4561,1508.6318
42,07:10,07:20,4524.0721,1791.4107
43,07:20,07:30,4545.8867,2085.4865
44,07:30,07:40,4523.2418,2381.2611
45,07:40,07:50,4383.3566,2683.1752
46,07:50,08:00,4910.4599,2986.3552
47,08:00,08:10,5799.7327,3289.204
48,08:10,08:20,5884.826,3593.3613
49,08:20,08:30,5748.0713,3890.7332
50,08:30,08:40,5769.0581,4181.3417
51,08:40,08:50,5754.2105,4471.7657
52,08:50,09:00,5824.1807,4752.8272
53,09:00,09:10,5954.2601,5021.9074
54,09:10,09:20,5958.9696,5285.4126
55,09:20,09:30,5929.5554,5543.1742
56,09:30,09:40,5923.7828,5788.4093
57,09:40,09:50,5907.586,6012.1304
58,09:50,10:00,5899.1262,6216.1528
59,10:00,10:10,5902.2196,6409.5941
60,10:10,10:20,5897.4793,6599.3808
61,10:20,10:30,5886.7568,6766.7204
62,10:30,10:40,5873.4708,6914.5923
63,10:40,10:50,5858.0308,7064.2053
64,10:50,11:00,5844.9948,7197.4315
65,11:00,11:10,5839.0587,7303.1142
66,11:10,11:20,5838.7103,7387.6848
67,11:20,11:30,5823.4378,7459.227
68,11:30,11:40,5814.7932,7520.7191
69,11:40,11:50,5832.3951,7568.2039
70,11:50,12:00,5712.901,7592.1539
71,12:00,12:10,5519.4607,7601.0433
72,12:10,12:20,5494.7907,7612.316
73,12:20,12:30,5514.4524,7602.6524
74,12:30,12:40,5485.829,7554.1872
75,12:40,12:50,5462.3628,7472.7384
76,12:50,13:00,5566.1066,7393.4172
77,13:00,13:10,5725.7548,7312.7979
78,13:10,13:20,5739.4957,7194.541
79,13:20,13:30,5714.6836,7053.1371
80,13:30,13:40,5717.8505,6910.4064
81,13:40,13:50,5708.2486,6772.4075
82,13:50,14:00,5696.9182,6607.36
83,14:00,14:10,5692.2983,6412.5085
84,14:10,14:20,5687.1291,6214.0158
85,14:20,14:30,5678.962,6000.7112
86,14:30,14:40,5669.4508,5766.9816
87,14:40,14:50,5664.1948,5521.5066
88,14:50,15:00,5672.7011,5268.781
89,15:00,15:10,5682.2544,5009.7152
90,15:10,15:20,5669.0195,4743.4484
91,15:20,15:30,5656.3651,4471.224
92,15:30,15:40,5657.0867,4188.2025
93,15:40,15:50,5662.6008,3889.3931
94,15:50,16:00,5669.2596,3594.5946
95,16:00,16:10,5673.4767,3303.8878
96,16:10,16:20,5671.0146,2998.4247
97,16:20,16:30,5661.5926,2687.4131
98,16:30,16:40,5665.8922,2383.1779
99,16:40,16:50,5689.0372,2089.1246
100,16:50,17:00,5603.6614,1791.0829
101,17:00,17:10,5466.7124,1501.7283
102,17:10,17:20,5467.3939,1255.1723
103,17:20,17:30,5464.727,1036.3323
104,17:30,17:40,5492.4458,836.7775
105,17:40,17:50,5621.7308,665.2313
106,17:50,18:00,5091.2126,516.6758
107,18:00,18:10,4208.5688,386.6731
108,18:10,18:20,4122.7611,275.7933
109,18:20,18:30,4255.9358,182.9526
110,18:30,18:40,4225.9524,108.3414
111,18:40,18:50,4233.3384,54.3121
112,18:50,19:00,4246.4625,18.6569
113,19:00,19:10,4239.1795,0.2753
