step,internal_start,internal_end,grid_purchase_kw,net_load_kw,charge_kw,discharge_kw
0,00:10,00:20,8439.846599999999,3439.8466,5000.0,0.0
1,00:20,00:30,8437.9792,3437.9792,5000.0,0.0
2,00:30,00:40,8444.303100000001,3444.3031,5000.0,0.0
3,00:40,00:50,8454.4437,3454.4437,5000.0,0.0
4,00:50,01:00,8458.827299999999,3458.8273,5000.0,0.0
5,01:00,01:10,3459.8401,3459.8401,0.0,0.0
6,01:10,01:20,3467.1582,3467.1582,0.0,0.0
7,01:20,01:30,3467.9632,3467.9632,0.0,0.0
8,01:30,01:40,5466.9683,3466.9683,2000.0,0.0
9,01:40,01:50,3482.4927,3482.4927,0.0,0.0
10,01:50,02:00,3495.0841,3495.0841,0.0,0.0
11,02:00,02:10,3498.4442999999997,3498.4443,0.0,0.0
12,02:10,02:20,3505.2294999999995,3505.2295,0.0,0.0
13,02:20,02:30,3512.6386999999995,3512.6387,0.0,0.0
14,02:30,02:40,3516.8684999999996,3516.8685,0.0,0.0
15,02:40,02:50,3517.9246,3517.9246,0.0,0.0
16,02:50,03:00,3518.5518,3518.5518,0.0,0.0
17,03:00,03:10,3521.0976,3521.0976,0.0,0.0
18,03:10,03:20,3526.9261,3526.9261,0.0,0.0
19,03:20,03:30,3537.2853999999998,3537.2854,0.0,0.0
20,03:30,03:40,3544.8808,3544.8808,0.0,0.0
21,03:40,03:50,3541.2786999999994,3541.2787,0.0,0.0
22,03:50,04:00,3546.3976,3546.3976,0.0,0.0
23,04:00,04:10,3560.2069999999994,3560.207,0.0,0.0
24,04:10,04:20,3561.9581,3561.9581,0.0,0.0
25,04:20,04:30,3556.7183,3556.7183,0.0,0.0
26,04:30,04:40,3560.0272,3560.0272,0.0,0.0
27,04:40,04:50,3580.0546,3580.0546,0.0,0.0
28,04:50,05:00,3586.6815,3586.6815,0.0,0.0
29,05:00,05:10,3570.9749999999995,3570.975,0.0,0.0
30,05:10,05:20,3543.639,3543.639,0.0,0.0
31,05:20,05:30,3536.9111000000003,3536.9111000000003,0.0,0.0
32,05:30,05:40,3470.7326999999996,3470.7327,0.0,0.0
33,05:40,05:50,8301.9587,3301.9587,5000.0,0.0
34,05:50,06:00,3546.8412,3546.8412,0.0,-0.0
35,06:00,06:10,0.0,4009.5233,0.0,4009.5232999999994
36,06:10,06:20,0.0,3932.7320000000004,0.0,3932.732
37,06:20,06:30,0.0,3699.0242000000003,0.0,3699.0242000000003
38,06:30,06:40,0.0,3548.7269000000006,0.0,3548.7269000000006
39,06:40,06:50,0.0,3344.9211999999998,0.0,3344.9211999999998
40,06:50,07:00,0.0,3175.4382,0.0,3175.4382
41,07:00,07:10,0.0,3014.8243,0.0,3014.8243
42,07:10,07:20,0.0,2732.6614000000004,0.0,2732.6614000000004
43,07:20,07:30,0.0,2460.4002,0.0,2460.4002000000005
44,07:30,07:40,0.0,2141.9806999999996,0.0,2141.9806999999996
45,07:40,07:50,0.0,1700.1814,0.0,1700.1814
46,07:50,08:00,0.0,1924.1046999999999,0.0,1924.1046999999994
47,08:00,08:10,0.0,2510.5286999999994,0.0,2510.5287
48,08:10,08:20,0.0,2291.4647,0.0,2291.4646999999995
