boundary,legacy_time,energy_kwh,soc_percent
0,00:10,6000.0,50.0
1,00:20,6750.0,56.25
2,00:30,7500.0,62.5
3,00:40,8250.0,68.75
4,00:50,9000.0,75.0
5,01:00,9750.0,81.25
6,01:10,9750.0,81.25
7,01:20,9750.0,81.25
8,01:30,9750.0,81.25
9,01:40,10050.0,83.75
10,01:50,10050.0,83.75
11,02:00,10050.0,83.75
12,02:10,10050.0,83.75
13,02:20,10050.0,83.75
14,02:30,10050.0,83.75
15,02:40,10050.0,83.75
16,02:50,10050.0,83.75
17,03:00,10050.0,83.75
18,03:10,10050.0,83.75
19,03:20,10050.0,83.75
20,03:30,10050.0,83.75
21,03:40,10050.0,83.75
22,03:50,10050.0,83.75
23,04:00,10050.0,83.75
24,04:10,10050.0,83.75
25,04:20,10050.0,83.75
26,04:30,10050.0,83.75
27,04:40,10050.0,83.75
28,04:50,10050.0,83.75
29,05:00,10050.0,83.75
30,05:10,10050.0,83.75
31,05:20,10050.0,83.75
32,05:30,10050.0,83.75
33,05:40,10050.0,83.75
34,05:50,10800.0,90.0
35,06:00,10800.0,90.0
36,06:10,10057.495685185186,83.81246404320989
37,06:20,9329.211981481481,77.74343317901234
38,06:30,8644.2075,72.03506250000001
39,06:40,7987.035851851852,66.55863209876544
40,06:50,7367.606000000001,61.39671666666667
41,07:00,6779.561888888889,56.496349074074075
42,07:10,6221.261092592593,51.84384243827161
43,07:20,5715.212685185185,47.62677237654321
44,07:30,5259.583018518519,43.82985848765432
45,07:40,4862.919925925926,40.52433271604938
46,07:50,4548.071518518518,37.90059598765432
47,08:00,4191.755833333333,34.9312986111111
48,08:10,3726.8431111111104,31.05702592592592
49,08:20,3302.4977962962957,27.5208149691358
50,08:30,2958.5462962962956,24.654552469135798
51,08:40,2664.52474074074,22.204372839506167
52,08:50,2427.0349629629623,20.225291358024684
53,09:00,2228.6361666666658,18.571968055555548
54,09:10,2055.9782592592583,17.133152160493818
55,09:20,1931.2454814814803,16.093712345679002
56,09:30,1859.6934074074063,15.497445061728387
57,09:40,1834.6242407407397,15.288535339506163
58,09:50,1850.3059007407396,15.419215839506164
59,10:00,1897.8598907407395,15.815499089506163
60,10:10,1973.9660657407394,16.449717214506162
61,10:20,2079.2512907407395,17.32709408950616
62,10:30,2211.2458307407396,18.427048589506164
63,10:40,2367.4140557407395,19.728450464506164
64,10:50,2548.3402307407396,21.236168589506164
65,11:00,2751.2057357407393,22.926714464506162
66,11:10,2970.8140607407395,24.756783839506163
67,11:20,3720.8140607407395,31.006783839506163
68,11:30,3966.1824407407394,33.05152033950616
69,11:40,4222.07132574074,35.18392771450616
70,11:50,4643.792100000004,38.698267500000036
71,12:00,5393.792100000004,44.948267500000036
72,12:10,6143.792100000004,51.198267500000036
73,12:20,6893.792100000004,57.448267500000036
74,12:30,7643.792100000004,63.698267500000036
75,12:40,8393.792100000004,69.94826750000003
76,12:50,9143.792100000004,76.19826750000003
77,13:00,9417.888690000003,78.48240575000003
78,13:10,9655.945155000003,80.46620962500002
79,13:20,9874.201950000002,82.28501625000003
80,13:30,10074.969975000002,83.95808312500002
81,13:40,10253.853360000001,85.448778
82,13:50,10413.477195000001,86.77897662500001
83,14:00,10550.043465,87.917028875
84,14:10,10658.074995,88.81729162500001
85,14:20,10737.108,89.4759
86,14:30,10785.37038,89.87808650000001
87,14:40,10800.0,90.0
88,14:50,10773.57625925926,89.77980216049383
89,15:00,10698.77624074074,89.15646867283951
90,15:10,10698.77624074074,89.15646867283951
91,15:20,10800.0,90.0
92,15:30,10800.0,90.0
93,15:40,10800.0,90.0
94,15:50,10800.0,90.0
95,16:00,10800.0,90.0
96,16:10,10800.0,90.0
97,16:20,10800.0,90.0
98,16:30,10800.0,90.0
99,16:40,10800.0,90.0
100,16:50,10800.0,90.0
101,17:00,10800.0,90.0
102,17:10,10800.0,90.0
103,17:20,10800.0,90.0
104,17:30,10800.0,90.0
105,17:40,10800.0,90.0
106,17:50,10800.0,90.0
107,18:00,10800.0,90.0
108,18:10,10800.0,90.0
109,18:20,10678.591944444444,88.9882662037037
110,18:30,10678.591944444444,88.9882662037037
111,18:40,10678.591944444444,88.9882662037037
112,18:50,10678.591944444444,88.9882662037037
113,19:00,9895.664981481481,82.463874845679
114,19:10,9110.682722222222,75.92235601851851
115,19:20,8324.675537037037,69.37229614197531
116,19:30,7537.394425925927,62.81162021604939
117,19:40,6749.120111111112,56.2426675925926
118,19:50,5958.861833333334,49.65718194444445
119,20:00,5168.125722222223,43.067714351851855
120,20:10,4377.631240740741,36.48026033950618
121,20:20,3584.626703703704,29.87188919753087
122,20:30,2789.8665370370372,23.248887808641978
123,20:40,1995.170037037037,16.62641697530864
124,20:50,1200.0,10.0
125,21:00,1200.0,10.0
126,21:10,1200.0,10.0
127,21:20,1200.0,10.0
128,21:30,1200.0,10.0
129,21:40,1200.0,10.0
130,21:50,1200.0,10.0
131,22:00,1200.0,10.0
132,22:10,1950.0,16.25
133,22:20,2700.0,22.5
134,22:30,2700.0,22.5
135,22:40,3450.0,28.75
136,22:50,4200.0,35.0
137,23:00,4200.0,35.0
138,23:10,4950.0,41.25
139,23:20,4950.0,41.25
140,23:30,5250.0,43.75
141,23:40,6000.0,50.0
142,23:50,6000.0,50.0
143,00:00+1,6000.0,50.0
144,00:10+1,6000.0,50.0
