date,day_index,selected_candidate,selected_tau,selected_rho,selected_gamma,soc_start_kwh,soc_end_kwh,realized_total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,spill_kwh,candidate_scores_using_past_only
2025-02-01,31,cvar_t0.90_r0.05_g0.00,0.9,0.05,0.0,6000.0,5288.555976450619,22029.602806274484,22029.602806274484,0.0,0.0,4824.509888952394,"{""nocvar_g0.00"": null, ""cvar_t0.90_r0.05_g0.00"": null, ""cvar_t0.90_r0.20_g0.00"": null, ""cvar_t0.95_r0.05_g0.00"": null, ""cvar_t0.95_r0.20_g0.00"": null, ""nocvar_g0.02"": null, ""cvar_t0.90_r0.05_g0.02"": null, ""cvar_t0.90_r0.20_g0.02"": null, ""cvar_t0.95_r0.05_g0.02"": null, ""cvar_t0.95_r0.20_g0.02"": null, ""nocvar_g0.05"": null, ""cvar_t0.90_r0.05_g0.05"": null, ""cvar_t0.90_r0.20_g0.05"": null, ""cvar_t0.95_r0.05_g0.05"": null, ""cvar_t0.95_r0.20_g0.05"": null}"
2025-02-02,32,nocvar_g0.05,,0.0,0.05,5288.555976450619,5285.571905405372,56517.90289455585,56517.90289455585,0.0,0.0,6638.178398438476,"{""nocvar_g0.00"": 21984.516924690237, ""cvar_t0.90_r0.05_g0.00"": 22029.602806274484, ""cvar_t0.90_r0.20_g0.00"": 22306.02831476008, ""cvar_t0.95_r0.05_g0.00"": 22029.602806274484, ""cvar_t0.95_r0.20_g0.00"": 22306.02831476008, ""nocvar_g0.02"": 21982.50059258553, ""cvar_t0.90_r0.05_g0.02"": 22029.520124464485, ""cvar_t0.90_r0.20_g0.02"": 22306.027279284215, ""cvar_t0.95_r0.05_g0.02"": 22029.520124464485, ""cvar_t0.95_r0.20_g0.02"": 22306.027279284215, ""nocvar_g0.05"": 21972.714990332523, ""cvar_t0.90_r0.05_g0.05"": 22026.36489238448, ""cvar_t0.90_r0.20_g0.05"": 22302.86643041239, ""cvar_t0.95_r0.05_g0.05"": 22026.36489238448, ""cvar_t0.95_r0.20_g0.05"": 22302.86643041239}"
2025-02-03,33,nocvar_g0.05,,0.0,0.05,5285.571905405372,5236.667232027222,55278.37656795265,55278.37656795265,0.0,0.0,2722.593211419766,"{""nocvar_g0.00"": 39252.853397604384, ""cvar_t0.90_r0.05_g0.00"": 39324.6087783614, ""cvar_t0.90_r0.20_g0.00"": 39473.31102340242, ""cvar_t0.95_r0.05_g0.00"": 39324.6087783614, ""cvar_t0.95_r0.20_g0.00"": 39473.31102340242, ""nocvar_g0.02"": 39251.64492496004, ""cvar_t0.90_r0.05_g0.02"": 39326.10761692986, ""cvar_t0.90_r0.20_g0.02"": 39471.771701924896, ""cvar_t0.95_r0.05_g0.02"": 39326.10761692986, ""cvar_t0.95_r0.20_g0.02"": 39471.771701924896, ""nocvar_g0.05"": 39245.308942444186, ""cvar_t0.90_r0.05_g0.05"": 39320.83181627578, ""cvar_t0.90_r0.20_g0.05"": 39472.76433278883, ""cvar_t0.95_r0.05_g0.05"": 39320.83181627578, ""cvar_t0.95_r0.20_g0.05"": 39472.76433278883}"
2025-02-04,34,nocvar_g0.02,,0.0,0.02,5236.667232027222,4879.48813068884,55454.0655492601,55454.0655492601,0.0,0.0,2169.1177223627124,"{""nocvar_g0.00"": 44599.04340423402, ""cvar_t0.90_r0.05_g0.00"": 44832.36487119834, ""cvar_t0.90_r0.20_g0.00"": 44944.00371411004, ""cvar_t0.95_r0.05_g0.00"": 44832.36487119834, ""cvar_t0.95_r0.20_g0.00"": 44944.00371411004, ""nocvar_g0.02"": 44580.81798999539, ""cvar_t0.90_r0.05_g0.02"": 44835.20338117124, ""cvar_t0.90_r0.20_g0.02"": 44943.96437224425, ""cvar_t0.95_r0.05_g0.02"": 44835.20338117124, ""cvar_t0.95_r0.20_g0.02"": 44943.96437224425, ""nocvar_g0.05"": 44589.66481761367, ""cvar_t0.90_r0.05_g0.05"": 44830.237783618264, ""cvar_t0.90_r0.20_g0.05"": 44969.795880519574, ""cvar_t0.95_r0.05_g0.05"": 44845.41170891336, ""cvar_t0.95_r0.20_g0.05"": 44969.795880519574}"
2025-02-05,35,nocvar_g0.02,,0.0,0.02,4879.48813068884,5060.113317037036,56446.55126769881,56446.55126769881,0.0,0.0,4104.12188589093,"{""nocvar_g0.00"": 47323.15670216234, ""cvar_t0.90_r0.05_g0.00"": 47636.30649292879, ""cvar_t0.90_r0.20_g0.00"": 47729.40403185916, ""cvar_t0.95_r0.05_g0.00"": 47636.30649292879, ""cvar_t0.95_r0.20_g0.00"": 47729.40403185916, ""nocvar_g0.02"": 47299.12987981157, ""cvar_t0.90_r0.05_g0.02"": 47639.51682793723, ""cvar_t0.90_r0.20_g0.02"": 47731.61652123605, ""cvar_t0.95_r0.05_g0.02"": 47639.51682793723, ""cvar_t0.95_r0.20_g0.02"": 47731.61652123605, ""nocvar_g0.05"": 47306.651956969275, ""cvar_t0.90_r0.05_g0.05"": 47640.1469479903, ""cvar_t0.90_r0.20_g0.05"": 47773.21282454196, ""cvar_t0.95_r0.05_g0.05"": 47660.24113803709, ""cvar_t0.95_r0.20_g0.05"": 47773.21282454196}"
2025-02-06,36,nocvar_g0.02,,0.0,0.02,5060.113317037036,5262.35771283333,56404.10860056017,56404.10860056017,0.0,0.0,4328.585715671895,"{""nocvar_g0.00"": 49153.259070120635, ""cvar_t0.90_r0.05_g0.00"": 49420.27215097045, ""cvar_t0.90_r0.20_g0.00"": 49495.14123327925, ""cvar_t0.95_r0.05_g0.00"": 49420.27215097045, ""cvar_t0.95_r0.20_g0.00"": 49495.14123327925, ""nocvar_g0.02"": 49128.61415738902, ""cvar_t0.90_r0.05_g0.02"": 49423.025922885965, ""cvar_t0.90_r0.20_g0.02"": 49496.952283666695, ""cvar_t0.95_r0.05_g0.02"": 49423.025922885965, ""cvar_t0.95_r0.20_g0.02"": 49496.952283666695, ""nocvar_g0.05"": 49131.6661025068, ""cvar_t0.90_r0.05_g0.05"": 49418.58517984131, ""cvar_t0.90_r0.20_g0.05"": 49533.666832497096, ""cvar_t0.95_r0.05_g0.05"": 49440.19797547741, ""cvar_t0.95_r0.20_g0.05"": 49533.666832497096}"
2025-02-07,37,nocvar_g0.05,,0.0,0.05,5262.35771283333,4918.586451869642,20897.48836405138,20897.48836405138,0.0,0.0,5125.849379154342,"{""nocvar_g0.00"": 50362.80350837597, ""cvar_t0.90_r0.05_g0.00"": 50602.200302052865, ""cvar_t0.90_r0.20_g0.00"": 50672.10308678296, ""cvar_t0.95_r0.05_g0.00"": 50602.200302052865, ""cvar_t0.95_r0.20_g0.00"": 50672.10308678296, ""nocvar_g0.02"": 50341.196564584214, ""cvar_t0.90_r0.05_g0.02"": 50605.02681322685, ""cvar_t0.90_r0.20_g0.02"": 50673.80763845777, ""cvar_t0.95_r0.05_g0.02"": 50605.02681322685, ""cvar_t0.95_r0.20_g0.02"": 50673.80763845777, ""nocvar_g0.05"": 50332.527211593, ""cvar_t0.90_r0.05_g0.05"": 50598.59911894063, ""cvar_t0.90_r0.20_g0.05"": 50705.257440592795, ""cvar_t0.95_r0.05_g0.05"": 50616.6097819707, ""cvar_t0.95_r0.20_g0.05"": 50705.257440592795}"
2025-02-08,38,nocvar_g0.05,,0.0,0.05,4918.586451869642,4799.237050537034,20084.990378652,20084.990378652,0.0,0.0,3635.3815373045177,"{""nocvar_g0.00"": 46205.913094291296, ""cvar_t0.90_r0.05_g0.00"": 46436.50854075967, ""cvar_t0.90_r0.20_g0.00"": 46535.88925268274, ""cvar_t0.95_r0.05_g0.00"": 46436.50854075967, ""cvar_t0.95_r0.20_g0.00"": 46535.88925268274, ""nocvar_g0.02"": 46158.98197636908, ""cvar_t0.90_r0.05_g0.02"": 46439.200198696635, ""cvar_t0.90_r0.20_g0.02"": 46537.634083722136, ""cvar_t0.95_r0.05_g0.02"": 46439.200198696635, ""cvar_t0.95_r0.20_g0.02"": 46537.634083722136, ""nocvar_g0.05"": 46127.5216619442, ""cvar_t0.90_r0.05_g0.05"": 46415.11360608784, ""cvar_t0.90_r0.20_g0.05"": 46564.38744329615, ""cvar_t0.95_r0.05_g0.05"": 46429.67036269611, ""cvar_t0.95_r0.20_g0.05"": 46564.38744329615}"
2025-02-09,39,nocvar_g0.05,,0.0,0.05,4799.237050537034,4842.641107536865,54288.97562573938,54288.97562573938,0.0,0.0,2094.1547311172753,"{""nocvar_g0.00"": 43006.72536291922, ""cvar_t0.90_r0.05_g0.00"": 43220.79695786459, ""cvar_t0.90_r0.20_g0.00"": 43339.79186053218, ""cvar_t0.95_r0.05_g0.00"": 43220.79695786459, ""cvar_t0.95_r0.20_g0.00"": 43339.79186053218, ""nocvar_g0.02"": 42944.65182421834, ""cvar_t0.90_r0.05_g0.02"": 43223.15583208336, ""cvar_t0.90_r0.20_g0.02"": 43341.65433061792, ""cvar_t0.95_r0.05_g0.02"": 43223.15583208336, ""cvar_t0.95_r0.20_g0.02"": 43341.65433061792, ""nocvar_g0.05"": 42872.205251532665, ""cvar_t0.90_r0.05_g0.05"": 43176.19224514281, ""cvar_t0.90_r0.20_g0.05"": 43367.45397825811, ""cvar_t0.95_r0.05_g0.05"": 43185.797038140154, ""cvar_t0.95_r0.20_g0.05"": 43367.45397825811}"
2025-02-10,40,nocvar_g0.05,,0.0,0.05,4842.641107536865,4830.9414839814835,54386.68001579821,54386.68001579821,0.0,0.0,8440.678345802473,"{""nocvar_g0.00"": 44278.05630742853, ""cvar_t0.90_r0.05_g0.00"": 44499.75145476182, ""cvar_t0.90_r0.20_g0.00"": 44606.4573618002, ""cvar_t0.95_r0.05_g0.00"": 44499.75145476182, ""cvar_t0.95_r0.20_g0.00"": 44606.4573618002, ""nocvar_g0.02"": 44220.49240780576, ""cvar_t0.90_r0.05_g0.02"": 44498.58709887086, ""cvar_t0.90_r0.20_g0.02"": 44608.75220515666, ""cvar_t0.95_r0.05_g0.02"": 44501.73811684424, ""cvar_t0.95_r0.20_g0.02"": 44608.75220515666, ""nocvar_g0.05"": 44140.73529311119, ""cvar_t0.90_r0.05_g0.05"": 44440.66623251827, ""cvar_t0.90_r0.20_g0.05"": 44640.88784497033, ""cvar_t0.95_r0.05_g0.05"": 44463.75887692893, ""cvar_t0.95_r0.20_g0.05"": 44640.88784497033}"
