method,common_period_complete,n,MAE_kW,RMSE_kW,nMAE_pct,target,load_method,pv_method
same_weekday_1w,True,2448,142.55051078431373,177.2483692779008,3.0317878493297856,load,,
same_weekday_2w,True,2448,122.51270420751636,152.09411242188284,2.6056204636606237,load,,
same_weekday_3w,False,1440,116.26374888888888,144.50472240833903,2.482549352724108,load,,
same_weekday_4w,False,432,113.81269224537036,141.50368906308384,2.472349518884181,load,,
recent_1d,True,1187,246.4066174389216,376.2000443977832,7.237306826712864,pv,,
recent_2d,True,1187,225.51132354675656,337.51493906336145,6.623582833811484,pv,,
recent_3d,True,1187,207.02713513058129,308.6741989995021,6.080676379427027,pv,,
recent_5d,True,1187,189.43908470092668,280.79085959036485,5.5640907504933335,pv,,
same_weekday_1w,True,1187,282.8624234203876,402.5338081028006,8.3080648130254,pv,,
,,2448,180.41040715686276,253.14411511396983,5.553265266309744,netload,same_weekday_2w,recent_5d
,,2448,187.7037705201525,266.61589672349976,5.777764407341656,netload,same_weekday_2w,recent_3d
,,2448,196.15424193218956,281.5031622346778,6.037880828095622,netload,same_weekday_2w,recent_2d
,,2448,198.2183099264706,268.69738493928844,6.101415505948081,netload,same_weekday_1w,recent_5d
,,2448,205.06314430827888,281.71693452312263,6.312108345818948,netload,same_weekday_1w,recent_3d
,,2448,208.2413480392157,306.37723717088727,6.40993756014427,netload,same_weekday_2w,recent_1d
,,2448,213.28603139297385,296.0787299347525,6.565219427135449,netload,same_weekday_1w,recent_2d
,,2448,224.15194264705883,329.75992820958425,6.899686204884301,netload,same_weekday_2w,same_weekday_1w
,,2448,224.28025077614384,318.5204668174245,6.903635694760532,netload,same_weekday_1w,recent_1d
,,2448,238.5639218137255,338.5713931882224,7.343305531431478,netload,same_weekday_1w,same_weekday_1w
