experiment_id,method_family,model_name,load_forecast,pv_forecast,forecast_correction,risk_model,risk_window,alpha,robust_budget,cvar_beta,cvar_weight,scenario_source,scenario_conditioning,scenario_weighting,scenario_count,terminal_rule,terminal_parameter,total_cost_wan,plan_cost_wan,emergency_cost_wan,emergency_mwh,emergency_slots,spill_mwh,charge_mwh,discharge_mwh,initial_soc,final_soc,runtime_sec,solver_status,leakage_pass,physical_pass,nonanticipativity_pass,terminal_fairness_pass,valid_for_q2,notes
R00,R,risk_q070,same_weekday_2w,recent_5d,none,empirical_quantile,14,0.7,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1414.7419666999897,1303.4315502253887,111.31041647460084,182.5860111871773,1061.0,2351.0885651470803,6902.125133728063,5586.511552794682,6000.0,10677.5616945,3.518270200000188,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R01,R,risk_q075,same_weekday_2w,recent_5d,none,empirical_quantile,14,0.75,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1408.0466618977323,1320.4821179107205,87.56454398701186,143.62086631857233,862.0,2579.3541871582547,6860.394025615882,5552.6654643266365,6000.0,10726.329358032406,3.5052187999990565,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R02,R,risk_q085,same_weekday_2w,recent_5d,none,empirical_quantile,14,0.85,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1409.15154489953,1362.6800303968637,46.47151450266642,76.4779579628913,525.0,3173.64830420189,6729.0808737721645,5446.235507755454,6000.0,10800.0,3.500098900000012,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R03,R,risk_q090,same_weekday_2w,recent_5d,none,empirical_quantile,14,0.9,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1422.296207222438,1391.8914314124795,30.40477580995833,49.88039711052869,389.0,3601.6718530742246,6616.19059597616,5354.794382740691,6000.0,10800.0,3.585089100000914,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R04,R,window21,same_weekday_2w,recent_5d,none,empirical_quantile,21,0.8,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1415.8877004085086,1345.5602862437352,70.32741416477329,116.52765167908036,725.0,2945.569973874054,6769.958117627816,5479.346075278531,6000.0,10800.0,3.607161400001132,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R05,R,window28,same_weekday_2w,recent_5d,none,empirical_quantile,28,0.8,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1413.295756310064,1347.5463887031271,65.74936760693684,109.17904155630843,691.0,2969.067784246853,6766.432523817578,5476.490344292239,6000.0,10800.0,3.655864100001054,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R06,R,window42,same_weekday_2w,recent_5d,none,empirical_quantile,42,0.8,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1408.3612216359202,1345.6328218464923,62.72839978942785,104.8657808156582,660.0,2932.618050569272,6780.957202021178,5488.255333637156,6000.0,10800.0,3.586686500000724,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R07,R,global_q080,same_weekday_2w,recent_5d,none,empirical_quantile,14,0.8,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1417.9961007588097,1342.7567411085702,75.23935965023949,122.0376956598508,680.0,2887.2789022266,6727.869385447983,5445.254202212866,6000.0,10800.0,3.468727699999363,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R08,R,block1h_q080,same_weekday_2w,recent_5d,none,empirical_quantile,14,0.8,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1405.5514343868513,1347.260848203549,58.29058618330238,96.05786870974411,637.0,2952.366627624998,6776.194400974539,5484.397464789377,6000.0,10800.0,3.7717978000000585,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R09,R,block4h_q080,same_weekday_2w,recent_5d,none,empirical_quantile,14,0.8,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1405.753222504986,1348.9296392038425,56.82358330114348,93.49289442396714,616.0,2960.5839943249457,6746.823678842842,5460.607179862703,6000.0,10800.0,3.6067972000000736,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
R10,R,recency_q080,same_weekday_2w,recent_5d,none,recency-weighted quantile,28,0.8,,,,none,none,none,0,whole-day hard cyclic,daily initial SOC,1405.036861361186,1352.7707332235827,52.266128137603296,86.21374803377849,585.0,3026.258571995018,6762.0783264481925,5472.963444423037,6000.0,10800.0,3.871287099998881,optimal,True,True,True,True,True,source-backed fixed configuration; formal test not used for parameter selection
