experiment_id,method_family,model_name,load_forecast,pv_forecast,forecast_correction,risk_model,risk_window,alpha,robust_budget,cvar_beta,cvar_weight,scenario_source,scenario_conditioning,scenario_weighting,scenario_count,terminal_rule,terminal_parameter,total_cost_wan,plan_cost_wan,emergency_cost_wan,emergency_mwh,emergency_slots,spill_mwh,charge_mwh,discharge_mwh,initial_soc,final_soc,runtime_sec,solver_status,leakage_pass,physical_pass,nonanticipativity_pass,terminal_fairness_pass,valid_for_q2,notes
CVAR_CAL_SELECTED_V2,O6,January-selected equal-weight SP-CVaR,same_weekday_2w,recent_5d,none,CVaR,60,,,0.9,0.05,paired whole-day residual,January-selected equal-weight SP-CVaR,recency/equal,10,terminal value,0.4684,1398.3749353866117,1310.2499099247411,88.12502546187034,147.44592482325595,,2084.392496079191,,,6000.0,4337.9888481481485,62.78992049999943,optimal,True,True,True,True,True,V2 causal pool; formal grid member
S_REC_002_V2,S,recency scenarios gamma=.02,same_weekday_2w,recent_5d,none,scenario recourse,60,,,0.0,0.0,paired whole-day residual,recency scenarios gamma=.02,recency/equal,10,terminal value,0.4684,1395.3380438360118,1293.528803428531,101.80924040748071,169.06137195910185,,1899.590974049584,,,6000.0,4289.552805648148,58.85087310000017,optimal,True,True,True,True,True,V2 causal pool; formal grid member
S_REC_005_V2,S,recency scenarios gamma=.05,same_weekday_2w,recent_5d,none,scenario recourse,60,,,0.0,0.0,paired whole-day residual,recency scenarios gamma=.05,recency/equal,10,terminal value,0.4684,1380.1774247271633,1295.6369236191567,84.54050110800658,136.33834563587425,,1944.892452163037,,,6000.0,4264.2630756481485,52.728694900000846,optimal,True,True,True,True,True,V2 causal pool; formal grid member
S_DAYTYPE_V2,S,day-type conditioned scenarios,same_weekday_2w,recent_5d,none,scenario recourse,60,,,0.0,0.0,paired whole-day residual,day-type conditioned scenarios,recency/equal,10,terminal value,0.4684,1412.625727398211,1295.1631945848803,117.46253281333064,197.31462298867427,,1920.2209335434543,,,6000.0,4502.019424500007,63.60178550000092,optimal,True,True,True,True,True,V2 causal pool; formal grid member
S_MEDOID_V2,S,farthest-medoid trajectory scenarios,same_weekday_2w,recent_5d,none,scenario recourse,60,,,0.0,0.0,paired whole-day residual,farthest-medoid trajectory scenarios,recency/equal,10,terminal value,0.4684,1405.2953941116527,1339.9468762050656,65.34851790658729,110.73557234595404,,2428.113618032712,,,6000.0,4918.575053925924,63.78824580000037,optimal,True,True,True,True,True,V2 causal pool; formal grid member
S_TREE_V2,S,Q2-compatible scenario-tree diagnostic,same_weekday_2w,recent_5d,none,scenario recourse,60,,,0.0,0.0,paired whole-day residual,Q2-compatible scenario-tree diagnostic,recency/equal,10,terminal value,0.4684,1412.625727398211,1295.1631945848803,117.46253281333064,197.31462298867427,,1920.2209335434543,,,6000.0,4502.019424500007,63.68906910000078,optimal,True,True,True,True,True,V2 causal pool; formal grid member
CVAR_90_S_V2,O6,SP-CVaR tau=.90 small,same_weekday_2w,recent_5d,none,CVaR,60,,,0.9,0.05,paired whole-day residual,SP-CVaR tau=.90 small,recency/equal,10,terminal value,0.4684,1378.452579984371,1312.0711589467924,66.38142103757863,109.5544464482642,,2063.524132491209,,,6000.0,4337.9888481481485,59.72670069999913,optimal,True,True,True,True,True,V2 causal pool; formal grid member
CVAR_90_M_V2,O6,SP-CVaR tau=.90 medium,same_weekday_2w,recent_5d,none,CVaR,60,,,0.9,0.2,paired whole-day residual,SP-CVaR tau=.90 medium,recency/equal,10,terminal value,0.4684,1387.597334845664,1340.3005256441015,47.2968092015624,77.49960517101624,,2412.3714862354063,,,6000.0,4867.328379396852,48.63763730000028,optimal,True,True,True,True,True,V2 causal pool; formal grid member
CVAR_95_S_V2,O6,SP-CVaR tau=.95 small,same_weekday_2w,recent_5d,none,CVaR,60,,,0.95,0.05,paired whole-day residual,SP-CVaR tau=.95 small,recency/equal,10,terminal value,0.4684,1378.2870206458374,1312.818759519672,65.46826112616552,108.2161062658137,,2070.4979553767985,,,6000.0,4337.9888481481485,59.93375709999964,optimal,True,True,True,True,True,V2 causal pool; formal grid member
CVAR_95_M_V2,O6,SP-CVaR tau=.95 medium,same_weekday_2w,recent_5d,none,CVaR,60,,,0.95,0.2,paired whole-day residual,SP-CVaR tau=.95 medium,recency/equal,10,terminal value,0.4684,1390.8917685211063,1344.108534343183,46.78323417792345,76.64669443295536,,2465.79227583615,,,6000.0,4867.328379396852,47.357963200000086,optimal,True,True,True,True,True,V2 causal pool; formal grid member
O2_M2H,O2,two-stage stochastic hard terminal,same_weekday_2w,recent_5d,none,two-stage stochastic hard terminal,21,,,,,paired historical residual,,,30,hard,initial SOC,1436.9319384006674,1308.7623501589258,128.16958824174156,212.30954353609116,1093.0,2287.843569082552,6815.648675920559,5516.384613346349,6000.0,10767.571277002744,249.9633083000008,optimal,True,True,True,True,True,reused verified 1405-after checkpoint
O3_M2TV,O3,two-stage stochastic terminal value,same_weekday_2w,recent_5d,none,two-stage stochastic terminal value,21,,,,,paired historical residual,,,30,value,0.4684,1405.7367444061606,1295.0161427076305,110.72060169853027,182.89139931223303,952.0,1962.4390181607275,6224.210634136805,5042.796479411347,6000.0,4682.371377184048,290.4315748000008,optimal,True,True,True,True,True,reused verified 1405-after checkpoint
O5_SIMILARITY,O5,similarity-conditioned SP,same_weekday_2w,recent_5d,,scenario,60,,,,,paired residual,0:00 forecast features,,15,value,0.4684,1403.5743013828096,1302.9121522075754,100.66214917523406,168.07005993489588,,2015.9105458002848,,,6000.0,4281.366000648148,111.87726459999976,optimal,True,True,True,True,True,K selected on January only
