model,max_predictor_input_lag_days,same_day_actual_load_access_count,same_day_actual_pv_access_count,future_actual_access_count,scenario_future_date_count,max_nonanticipativity_grid_diff_kwh,solver_failure_count,evidence_basis,max_balance_residual_kwh,max_soc_recursion_residual_kwh,min_soc,max_soc,max_charge_interval_kwh,max_discharge_interval_kwh,simultaneous_charge_discharge_count,emergency_to_battery_energy_kwh,emergency_to_battery_count,nonanticipativity_evidence,nan_count_test_arrays,inf_count_test_arrays,charge_limit_kwh,emergency_charge_path_exists_static
M1,-1.0,0.0,0.0,0.0,0.0,0.0,0,forecast definitions and reconstructed scenario date path; each day uses indices < day,,,,,,,,,,,,,,
M2-TV,-1.0,0.0,0.0,0.0,0.0,0.0,0,forecast definitions and reconstructed scenario date path; each day uses indices < day,,,,,,,,,,,,,,
CAL-CVaR,-1.0,0.0,0.0,0.0,0.0,0.0,0,forecast definitions and reconstructed scenario date path; each day uses indices < day,,,,,,,,,,,,,,
Recency-gamma-0.05,-1.0,0.0,0.0,0.0,0.0,0.0,0,forecast definitions and reconstructed scenario date path; each day uses indices < day,,,,,,,,,,,,,,
CVaR-tau-0.95-rho-0.05,-1.0,0.0,0.0,0.0,0.0,0.0,0,forecast definitions and reconstructed scenario date path; each day uses indices < day,,,,,,,,,,,,,,
M1,,,,,,0.0,0,,2.273736754432321e-13,9.094947017729282e-13,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.0,0.0,one shared G[144] vector is stored per day and used for all scenarios,0.0,0.0,833.3333333333333,False
M2-TV,,,,,,0.0,0,,2.273736754432321e-13,9.094947017729282e-13,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.0,0.0,one shared G[144] vector is stored per day and used for all scenarios,0.0,0.0,833.3333333333333,False
CAL-CVaR,,,,,,0.0,0,,1.1368683772161605e-13,9.094947017729282e-13,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.0,0.0,one shared G[144] vector is stored per day and used for all scenarios,0.0,0.0,833.3333333333333,False
Recency-gamma-0.05,,,,,,0.0,0,,1.1368683772161605e-13,9.094947017729282e-13,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.0,0.0,one shared G[144] vector is stored per day and used for all scenarios,0.0,0.0,833.3333333333333,False
CVaR-tau-0.95-rho-0.05,,,,,,0.0,0,,1.1368683772161605e-13,9.094947017729282e-13,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.0,0.0,one shared G[144] vector is stored per day and used for all scenarios,0.0,0.0,833.3333333333333,False
