date,day_index,selected_candidate,selected_tau,selected_rho,selected_gamma,soc_start_kwh,soc_end_kwh,realized_total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,spill_kwh,candidate_scores_using_past_only
2025-02-01,31,cvar_t0.90_r0.05_g0.00,0.9,0.05,0.0,6000.0,5263.451361450619,21933.22643540415,21933.22643540415,0.0,0.0,4809.835880619061,"{""nocvar_g0.00"": null, ""cvar_t0.90_r0.05_g0.00"": null, ""cvar_t0.90_r0.20_g0.00"": null, ""cvar_t0.95_r0.05_g0.00"": null, ""cvar_t0.95_r0.20_g0.00"": null, ""nocvar_g0.02"": null, ""cvar_t0.90_r0.05_g0.02"": null, ""cvar_t0.90_r0.20_g0.02"": null, ""cvar_t0.95_r0.05_g0.02"": null, ""cvar_t0.95_r0.20_g0.02"": null, ""nocvar_g0.05"": null, ""cvar_t0.90_r0.05_g0.05"": null, ""cvar_t0.90_r0.20_g0.05"": null, ""cvar_t0.95_r0.05_g0.05"": null, ""cvar_t0.95_r0.20_g0.05"": null}"
2025-02-02,32,nocvar_g0.05,,0.0,0.05,5263.451361450619,5203.384775405371,56506.81671309114,56506.81671309114,0.0,0.0,6633.364166133941,"{""nocvar_g0.00"": 21906.70262163032, ""cvar_t0.90_r0.05_g0.00"": 21933.22643540415, ""cvar_t0.90_r0.20_g0.00"": 22229.794823268156, ""cvar_t0.95_r0.05_g0.00"": 21933.22643540415, ""cvar_t0.95_r0.20_g0.00"": 22229.794823268156, ""nocvar_g0.02"": 21904.376101062946, ""cvar_t0.90_r0.05_g0.02"": 21933.14375359415, ""cvar_t0.90_r0.20_g0.02"": 22229.902249744187, ""cvar_t0.95_r0.05_g0.02"": 21933.14375359415, ""cvar_t0.95_r0.20_g0.02"": 22229.902249744187, ""nocvar_g0.05"": 21895.24092559779, ""cvar_t0.90_r0.05_g0.05"": 21929.98852151415, ""cvar_t0.90_r0.20_g0.05"": 22227.057358860086, ""cvar_t0.95_r0.05_g0.05"": 21929.98852151415, ""cvar_t0.95_r0.20_g0.05"": 22227.057358860086}"
2025-02-03,33,nocvar_g0.05,,0.0,0.05,5203.384775405371,5182.643862027222,55307.34880493648,55307.34880493648,0.0,0.0,2770.6625526131857,"{""nocvar_g0.00"": 39213.037624028446, ""cvar_t0.90_r0.05_g0.00"": 39268.49541137868, ""cvar_t0.90_r0.20_g0.00"": 39425.75230421674, ""cvar_t0.95_r0.05_g0.00"": 39268.49541137868, ""cvar_t0.95_r0.20_g0.00"": 39425.75230421674, ""nocvar_g0.02"": 39208.46941884926, ""cvar_t0.90_r0.05_g0.02"": 39270.37655382583, ""cvar_t0.90_r0.20_g0.02"": 39424.26721371516, ""cvar_t0.95_r0.05_g0.02"": 39270.37655382583, ""cvar_t0.95_r0.20_g0.02"": 39424.26721371516, ""nocvar_g0.05"": 39201.028819344465, ""cvar_t0.90_r0.05_g0.05"": 39263.264765742766, ""cvar_t0.90_r0.20_g0.05"": 39423.859643569405, ""cvar_t0.95_r0.05_g0.05"": 39263.264765742766, ""cvar_t0.95_r0.20_g0.05"": 39423.859643569405}"
2025-02-04,34,nocvar_g0.02,,0.0,0.02,5182.643862027222,4889.831204762914,55489.515180289294,55489.515180289294,0.0,0.0,2227.2805802227995,"{""nocvar_g0.00"": 44580.09278475851, ""cvar_t0.90_r0.05_g0.00"": 44804.387884703574, ""cvar_t0.90_r0.20_g0.00"": 44921.68805124208, ""cvar_t0.95_r0.05_g0.00"": 44804.387884703574, ""cvar_t0.95_r0.20_g0.00"": 44921.68805124208, ""nocvar_g0.02"": 44561.69173158281, ""cvar_t0.90_r0.05_g0.02"": 44807.43948902438, ""cvar_t0.90_r0.20_g0.02"": 44921.68486336025, ""cvar_t0.95_r0.05_g0.02"": 44807.472656223166, ""cvar_t0.95_r0.20_g0.02"": 44921.68486336025, ""nocvar_g0.05"": 44569.80214787513, ""cvar_t0.90_r0.05_g0.05"": 44800.56478888679, ""cvar_t0.90_r0.20_g0.05"": 44946.589663802144, ""cvar_t0.95_r0.05_g0.05"": 44815.6770928103, ""cvar_t0.95_r0.20_g0.05"": 44946.589663802144}"
2025-02-05,35,nocvar_g0.02,,0.0,0.02,4889.831204762914,5018.756907037036,56414.85181917927,56414.85181917927,0.0,0.0,4087.7401735452513,"{""nocvar_g0.00"": 47316.25823042807, ""cvar_t0.90_r0.05_g0.00"": 47624.00954422613, ""cvar_t0.90_r0.20_g0.00"": 47721.321744698194, ""cvar_t0.95_r0.05_g0.00"": 47624.00954422613, ""cvar_t0.95_r0.20_g0.00"": 47721.321744698194, ""nocvar_g0.02"": 47293.64759375944, ""cvar_t0.90_r0.05_g0.02"": 47627.3483688171, ""cvar_t0.90_r0.20_g0.02"": 47723.56134956306, ""cvar_t0.95_r0.05_g0.02"": 47627.398119615274, ""cvar_t0.95_r0.20_g0.02"": 47723.56134956306, ""nocvar_g0.05"": 47300.617362422665, ""cvar_t0.90_r0.05_g0.05"": 47624.47514013956, ""cvar_t0.90_r0.20_g0.05"": 47764.32196626666, ""cvar_t0.95_r0.05_g0.05"": 47646.230253234455, ""cvar_t0.95_r0.20_g0.05"": 47764.32196626666}"
2025-02-06,36,nocvar_g0.02,,0.0,0.02,5018.756907037036,5207.875210425924,56445.5324564057,56445.5324564057,0.0,0.0,4275.001905452679,"{""nocvar_g0.00"": 49136.16622693622, ""cvar_t0.90_r0.05_g0.00"": 49402.46634462105, ""cvar_t0.90_r0.20_g0.00"": 49480.405436269466, ""cvar_t0.95_r0.05_g0.00"": 49402.46634462105, ""cvar_t0.95_r0.20_g0.00"": 49480.405436269466, ""nocvar_g0.02"": 49117.8884388434, ""cvar_t0.90_r0.05_g0.02"": 49405.24463393542, ""cvar_t0.90_r0.20_g0.02"": 49482.38022055615, ""cvar_t0.95_r0.05_g0.02"": 49405.28443457396, ""cvar_t0.95_r0.20_g0.02"": 49482.38022055615, ""nocvar_g0.05"": 49120.50241266566, ""cvar_t0.90_r0.05_g0.05"": 49398.076349672665, ""cvar_t0.90_r0.20_g0.05"": 49518.541870494795, ""cvar_t0.95_r0.05_g0.05"": 49421.05359569265, ""cvar_t0.95_r0.20_g0.05"": 49518.541870494795}"
2025-02-07,37,nocvar_g0.05,,0.0,0.05,5207.875210425924,4864.996364369642,20908.758368493647,20908.758368493647,0.0,0.0,5159.459662590555,"{""nocvar_g0.00"": 50359.36975897563, ""cvar_t0.90_r0.05_g0.00"": 50597.18442550799, ""cvar_t0.90_r0.20_g0.00"": 50669.7313351557, ""cvar_t0.95_r0.05_g0.00"": 50597.18442550799, ""cvar_t0.95_r0.20_g0.00"": 50669.7313351557, ""nocvar_g0.02"": 50339.16244177045, ""cvar_t0.90_r0.05_g0.02"": 50600.13029835373, ""cvar_t0.90_r0.20_g0.02"": 50671.827220983745, ""cvar_t0.95_r0.05_g0.02"": 50600.163465552505, ""cvar_t0.95_r0.20_g0.02"": 50671.827220983745, ""nocvar_g0.05"": 50337.067376100924, ""cvar_t0.90_r0.05_g0.05"": 50591.38111636299, ""cvar_t0.90_r0.20_g0.05"": 50702.492856950914, ""cvar_t0.95_r0.05_g0.05"": 50610.528821379645, ""cvar_t0.95_r0.20_g0.05"": 50702.492856950914}"
2025-02-08,38,nocvar_g0.05,,0.0,0.05,4864.996364369642,4726.937035537034,20015.85394996203,20015.85394996203,0.0,0.0,3680.38920397119,"{""nocvar_g0.00"": 46201.77405964993, ""cvar_t0.90_r0.05_g0.00"": 46433.600180580106, ""cvar_t0.90_r0.20_g0.00"": 46532.87665865808, ""cvar_t0.95_r0.05_g0.00"": 46433.600180580106, ""cvar_t0.95_r0.20_g0.00"": 46532.87665865808, ""nocvar_g0.02"": 46156.27862724664, ""cvar_t0.90_r0.05_g0.02"": 46436.39414852143, ""cvar_t0.90_r0.20_g0.02"": 46534.95691897167, ""cvar_t0.95_r0.05_g0.02"": 46436.422577548954, ""cvar_t0.95_r0.20_g0.02"": 46534.95691897167, ""nocvar_g0.05"": 46133.02323215703, ""cvar_t0.90_r0.05_g0.05"": 46407.521293412705, ""cvar_t0.90_r0.20_g0.05"": 46561.03813611611, ""cvar_t0.95_r0.05_g0.05"": 46423.226362936955, ""cvar_t0.95_r0.20_g0.05"": 46561.03813611611}"
2025-02-09,39,nocvar_g0.05,,0.0,0.05,4726.937035537034,4835.188639549095,54332.98394110237,54332.98394110237,0.0,0.0,2122.5919539773504,"{""nocvar_g0.00"": 42992.88570903464, ""cvar_t0.90_r0.05_g0.00"": 43209.4548291948, ""cvar_t0.90_r0.20_g0.00"": 43326.317185878564, ""cvar_t0.95_r0.05_g0.00"": 43209.4548291948, ""cvar_t0.95_r0.20_g0.00"": 43326.317185878564, ""nocvar_g0.02"": 42932.826038341205, ""cvar_t0.90_r0.05_g0.02"": 43211.903224667374, ""cvar_t0.90_r0.20_g0.02"": 43328.47315657922, ""cvar_t0.95_r0.05_g0.02"": 43211.92810006646, ""cvar_t0.95_r0.20_g0.02"": 43328.47315657922, ""nocvar_g0.05"": 42868.377071882656, ""cvar_t0.90_r0.05_g0.05"": 43156.36263204501, ""cvar_t0.90_r0.20_g0.05"": 43353.68467959353, ""cvar_t0.95_r0.05_g0.05"": 43169.23389944072, ""cvar_t0.95_r0.20_g0.05"": 43353.68467959353}"
2025-02-10,40,nocvar_g0.05,,0.0,0.05,4835.188639549095,4773.807066903887,54336.09052617581,54336.09052617581,0.0,0.0,8442.085048110897,"{""nocvar_g0.00"": 44270.53831243212, ""cvar_t0.90_r0.05_g0.00"": 44494.22258884746, ""cvar_t0.90_r0.20_g0.00"": 44599.014547440594, ""cvar_t0.95_r0.05_g0.00"": 44494.22258884746, ""cvar_t0.95_r0.20_g0.00"": 44599.014547440594, ""nocvar_g0.02"": 44214.72057295928, ""cvar_t0.90_r0.05_g0.02"": 44493.256659962484, ""cvar_t0.90_r0.20_g0.02"": 44601.54249712478, ""cvar_t0.95_r0.05_g0.02"": 44496.57977176707, ""cvar_t0.95_r0.20_g0.02"": 44601.54249712478, ""nocvar_g0.05"": 44142.22227957374, ""cvar_t0.90_r0.05_g0.05"": 44428.02062464374, ""cvar_t0.90_r0.20_g0.05"": 44632.79172088929, ""cvar_t0.95_r0.05_g0.05"": 44453.82088257925, ""cvar_t0.95_r0.20_g0.05"": 44632.79172088929}"
