date,day_index,selected_candidate,planned_initial_energy_kwh,executed_initial_energy_kwh,actual_end_energy_kwh,realized_total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,candidate_scores_completed_before_issue,latest_full_score_day_released,grid_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,commanded_charge_kwh,commanded_discharge_kwh
2025-01-01,0,cvar_t0.90_r0.05_g0.00,6000.0,6000.0,3835.7010735185177,213230.37107939506,34283.64858928963,178946.72249010543,"{""nocvar_g0.00"": null, ""cvar_t0.90_r0.05_g0.00"": null, ""cvar_t0.90_r0.20_g0.00"": null, ""cvar_t0.95_r0.05_g0.00"": null, ""cvar_t0.95_r0.20_g0.00"": null, ""nocvar_g0.02"": null, ""cvar_t0.90_r0.05_g0.02"": null, ""cvar_t0.90_r0.20_g0.02"": null, ""cvar_t0.95_r0.05_g0.02"": null, ""cvar_t0.95_r0.20_g0.02"": null, ""nocvar_g0.05"": null, ""cvar_t0.90_r0.05_g0.05"": null, ""cvar_t0.90_r0.20_g0.05"": null, ""cvar_t0.95_r0.05_g0.05"": null, ""cvar_t0.95_r0.20_g0.05"": null}",-2,57482.69899835391,34571.13845281275,0.6057666666666819,10265.581499999998,10262.99004883333,10265.581499999998,10262.99004883333
2025-01-02,1,cvar_t0.90_r0.05_g0.00,3869.5352031481475,3835.7010735185177,4015.523575925925,218363.6091124048,35300.32742885148,183063.28168355333,"{""nocvar_g0.00"": null, ""cvar_t0.90_r0.05_g0.00"": null, ""cvar_t0.90_r0.20_g0.00"": null, ""cvar_t0.95_r0.05_g0.00"": null, ""cvar_t0.95_r0.20_g0.00"": null, ""nocvar_g0.02"": null, ""cvar_t0.90_r0.05_g0.02"": null, ""cvar_t0.90_r0.20_g0.02"": null, ""cvar_t0.95_r0.05_g0.02"": null, ""cvar_t0.95_r0.20_g0.02"": null, ""nocvar_g0.05"": null, ""cvar_t0.90_r0.05_g0.05"": null, ""cvar_t0.90_r0.20_g0.05"": null, ""cvar_t0.95_r0.05_g0.05"": null, ""cvar_t0.95_r0.20_g0.05"": null}",-1,59849.88210596709,35441.76003281275,0.0,12399.627824279834,9881.858285499995,12399.627824279834,9881.858285499995
2025-01-03,2,nocvar_g0.00,3942.699220925925,4015.523575925925,10800.0,61923.19057028357,61923.19057028357,0.0,"{""nocvar_g0.00"": 213230.37107939506, ""cvar_t0.90_r0.05_g0.00"": 213230.37107939506, ""cvar_t0.90_r0.20_g0.00"": 213230.37107939506, ""cvar_t0.95_r0.05_g0.00"": 213230.37107939506, ""cvar_t0.95_r0.20_g0.00"": 213230.37107939506, ""nocvar_g0.02"": 213230.37107939506, ""cvar_t0.90_r0.05_g0.02"": 213230.37107939506, ""cvar_t0.90_r0.20_g0.02"": 213230.37107939506, ""cvar_t0.95_r0.05_g0.02"": 213230.37107939506, ""cvar_t0.95_r0.20_g0.02"": 213230.37107939506, ""nocvar_g0.05"": 213230.37107939506, ""cvar_t0.90_r0.05_g0.05"": 213230.37107939506, ""cvar_t0.90_r0.20_g0.05"": 213230.37107939506, ""cvar_t0.95_r0.05_g0.05"": 213230.37107939506, ""cvar_t0.95_r0.20_g0.05"": 213230.37107939506}",0,97154.80016625513,0.0,42316.43201954731,17212.23209670782,7835.879216666665,17212.23209670782,7835.879216666665
2025-01-04,3,nocvar_g0.00,10800.0,10800.0,10752.441819814814,59552.1972189517,59552.1972189517,0.0,"{""nocvar_g0.00"": 215796.9900958999, ""cvar_t0.90_r0.05_g0.00"": 215796.99009589994, ""cvar_t0.90_r0.20_g0.00"": 215796.99009589994, ""cvar_t0.95_r0.05_g0.00"": 215796.99009589994, ""cvar_t0.95_r0.20_g0.00"": 215796.99009589994, ""nocvar_g0.02"": 215796.9900958999, ""cvar_t0.90_r0.05_g0.02"": 215796.99009589994, ""cvar_t0.90_r0.20_g0.02"": 215796.99009589994, ""cvar_t0.95_r0.05_g0.02"": 215796.99009589994, ""cvar_t0.95_r0.20_g0.02"": 215796.99009589994, ""nocvar_g0.05"": 215796.9900958999, ""cvar_t0.90_r0.05_g0.05"": 215796.99009589994, ""cvar_t0.90_r0.20_g0.05"": 215796.99009589994, ""cvar_t0.95_r0.05_g0.05"": 215796.99009589994, ""cvar_t0.95_r0.20_g0.05"": 215796.99009589994}",1,90541.27725370371,0.0,43889.53597880658,9229.23545823045,7518.483083333334,9229.23545823045,7518.483083333334
2025-01-05,4,nocvar_g0.00,10800.0,10752.441819814814,1863.0519189506217,58643.695799485205,58461.03541594354,182.6603835416648,"{""nocvar_g0.00"": 164505.72358736114, ""cvar_t0.90_r0.05_g0.00"": 164505.72358736114, ""cvar_t0.90_r0.20_g0.00"": 164505.72358736114, ""cvar_t0.95_r0.05_g0.00"": 164505.72358736114, ""cvar_t0.95_r0.20_g0.00"": 164505.72358736114, ""nocvar_g0.02"": 164505.72358736114, ""cvar_t0.90_r0.05_g0.02"": 164505.72358736114, ""cvar_t0.90_r0.20_g0.02"": 164505.72358736114, ""cvar_t0.95_r0.05_g0.02"": 164505.72358736114, ""cvar_t0.95_r0.20_g0.02"": 164505.72358736114, ""nocvar_g0.05"": 164505.72358736114, ""cvar_t0.90_r0.05_g0.05"": 164505.72358736114, ""cvar_t0.90_r0.20_g0.05"": 164505.72358736114, ""cvar_t0.95_r0.05_g0.05"": 164505.72358736114, ""cvar_t0.95_r0.20_g0.05"": 164505.72358736114}",2,87649.48082592594,31.447083333333012,1610.8461049135904,16064.632623456786,21012.803335777775,16064.632623456786,21012.803335777775
2025-01-06,5,nocvar_g0.00,1900.926030061733,1863.0519189506217,2051.9347081207143,75230.47655672881,75230.47655672881,0.0,"{""nocvar_g0.00"": 138267.34199525876, ""cvar_t0.90_r0.05_g0.00"": 138267.3419952588, ""cvar_t0.90_r0.20_g0.00"": 138267.3419952588, ""cvar_t0.95_r0.05_g0.00"": 138267.3419952588, ""cvar_t0.95_r0.20_g0.00"": 138267.3419952588, ""nocvar_g0.02"": 138267.34199525876, ""cvar_t0.90_r0.05_g0.02"": 138267.3419952588, ""cvar_t0.90_r0.20_g0.02"": 138267.3419952588, ""cvar_t0.95_r0.05_g0.02"": 138267.3419952588, ""cvar_t0.95_r0.20_g0.02"": 138267.3419952588, ""nocvar_g0.05"": 138267.34199525876, ""cvar_t0.90_r0.05_g0.05"": 138267.3419952588, ""cvar_t0.90_r0.20_g0.05"": 138267.3419952588, ""cvar_t0.95_r0.05_g0.05"": 138267.3419952588, ""cvar_t0.95_r0.20_g0.05"": 138267.3419952588}",3,113330.3572272565,0.0,18530.112297530875,20956.115541083658,16804.459078024687,20956.115541083658,16804.459078024687
2025-01-07,6,nocvar_g0.00,2101.27740867627,2051.9347081207143,2296.597895925929,75105.0714736459,75105.0714736459,0.0,"{""nocvar_g0.00"": 122342.61275610405, ""cvar_t0.90_r0.05_g0.00"": 122342.61275610406, ""cvar_t0.90_r0.20_g0.00"": 122342.61275610406, ""cvar_t0.95_r0.05_g0.00"": 122342.61275610406, ""cvar_t0.95_r0.20_g0.00"": 122342.61275610406, ""nocvar_g0.02"": 122342.61275610405, ""cvar_t0.90_r0.05_g0.02"": 122342.61275610406, ""cvar_t0.90_r0.20_g0.02"": 122342.61275610406, ""cvar_t0.95_r0.05_g0.02"": 122342.61275610406, ""cvar_t0.95_r0.20_g0.02"": 122342.61275610406, ""nocvar_g0.05"": 122342.61275610405, ""cvar_t0.90_r0.05_g0.05"": 122342.61275610406, ""cvar_t0.90_r0.20_g0.05"": 122342.61275610406, ""cvar_t0.95_r0.05_g0.05"": 122342.61275610406, ""cvar_t0.95_r0.20_g0.05"": 122342.61275610406}",4,113022.30973048315,0.0,16266.428006378608,20832.483974104547,16654.115149999998,20832.483974104547,16654.115149999998
2025-01-08,7,nocvar_g0.05,2340.3190555555584,2296.597895925929,3743.0037224074076,87408.78796633267,87408.78796633267,0.0,"{""nocvar_g0.00"": 114490.59005620818, ""cvar_t0.90_r0.05_g0.00"": 114490.5900562082, ""cvar_t0.90_r0.20_g0.00"": 114490.5900562082, ""cvar_t0.95_r0.05_g0.00"": 114490.5900562082, ""cvar_t0.95_r0.20_g0.00"": 114490.5900562082, ""nocvar_g0.02"": 114490.59005620818, ""cvar_t0.90_r0.05_g0.02"": 114490.5900562082, ""cvar_t0.90_r0.20_g0.02"": 114490.5900562082, ""cvar_t0.95_r0.05_g0.02"": 114490.5900562082, ""cvar_t0.95_r0.20_g0.02"": 114490.5900562082, ""nocvar_g0.05"": 114483.8266960642, ""cvar_t0.90_r0.05_g0.05"": 114483.82669606422, ""cvar_t0.90_r0.20_g0.05"": 114483.82669606422, ""cvar_t0.95_r0.05_g0.05"": 114483.82669606422, ""cvar_t0.95_r0.20_g0.05"": 114483.82669606422}",5,128592.16902694854,0.0,34551.77240657201,17121.636543209865,12566.760356166664,17121.636543209865,12566.760356166664
2025-01-09,8,nocvar_g0.05,3733.8906974074075,3743.0037224074076,3703.732237000001,86852.63679673127,86852.63679673127,0.0,"{""nocvar_g0.00"": 108864.08740155642, ""cvar_t0.90_r0.05_g0.00"": 108864.08740155645, ""cvar_t0.90_r0.20_g0.00"": 108864.08740155645, ""cvar_t0.95_r0.05_g0.00"": 108864.08740155645, ""cvar_t0.95_r0.20_g0.00"": 108864.08740155645, ""nocvar_g0.02"": 108822.93677445108, ""cvar_t0.90_r0.05_g0.02"": 108864.08740155645, ""cvar_t0.90_r0.20_g0.02"": 108864.08740155645, ""cvar_t0.95_r0.05_g0.02"": 108864.08740155645, ""cvar_t0.95_r0.20_g0.02"": 108864.08740155645, ""nocvar_g0.05"": 108815.85815707533, ""cvar_t0.90_r0.05_g0.05"": 108858.27518005017, ""cvar_t0.90_r0.20_g0.05"": 108858.27518005017, ""cvar_t0.95_r0.05_g0.05"": 108858.27518005017, ""cvar_t0.95_r0.20_g0.05"": 108858.27518005017}",6,127159.41646177367,0.0,33291.44425777777,15650.015653662553,12711.85701633333,15650.015653662553,12711.85701633333
2025-01-10,9,nocvar_g0.05,3649.2809170000014,3703.732237000001,2958.8198508851838,48708.23852075766,48708.23852075766,0.0,"{""nocvar_g0.00"": 106182.46330349112, ""cvar_t0.90_r0.05_g0.00"": 106238.21075487733, ""cvar_t0.90_r0.20_g0.00"": 106238.21075487733, ""cvar_t0.95_r0.05_g0.00"": 106238.21075487733, ""cvar_t0.95_r0.20_g0.00"": 106238.21075487733, ""nocvar_g0.02"": 106146.32128575793, ""cvar_t0.90_r0.05_g0.02"": 106238.19541782797, ""cvar_t0.90_r0.20_g0.02"": 106238.19541782797, ""cvar_t0.95_r0.05_g0.02"": 106238.19541782797, ""cvar_t0.95_r0.20_g0.02"": 106238.19541782797, ""nocvar_g0.05"": 106139.9743832325, ""cvar_t0.90_r0.05_g0.05"": 106232.97006562966, ""cvar_t0.90_r0.20_g0.05"": 106232.97006562966, ""cvar_t0.95_r0.05_g0.05"": 106232.97006562966, ""cvar_t0.95_r0.20_g0.05"": 106232.97006562966}",7,80863.23771316871,0.0,33733.716456290116,12133.70221604527,10498.7199425,12133.70221604527,10498.7199425
