plan_day,issue_time,interval_start,interval_end,time_index,forecast_arm,forecast_model_id,load_forecast_kw,pv_forecast_kw,load_actual_kw,pv_actual_kw,planned_grid_kwh,charge_kwh,discharge_kwh,commanded_charge_kwh,commanded_discharge_kwh,emergency_kwh,unused_supply_kwh,actual_soc_before_kwh,actual_soc_after_kwh,price_yuan_per_kwh,plan_cost_yuan,emergency_cost_yuan
2025-02-01,2025-02-01T00:00:00,2025-02-01T00:10:00,2025-02-01T00:20:00,0,B0,Q2V2-SW2-REC5,2684.02125,0.0,2492.4439,0.0,1309.2617916666663,833.3333333333333,0.0,833.3333333333333,0.0,0.0,60.52114166666638,3812.0461205740753,4562.046120574076,0.4245,555.7816305624998,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T00:20:00,2025-02-01T00:30:00,1,B0,Q2V2-SW2-REC5,2664.3900000000003,0.0,2464.3,0.0,1274.3544833333333,833.3333333333333,0.0,833.3333333333333,0.0,0.0,30.304483333333337,4562.046120574076,5312.046120574076,0.4269,544.021928935,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T00:30:00,2025-02-01T00:40:00,2,B0,Q2V2-SW2-REC5,2779.6059,0.0,2581.7688,0.0,1305.96555,833.3333333333333,0.0,833.3333333333333,0.0,0.0,42.33741666666674,5312.046120574076,6062.046120574076,0.4272,557.90848296,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T00:40:00,2025-02-01T00:50:00,3,B0,Q2V2-SW2-REC5,2921.06115,0.0,2546.4635,0.0,1327.4660583333332,833.3333333333333,0.0,833.3333333333333,0.0,0.0,69.72214166666663,6062.046120574076,6812.046120574076,0.4271,566.9607535141665,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T00:50:00,2025-02-01T01:00:00,4,B0,Q2V2-SW2-REC5,2966.3,0.0,2436.31,0.0,1382.2449833333333,833.3333333333333,0.0,833.3333333333333,0.0,0.0,142.8599833333334,6812.046120574076,7562.046120574076,0.4285,592.2919753583333,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T01:00:00,2025-02-01T01:10:00,5,B0,Q2V2-SW2-REC5,2874.6354499999998,0.0,2620.5011,0.0,497.89334166666663,61.143158333333304,0.0,61.143158333333304,0.0,0.0,0.0,7562.046120574076,7617.074963074076,0.4311,214.64181959249998,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T01:10:00,2025-02-01T01:20:00,6,B0,Q2V2-SW2-REC5,2746.75935,0.0,2710.7861,0.0,451.4320083333332,0.0,0.36567500000006703,0.0,0.36567500000006703,0.0,0.0,7617.074963074076,7616.66865751852,0.4302,194.20604998499996,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T01:20:00,2025-02-01T01:30:00,7,B0,Q2V2-SW2-REC5,2713.0950000000003,0.0,2676.48,0.0,1312.5777833333332,833.3333333333333,0.0,833.3333333333333,0.0,0.0,33.16444999999999,7616.66865751852,8366.66865751852,0.4279,561.6520334883332,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T01:30:00,2025-02-01T01:40:00,8,B0,Q2V2-SW2-REC5,2845.35345,0.0,2830.598,0.0,473.56699166666664,1.800658333333331,0.0,1.800658333333331,0.0,0.0,0.0,8366.66865751852,8368.289250018519,0.4312,204.20208680666667,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T01:40:00,2025-02-01T01:50:00,9,B0,Q2V2-SW2-REC5,3003.28615,0.0,2688.1558,0.0,502.20772500000004,54.18175833333339,0.0,54.18175833333339,0.0,0.0,0.0,8368.289250018519,8417.052832518519,0.4333,217.60660724250002,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T01:50:00,2025-02-01T02:00:00,10,B0,Q2V2-SW2-REC5,3049.99,0.0,2384.42,0.0,539.1666666666665,141.7633333333332,0.0,141.7633333333332,0.0,0.0,0.0,8417.052832518519,8544.639832518518,0.4311,232.43474999999992,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T02:00:00,2025-02-01T02:10:00,11,B0,Q2V2-SW2-REC5,2965.8395499999997,0.0,2604.5438,0.0,1378.5468416666663,833.3333333333333,0.0,833.3333333333333,0.0,0.0,111.1228749999998,8544.639832518518,9294.639832518518,0.4293,591.8101591274999,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T02:10:00,2025-02-01T02:20:00,12,B0,Q2V2-SW2-REC5,2963.2742,0.0,2943.3655,0.0,520.36795,29.807033333333322,0.0,29.807033333333322,0.0,0.0,0.0,9294.639832518518,9321.466162518518,0.4324,225.00710157999998,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T02:20:00,2025-02-01T02:30:00,13,B0,Q2V2-SW2-REC5,3040.775,0.0,3019.32,0.0,514.9658333333333,11.74583333333328,0.0,11.74583333333328,0.0,0.0,0.0,9321.466162518518,9332.037412518517,0.4367,224.88557941666664,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T02:30:00,2025-02-01T02:40:00,14,B0,Q2V2-SW2-REC5,3009.72615,0.0,2844.4369,0.0,486.78975833333334,12.716941666666685,0.0,12.716941666666685,0.0,0.0,0.0,9332.037412518517,9343.482660018517,0.4348,211.65618692333334,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T02:40:00,2025-02-01T02:50:00,15,B0,Q2V2-SW2-REC5,3010.5222000000003,0.0,2768.3064,0.0,500.2027250000001,38.81832500000013,0.0,38.81832500000013,0.0,0.0,0.0,9343.482660018517,9378.419152518518,0.4335,216.83788128750004,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T02:50:00,2025-02-01T03:00:00,16,B0,Q2V2-SW2-REC5,3086.16,0.0,2861.65,0.0,520.0441666666666,43.10249999999991,0.0,43.10249999999991,0.0,0.0,0.0,9378.419152518518,9417.211402518518,0.4357,226.58324341666662,0.0
2025-02-01,2025-02-01T00:00:00,2025-02-01T03:00:00,2025-02-01T03:10:00,17,B0,Q2V2-SW2-REC5,3116.109,0.0,2900.3973,0.0,525.1277833333332,41.728233333333264,0.0,41.728233333333264,0.0,0.0,0.0,9417.211402518518,9454.76681251852,0.4374,229.69089242999996,0.0
