arm,model_id,block_days,mean_daily_difference_yuan,lower_95_yuan,upper_95_yuan
B0,Q2V2-SW2-REC5,3,0.0,0.0,0.0
B0,Q2V2-SW2-REC5,7,0.0,0.0,0.0
B0,Q2V2-SW2-REC5,14,0.0,0.0,0.0
Abl-L,Q2V3-HGBLOAD-REC5PV,3,-260.5595239442345,-969.052613342786,286.41749089690774
Abl-L,Q2V3-HGBLOAD-REC5PV,7,-260.5595239442345,-1126.400216193423,324.46234123007486
Abl-L,Q2V3-HGBLOAD-REC5PV,14,-260.5595239442345,-1155.878122928471,374.3574696652539
Abl-PV,Q2V3-SW2LOAD-HGBPV,3,-89.8441984919154,-995.5019009795989,815.6739244705448
Abl-PV,Q2V3-SW2LOAD-HGBPV,7,-89.8441984919154,-1041.3354711367272,814.2673178012084
Abl-PV,Q2V3-SW2LOAD-HGBPV,14,-89.8441984919154,-1088.5172064415294,918.538663949989
B1,Q2V3-HGBLOAD-HGBPV,3,-137.1915865399231,-1192.8888980245783,863.1530579053729
B1,Q2V3-HGBLOAD-HGBPV,7,-137.1915865399231,-1283.4815110608447,925.7144065620882
B1,Q2V3-HGBLOAD-HGBPV,14,-137.1915865399231,-1509.1880672607153,1171.6850580085757
