date,day_index,selected_candidate,planned_initial_energy_kwh,executed_initial_energy_kwh,actual_end_energy_kwh,realized_total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,candidate_scores_completed_before_issue,latest_full_score_day_released,grid_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,arm,model_id
2025-02-01,31,nocvar_g0.05,3696.146990203704,3717.349490203704,4287.498483475305,23284.283285284982,23284.283285284982,0.0,"{""nocvar_g0.00"": 70870.79191273167, ""cvar_t0.90_r0.05_g0.00"": 71692.87869755492, ""cvar_t0.90_r0.20_g0.00"": 73964.26218435778, ""cvar_t0.95_r0.05_g0.00"": 71692.87869755492, ""cvar_t0.95_r0.20_g0.00"": 73964.26218435778, ""nocvar_g0.02"": 66151.51721961565, ""cvar_t0.90_r0.05_g0.02"": 71447.94666725153, ""cvar_t0.90_r0.20_g0.02"": 74094.23301633222, ""cvar_t0.95_r0.05_g0.02"": 71602.84582892437, ""cvar_t0.95_r0.20_g0.02"": 74094.23301633222, ""nocvar_g0.05"": 65659.65099680061, ""cvar_t0.90_r0.05_g0.05"": 66450.92442435799, ""cvar_t0.90_r0.20_g0.05"": 72136.3036393263, ""cvar_t0.95_r0.05_g0.05"": 66495.93964924333, ""cvar_t0.95_r0.20_g0.05"": 74384.41277255792}",29,45163.39259558244,0.0,6505.517751090532,19824.02535375857,15544.3264426,B0,Q2V2-SW2-REC5
2025-02-02,32,nocvar_g0.05,4265.419233475304,4287.498483475305,5183.813042151806,56243.01542461003,56243.01542461003,0.0,"{""nocvar_g0.00"": 69824.48772692161, ""cvar_t0.90_r0.05_g0.00"": 70693.82079840371, ""cvar_t0.90_r0.20_g0.00"": 73337.77134219834, ""cvar_t0.95_r0.05_g0.00"": 70693.82079840371, ""cvar_t0.95_r0.20_g0.00"": 73337.77134219834, ""nocvar_g0.02"": 64874.421543713965, ""cvar_t0.90_r0.05_g0.02"": 70414.23848887712, ""cvar_t0.90_r0.20_g0.02"": 73479.6976786338, ""cvar_t0.95_r0.05_g0.02"": 70597.86902287482, ""cvar_t0.95_r0.20_g0.02"": 73479.6976786338, ""nocvar_g0.05"": 64269.370574711684, ""cvar_t0.90_r0.05_g0.05"": 65208.702480520486, ""cvar_t0.90_r0.20_g0.05"": 71161.38196056164, ""cvar_t0.95_r0.05_g0.05"": 65252.168107736754, ""cvar_t0.95_r0.20_g0.05"": 73772.38003652646}",30,89291.57688820479,0.0,5848.030524547321,22529.396372887524,17442.12795923004,B0,Q2V2-SW2-REC5
2025-02-03,33,nocvar_g0.05,5162.784542151806,5183.813042151806,5134.302134777778,55661.75544649341,55661.75544649341,0.0,"{""nocvar_g0.00"": 68876.54424418378, ""cvar_t0.90_r0.05_g0.00"": 69790.73132759846, ""cvar_t0.90_r0.20_g0.00"": 72804.79910546604, ""cvar_t0.95_r0.05_g0.00"": 69790.73132759846, ""cvar_t0.95_r0.20_g0.00"": 72804.79910546604, ""nocvar_g0.02"": 63697.709159810016, ""cvar_t0.90_r0.05_g0.02"": 69475.54461222522, ""cvar_t0.90_r0.20_g0.02"": 72961.30486332523, ""cvar_t0.95_r0.05_g0.02"": 69683.427992455, ""cvar_t0.95_r0.20_g0.02"": 72961.30486332523, ""nocvar_g0.05"": 62974.08793422358, ""cvar_t0.90_r0.05_g0.05"": 64008.069959449065, ""cvar_t0.90_r0.20_g0.05"": 70284.51445145438, ""cvar_t0.95_r0.05_g0.05"": 64030.68368705477, ""cvar_t0.95_r0.20_g0.05"": 73256.32807007917}",31,88157.08978168317,0.0,3758.2258627777874,22244.77492390539,18062.827505,B0,Q2V2-SW2-REC5
2025-02-04,34,nocvar_g0.05,5129.671634777778,5134.302134777778,4820.794488240755,55916.54225231742,55916.54225231742,0.0,"{""nocvar_g0.00"": 69282.16241643661, ""cvar_t0.90_r0.05_g0.00"": 70229.23662155936, ""cvar_t0.90_r0.20_g0.00"": 73634.31010298381, ""cvar_t0.95_r0.05_g0.00"": 70229.23662155936, ""cvar_t0.95_r0.20_g0.00"": 73634.31010298381, ""nocvar_g0.02"": 63689.41928238365, ""cvar_t0.90_r0.05_g0.02"": 69866.86756373257, ""cvar_t0.90_r0.20_g0.02"": 73807.69129532967, ""cvar_t0.95_r0.05_g0.02"": 70104.58263069934, ""cvar_t0.95_r0.20_g0.02"": 73807.69129532967, ""nocvar_g0.05"": 62885.983325596775, ""cvar_t0.90_r0.05_g0.05"": 63999.500274114944, ""cvar_t0.90_r0.20_g0.05"": 70744.24738126932, ""cvar_t0.95_r0.05_g0.05"": 64021.78876662703, ""cvar_t0.95_r0.20_g0.05"": 74138.57021997309}",32,88022.13340152653,0.0,2789.0568617078043,22738.78669316873,18700.574103349994,B0,Q2V2-SW2-REC5
2025-02-05,35,nocvar_g0.05,4783.475988240755,4820.794488240755,4885.207464862241,56480.21400685355,56480.21400685355,0.0,"{""nocvar_g0.00"": 69041.41178643769, ""cvar_t0.90_r0.05_g0.00"": 70035.74379457091, ""cvar_t0.90_r0.20_g0.00"": 73833.73747476916, ""cvar_t0.95_r0.05_g0.00"": 70035.74379457091, ""cvar_t0.95_r0.20_g0.00"": 73833.73747476916, ""nocvar_g0.02"": 63057.21627380179, ""cvar_t0.90_r0.05_g0.02"": 69616.88185354402, ""cvar_t0.90_r0.20_g0.02"": 74021.21218312162, ""cvar_t0.95_r0.05_g0.02"": 69892.75750314095, ""cvar_t0.95_r0.20_g0.02"": 74021.21218312162, ""nocvar_g0.05"": 62189.42267614249, ""cvar_t0.90_r0.05_g0.05"": 63367.79589440027, ""cvar_t0.90_r0.20_g0.05"": 70558.45870520758, ""cvar_t0.95_r0.05_g0.05"": 63390.417031556186, ""cvar_t0.95_r0.20_g0.05"": 74390.42148601732}",33,89429.36002114686,0.0,4259.788889957346,22964.065625772844,18542.92147791667,B0,Q2V2-SW2-REC5
2025-02-06,36,nocvar_g0.05,4848.43646486224,4885.207464862241,4749.9950895285765,56441.53844696557,56441.53844696557,0.0,"{""nocvar_g0.00"": 68374.62965377359, ""cvar_t0.90_r0.05_g0.00"": 69478.08943948823, ""cvar_t0.90_r0.20_g0.00"": 74042.13731590823, ""cvar_t0.95_r0.05_g0.00"": 69478.08943948823, ""cvar_t0.95_r0.20_g0.00"": 74042.13731590823, ""nocvar_g0.02"": 62382.73915202374, ""cvar_t0.90_r0.05_g0.02"": 68980.05756264053, ""cvar_t0.90_r0.20_g0.02"": 74249.91346000912, ""cvar_t0.95_r0.05_g0.02"": 69306.77097684448, ""cvar_t0.95_r0.20_g0.02"": 74249.91346000912, ""nocvar_g0.05"": 61512.661063138126, ""cvar_t0.90_r0.05_g0.05"": 62683.137266033176, ""cvar_t0.90_r0.20_g0.05"": 69974.11927198822, ""cvar_t0.95_r0.05_g0.05"": 62710.72523689241, ""cvar_t0.95_r0.20_g0.05"": 74661.2223639712}",34,89149.01032965888,0.0,4812.652656954741,22036.797862304134,17971.497406266662,B0,Q2V2-SW2-REC5
2025-02-07,37,nocvar_g0.05,4708.850839528576,4749.9950895285765,3719.923945074075,21141.546771827445,21141.546771827445,0.0,"{""nocvar_g0.00"": 67285.74637145789, ""cvar_t0.90_r0.05_g0.00"": 68495.25450828705, ""cvar_t0.90_r0.20_g0.00"": 73813.97844374618, ""cvar_t0.95_r0.05_g0.00"": 68495.25450828705, ""cvar_t0.95_r0.20_g0.00"": 73813.97844374618, ""nocvar_g0.02"": 61280.93002968032, ""cvar_t0.90_r0.05_g0.02"": 67898.47832924736, ""cvar_t0.90_r0.20_g0.02"": 74042.6501248521, ""cvar_t0.95_r0.05_g0.02"": 68282.22525431661, ""cvar_t0.95_r0.20_g0.02"": 74042.6501248521, ""nocvar_g0.05"": 60409.169914583734, ""cvar_t0.90_r0.05_g0.05"": 61563.84934613751, ""cvar_t0.90_r0.20_g0.05"": 68940.03132585516, ""cvar_t0.95_r0.05_g0.05"": 61593.68965826655, ""cvar_t0.95_r0.20_g0.05"": 73928.27479143416}",35,40819.128788023605,0.0,6437.578042911735,18436.500570811862,15860.629492366665,B0,Q2V2-SW2-REC5
2025-02-08,38,nocvar_g0.05,3683.091445074075,3719.923945074075,4820.993390529261,20546.33034613223,20546.33034613223,0.0,"{""nocvar_g0.00"": 66226.21426386324, ""cvar_t0.90_r0.05_g0.00"": 67518.49188710694, ""cvar_t0.90_r0.20_g0.00"": 73607.17744739549, ""cvar_t0.95_r0.05_g0.00"": 67518.49188710694, ""cvar_t0.95_r0.20_g0.00"": 73607.17744739549, ""nocvar_g0.02"": 60201.85161720786, ""cvar_t0.90_r0.05_g0.02"": 66845.41578304011, ""cvar_t0.90_r0.20_g0.02"": 73858.35504353639, ""cvar_t0.95_r0.05_g0.02"": 67286.72964208735, ""cvar_t0.95_r0.20_g0.02"": 73858.35504353639, ""nocvar_g0.05"": 59321.73096057705, ""cvar_t0.90_r0.05_g0.05"": 60476.48524759937, ""cvar_t0.90_r0.20_g0.05"": 67916.49429516889, ""cvar_t0.95_r0.05_g0.05"": 60511.81172346422, ""cvar_t0.95_r0.20_g0.05"": 73172.3521827977}",36,40006.057140656376,0.0,3599.2132117181063,20203.7826913786,15374.101479106996,B0,Q2V2-SW2-REC5
2025-02-09,39,nocvar_g0.05,4783.22639052926,4820.993390529261,4663.876692685186,56379.19965471099,52997.972178716256,3381.2274759947345,"{""nocvar_g0.00"": 65267.900885414325, ""cvar_t0.90_r0.05_g0.00"": 66582.13851664138, ""cvar_t0.90_r0.20_g0.00"": 73408.8750962536, ""cvar_t0.95_r0.05_g0.00"": 66582.13851664138, ""cvar_t0.95_r0.20_g0.00"": 73408.8750962536, ""nocvar_g0.02"": 59212.75311274466, ""cvar_t0.90_r0.05_g0.02"": 65883.99469179787, ""cvar_t0.90_r0.20_g0.02"": 73667.56976476716, ""cvar_t0.95_r0.05_g0.02"": 66332.60199939816, ""cvar_t0.95_r0.20_g0.02"": 73667.56976476716, ""nocvar_g0.05"": 58334.877565600975, ""cvar_t0.90_r0.05_g0.05"": 59489.23570159014, ""cvar_t0.90_r0.20_g0.05"": 66944.39297381633, ""cvar_t0.95_r0.05_g0.05"": 59524.66486991232, ""cvar_t0.95_r0.20_g0.05"": 72528.45255698472}",37,84505.24235408971,485.012247266662,1161.4717583333377,23235.64160218971,18962.274725833333,B0,Q2V2-SW2-REC5
2025-02-10,40,nocvar_g0.05,4636.979442685186,4663.876692685186,5392.842081555007,54830.934500460426,54830.934500460426,0.0,"{""nocvar_g0.00"": 65009.924330814574, ""cvar_t0.90_r0.05_g0.00"": 66393.25399662787, ""cvar_t0.90_r0.20_g0.00"": 73206.27007674762, ""cvar_t0.95_r0.05_g0.00"": 66393.25399662787, ""cvar_t0.95_r0.20_g0.00"": 73206.27007674762, ""nocvar_g0.02"": 58298.66249142432, ""cvar_t0.90_r0.05_g0.02"": 65336.91874482465, ""cvar_t0.90_r0.20_g0.02"": 73469.31043433597, ""cvar_t0.95_r0.05_g0.02"": 65787.70934999197, ""cvar_t0.95_r0.20_g0.02"": 73469.31043433597, ""nocvar_g0.05"": 57310.3982476727, ""cvar_t0.90_r0.05_g0.05"": 58510.62587581004, ""cvar_t0.90_r0.20_g0.05"": 66726.27279865132, ""cvar_t0.95_r0.05_g0.05"": 58569.75617017251, ""cvar_t0.95_r0.20_g0.05"": 72329.1499112244}",38,87096.99798448497,0.0,8232.482596337439,20430.57344648088,15892.695641666667,B0,Q2V2-SW2-REC5
2025-02-11,41,nocvar_g0.05,5402.405331555007,5392.842081555007,4979.2592096296285,53023.86463746376,53023.86463746376,0.0,"{""nocvar_g0.00"": 64617.728125405614, ""cvar_t0.90_r0.05_g0.00"": 66154.86489708701, ""cvar_t0.90_r0.20_g0.00"": 72953.48611800963, ""cvar_t0.95_r0.05_g0.00"": 66154.86489708701, ""cvar_t0.95_r0.20_g0.00"": 72953.48611800963, ""nocvar_g0.02"": 57222.94188807398, ""cvar_t0.90_r0.05_g0.02"": 64468.58210635467, ""cvar_t0.90_r0.20_g0.02"": 73250.94295434268, ""cvar_t0.95_r0.05_g0.02"": 64917.47878857852, ""cvar_t0.95_r0.20_g0.02"": 73250.94295434268, ""nocvar_g0.05"": 56200.534362355495, ""cvar_t0.90_r0.05_g0.05"": 57345.59405984723, ""cvar_t0.90_r0.20_g0.05"": 66479.10899308209, ""cvar_t0.95_r0.05_g0.05"": 57445.34257239818, ""cvar_t0.95_r0.20_g0.05"": 72100.2719599065}",39,84374.77907765286,0.0,5499.724746604936,21193.06201288127,17538.60481516667,B0,Q2V2-SW2-REC5
2025-02-12,42,nocvar_g0.05,4943.291459629629,4979.2592096296285,4609.613450370372,52436.34998125397,52436.34998125397,0.0,"{""nocvar_g0.00"": 64296.424290648785, ""cvar_t0.90_r0.05_g0.00"": 65960.71997053539, ""cvar_t0.90_r0.20_g0.00"": 72744.55534770378, ""cvar_t0.95_r0.05_g0.00"": 65960.71997053539, ""cvar_t0.95_r0.20_g0.00"": 72744.55534770378, ""nocvar_g0.02"": 56202.01974918514, ""cvar_t0.90_r0.05_g0.02"": 63675.66550273681, ""cvar_t0.90_r0.20_g0.02"": 73079.48651752033, ""cvar_t0.95_r0.05_g0.02"": 64113.1778436093, ""cvar_t0.95_r0.20_g0.02"": 73079.48651752033, ""nocvar_g0.05"": 55087.194143472414, ""cvar_t0.90_r0.05_g0.05"": 56255.29038647195, ""cvar_t0.90_r0.20_g0.05"": 66277.03527349517, ""cvar_t0.95_r0.05_g0.05"": 56401.462935774056, ""cvar_t0.95_r0.20_g0.05"": 71917.98156307866}",40,84014.2610600251,0.0,4963.487253755769,21666.941348786007,17882.903675849997,B0,Q2V2-SW2-REC5
2025-02-13,43,nocvar_g0.05,4578.371450370372,4609.613450370372,5163.896479815741,53049.01095635566,53049.01095635566,0.0,"{""nocvar_g0.00"": 63928.16731390076, ""cvar_t0.90_r0.05_g0.00"": 65719.12546528524, ""cvar_t0.90_r0.20_g0.00"": 72487.61914753987, ""cvar_t0.95_r0.05_g0.00"": 65719.12546528524, ""cvar_t0.95_r0.20_g0.00"": 72487.61914753987, ""nocvar_g0.02"": 55156.507819993756, ""cvar_t0.90_r0.05_g0.02"": 62807.060613045054, ""cvar_t0.90_r0.20_g0.02"": 72863.0877150391, ""cvar_t0.95_r0.05_g0.02"": 63265.79304102701, ""cvar_t0.95_r0.20_g0.02"": 72863.0877150391, ""nocvar_g0.05"": 53913.329660615236, ""cvar_t0.90_r0.05_g0.05"": 55125.20395183897, ""cvar_t0.90_r0.20_g0.05"": 66021.08785031702, ""cvar_t0.95_r0.05_g0.05"": 55315.20203981836, ""cvar_t0.95_r0.20_g0.05"": 71689.2112087004}",41,84823.01974011419,0.0,9227.39810548222,19827.831007707813,15561.6883897425,B0,Q2V2-SW2-REC5
2025-02-14,44,nocvar_g0.05,5136.213979815741,5163.896479815741,4638.423601487082,18757.95640364028,18757.95640364028,0.0,"{""nocvar_g0.00"": 63526.537258857854, ""cvar_t0.90_r0.05_g0.00"": 65439.685523530155, ""cvar_t0.90_r0.20_g0.00"": 72196.80910685226, ""cvar_t0.95_r0.05_g0.00"": 65439.685523530155, ""cvar_t0.95_r0.20_g0.00"": 72196.80910685226, ""nocvar_g0.02"": 54059.63712334282, ""cvar_t0.90_r0.05_g0.02"": 61891.15431541652, ""cvar_t0.90_r0.20_g0.02"": 72614.58631816806, ""cvar_t0.95_r0.05_g0.02"": 62359.60012017062, ""cvar_t0.95_r0.20_g0.02"": 72614.58631816806, ""nocvar_g0.05"": 52717.40610942464, ""cvar_t0.90_r0.05_g0.05"": 53949.630117590284, ""cvar_t0.90_r0.20_g0.05"": 65731.16070837804, ""cvar_t0.95_r0.05_g0.05"": 54188.335041910934, ""cvar_t0.95_r0.20_g0.05"": 71432.4036941429}",42,35899.78225682927,0.0,3177.509943673408,17859.979405184153,14939.508908694956,B0,Q2V2-SW2-REC5
2025-02-15,45,nocvar_g0.05,4645.231351487082,4638.423601487082,4234.73262,19639.048480966,18499.585448133344,1139.4630328326575,"{""nocvar_g0.00"": 63141.47901813744, ""cvar_t0.90_r0.05_g0.00"": 65181.2606966783, ""cvar_t0.90_r0.20_g0.00"": 71927.17196554322, ""cvar_t0.95_r0.05_g0.00"": 65181.2606966783, ""cvar_t0.95_r0.20_g0.00"": 71927.17196554322, ""nocvar_g0.02"": 52982.007729591205, ""cvar_t0.90_r0.05_g0.02"": 60989.72310744191, ""cvar_t0.90_r0.20_g0.02"": 72384.87516971964, ""cvar_t0.95_r0.05_g0.02"": 61465.4810312089, ""cvar_t0.95_r0.20_g0.02"": 72384.88469612828, ""nocvar_g0.05"": 51550.119757133085, ""cvar_t0.90_r0.05_g0.05"": 52781.48503631331, ""cvar_t0.90_r0.20_g0.05"": 64946.70170468767, ""cvar_t0.95_r0.05_g0.05"": 53077.29321711049, ""cvar_t0.95_r0.20_g0.05"": 71194.07731315838}",43,35664.35392255036,212.2631623341659,3555.269553148152,17918.83323723554,14877.576805499168,B0,Q2V2-SW2-REC5
2025-02-16,46,nocvar_g0.05,4225.42437,4234.73262,4325.63635074074,57131.844509995535,48640.62174177991,8491.222768215632,"{""nocvar_g0.00"": 62843.79081432597, ""cvar_t0.90_r0.05_g0.00"": 64919.14544561965, ""cvar_t0.90_r0.20_g0.00"": 71647.18153550095, ""cvar_t0.95_r0.05_g0.00"": 64919.14544561965, ""cvar_t0.95_r0.20_g0.00"": 71647.18153550095, ""nocvar_g0.02"": 52109.06227523833, ""cvar_t0.90_r0.05_g0.02"": 60324.27277219561, ""cvar_t0.90_r0.20_g0.02"": 72113.31231572457, ""cvar_t0.95_r0.05_g0.02"": 60778.63100402049, ""cvar_t0.95_r0.20_g0.02"": 72113.33833196202, ""nocvar_g0.05"": 50512.9881918191, ""cvar_t0.90_r0.05_g0.05"": 51766.045476130814, ""cvar_t0.90_r0.20_g0.05"": 64346.87123214967, ""cvar_t0.95_r0.05_g0.05"": 52064.891917560766, ""cvar_t0.95_r0.20_g0.05"": 70904.04905761432}",44,78457.47316202408,1313.469714729329,37.6841433333334,22495.085661860096,18139.20602844001,B0,Q2V2-SW2-REC5
