candidate_id,candidate_index,beta,rho,gamma,label,selected_days
nocvar_g0.00,1,,0.0,0.0,N | 0.00,12
cvar_t0.90_r0.05_g0.00,2,0.9,0.05,0.0,90/05 | 0.00,17
cvar_t0.90_r0.20_g0.00,3,0.9,0.2,0.0,90/20 | 0.00,23
cvar_t0.95_r0.05_g0.00,4,0.95,0.05,0.0,95/05 | 0.00,0
cvar_t0.95_r0.20_g0.00,5,0.95,0.2,0.0,95/20 | 0.00,0
nocvar_g0.02,6,,0.0,0.02,N | 0.02,27
cvar_t0.90_r0.05_g0.02,7,0.9,0.05,0.02,90/05 | 0.02,15
cvar_t0.90_r0.20_g0.02,8,0.9,0.2,0.02,90/20 | 0.02,15
cvar_t0.95_r0.05_g0.02,9,0.95,0.05,0.02,95/05 | 0.02,61
cvar_t0.95_r0.20_g0.02,10,0.95,0.2,0.02,95/20 | 0.02,1
nocvar_g0.05,11,,0.0,0.05,N | 0.05,69
cvar_t0.90_r0.05_g0.05,12,0.9,0.05,0.05,90/05 | 0.05,30
cvar_t0.90_r0.20_g0.05,13,0.9,0.2,0.05,90/20 | 0.05,17
cvar_t0.95_r0.05_g0.05,14,0.95,0.05,0.05,95/05 | 0.05,21
cvar_t0.95_r0.20_g0.05,15,0.95,0.2,0.05,95/20 | 0.05,26
