date,day_index,selected_candidate,latest_full_score_day_released,candidate_index,gamma
2025-02-01,31,nocvar_g0.05,29,11,0.05
2025-02-02,32,nocvar_g0.05,30,11,0.05
2025-02-03,33,nocvar_g0.05,31,11,0.05
2025-02-04,34,nocvar_g0.05,32,11,0.05
2025-02-05,35,nocvar_g0.05,33,11,0.05
2025-02-06,36,nocvar_g0.05,34,11,0.05
2025-02-07,37,nocvar_g0.05,35,11,0.05
2025-02-08,38,nocvar_g0.05,36,11,0.05
2025-02-09,39,nocvar_g0.05,37,11,0.05
2025-02-10,40,nocvar_g0.05,38,11,0.05
2025-02-11,41,nocvar_g0.05,39,11,0.05
2025-02-12,42,nocvar_g0.05,40,11,0.05
2025-02-13,43,nocvar_g0.05,41,11,0.05
2025-02-14,44,nocvar_g0.05,42,11,0.05
2025-02-15,45,nocvar_g0.05,43,11,0.05
2025-02-16,46,nocvar_g0.05,44,11,0.05
2025-02-17,47,nocvar_g0.05,45,11,0.05
2025-02-18,48,nocvar_g0.05,46,11,0.05
2025-02-19,49,nocvar_g0.05,47,11,0.05
2025-02-20,50,nocvar_g0.05,48,11,0.05
2025-02-21,51,nocvar_g0.05,49,11,0.05
2025-02-22,52,nocvar_g0.05,50,11,0.05
2025-02-23,53,nocvar_g0.05,51,11,0.05
2025-02-24,54,nocvar_g0.05,52,11,0.05
2025-02-25,55,nocvar_g0.05,53,11,0.05
2025-02-26,56,nocvar_g0.05,54,11,0.05
2025-02-27,57,nocvar_g0.05,55,11,0.05
2025-02-28,58,nocvar_g0.05,56,11,0.05
2025-03-01,59,nocvar_g0.05,57,11,0.05
2025-03-02,60,nocvar_g0.05,58,11,0.05
2025-03-03,61,cvar_t0.90_r0.05_g0.05,59,12,0.05
2025-03-04,62,cvar_t0.90_r0.05_g0.05,60,12,0.05
2025-03-05,63,cvar_t0.90_r0.05_g0.05,61,12,0.05
2025-03-06,64,cvar_t0.90_r0.05_g0.05,62,12,0.05
2025-03-07,65,cvar_t0.90_r0.05_g0.05,63,12,0.05
2025-03-08,66,cvar_t0.90_r0.05_g0.05,64,12,0.05
2025-03-09,67,cvar_t0.90_r0.05_g0.05,65,12,0.05
2025-03-10,68,cvar_t0.90_r0.05_g0.05,66,12,0.05
2025-03-11,69,cvar_t0.90_r0.05_g0.05,67,12,0.05
2025-03-12,70,cvar_t0.90_r0.05_g0.05,68,12,0.05
2025-03-13,71,cvar_t0.90_r0.05_g0.05,69,12,0.05
2025-03-14,72,cvar_t0.90_r0.05_g0.05,70,12,0.05
2025-03-15,73,cvar_t0.90_r0.05_g0.05,71,12,0.05
2025-03-16,74,cvar_t0.90_r0.05_g0.05,72,12,0.05
2025-03-17,75,cvar_t0.95_r0.05_g0.05,73,14,0.05
2025-03-18,76,cvar_t0.95_r0.05_g0.05,74,14,0.05
2025-03-19,77,nocvar_g0.02,75,6,0.02
2025-03-20,78,nocvar_g0.02,76,6,0.02
2025-03-21,79,cvar_t0.95_r0.05_g0.05,77,14,0.05
2025-03-22,80,nocvar_g0.02,78,6,0.02
2025-03-23,81,nocvar_g0.02,79,6,0.02
2025-03-24,82,nocvar_g0.02,80,6,0.02
2025-03-25,83,nocvar_g0.02,81,6,0.02
2025-03-26,84,nocvar_g0.02,82,6,0.02
2025-03-27,85,nocvar_g0.02,83,6,0.02
2025-03-28,86,nocvar_g0.02,84,6,0.02
2025-03-29,87,cvar_t0.95_r0.20_g0.05,85,15,0.05
2025-03-30,88,cvar_t0.95_r0.20_g0.05,86,15,0.05
2025-03-31,89,cvar_t0.95_r0.20_g0.05,87,15,0.05
2025-04-01,90,nocvar_g0.00,88,1,0.0
2025-04-02,91,nocvar_g0.00,89,1,0.0
2025-04-03,92,cvar_t0.90_r0.05_g0.02,90,7,0.02
2025-04-04,93,cvar_t0.90_r0.05_g0.02,91,7,0.02
2025-04-05,94,cvar_t0.95_r0.05_g0.02,92,9,0.02
2025-04-06,95,cvar_t0.95_r0.05_g0.02,93,9,0.02
2025-04-07,96,cvar_t0.95_r0.05_g0.02,94,9,0.02
2025-04-08,97,cvar_t0.95_r0.05_g0.02,95,9,0.02
2025-04-09,98,cvar_t0.95_r0.05_g0.02,96,9,0.02
2025-04-10,99,cvar_t0.95_r0.05_g0.02,97,9,0.02
2025-04-11,100,cvar_t0.95_r0.05_g0.02,98,9,0.02
2025-04-12,101,cvar_t0.95_r0.05_g0.02,99,9,0.02
2025-04-13,102,cvar_t0.95_r0.05_g0.02,100,9,0.02
2025-04-14,103,cvar_t0.95_r0.05_g0.02,101,9,0.02
2025-04-15,104,cvar_t0.90_r0.05_g0.02,102,7,0.02
2025-04-16,105,cvar_t0.90_r0.05_g0.02,103,7,0.02
2025-04-17,106,cvar_t0.90_r0.05_g0.02,104,7,0.02
2025-04-18,107,cvar_t0.90_r0.05_g0.02,105,7,0.02
2025-04-19,108,cvar_t0.90_r0.05_g0.02,106,7,0.02
2025-04-20,109,cvar_t0.95_r0.05_g0.05,107,14,0.05
2025-04-21,110,cvar_t0.95_r0.05_g0.05,108,14,0.05
2025-04-22,111,cvar_t0.95_r0.05_g0.05,109,14,0.05
2025-04-23,112,cvar_t0.95_r0.05_g0.05,110,14,0.05
2025-04-24,113,cvar_t0.95_r0.05_g0.05,111,14,0.05
2025-04-25,114,cvar_t0.95_r0.05_g0.05,112,14,0.05
2025-04-26,115,cvar_t0.95_r0.05_g0.05,113,14,0.05
2025-04-27,116,cvar_t0.95_r0.05_g0.05,114,14,0.05
2025-04-28,117,cvar_t0.95_r0.05_g0.05,115,14,0.05
2025-04-29,118,cvar_t0.95_r0.05_g0.05,116,14,0.05
2025-04-30,119,cvar_t0.95_r0.05_g0.05,117,14,0.05
2025-05-01,120,cvar_t0.90_r0.05_g0.05,118,12,0.05
2025-05-02,121,cvar_t0.90_r0.05_g0.05,119,12,0.05
2025-05-03,122,cvar_t0.90_r0.05_g0.05,120,12,0.05
2025-05-04,123,cvar_t0.90_r0.05_g0.05,121,12,0.05
2025-05-05,124,cvar_t0.90_r0.05_g0.05,122,12,0.05
2025-05-06,125,cvar_t0.90_r0.20_g0.00,123,3,0.0
2025-05-07,126,cvar_t0.90_r0.20_g0.00,124,3,0.0
2025-05-08,127,cvar_t0.90_r0.20_g0.00,125,3,0.0
2025-05-09,128,cvar_t0.90_r0.20_g0.00,126,3,0.0
2025-05-10,129,cvar_t0.90_r0.20_g0.00,127,3,0.0
2025-05-11,130,cvar_t0.90_r0.20_g0.00,128,3,0.0
2025-05-12,131,cvar_t0.90_r0.20_g0.00,129,3,0.0
2025-05-13,132,cvar_t0.90_r0.20_g0.00,130,3,0.0
2025-05-14,133,cvar_t0.90_r0.20_g0.00,131,3,0.0
2025-05-15,134,cvar_t0.90_r0.20_g0.00,132,3,0.0
2025-05-16,135,cvar_t0.90_r0.20_g0.00,133,3,0.0
2025-05-17,136,cvar_t0.90_r0.20_g0.00,134,3,0.0
2025-05-18,137,cvar_t0.90_r0.20_g0.00,135,3,0.0
2025-05-19,138,cvar_t0.90_r0.20_g0.00,136,3,0.0
2025-05-20,139,cvar_t0.90_r0.20_g0.00,137,3,0.0
2025-05-21,140,cvar_t0.90_r0.20_g0.00,138,3,0.0
2025-05-22,141,nocvar_g0.02,139,6,0.02
2025-05-23,142,nocvar_g0.02,140,6,0.02
2025-05-24,143,nocvar_g0.02,141,6,0.02
2025-05-25,144,nocvar_g0.02,142,6,0.02
2025-05-26,145,nocvar_g0.02,143,6,0.02
2025-05-27,146,nocvar_g0.02,144,6,0.02
2025-05-28,147,nocvar_g0.02,145,6,0.02
2025-05-29,148,nocvar_g0.02,146,6,0.02
2025-05-30,149,nocvar_g0.02,147,6,0.02
2025-05-31,150,nocvar_g0.02,148,6,0.02
2025-06-01,151,nocvar_g0.02,149,6,0.02
2025-06-02,152,nocvar_g0.02,150,6,0.02
2025-06-03,153,nocvar_g0.02,151,6,0.02
2025-06-04,154,cvar_t0.90_r0.05_g0.00,152,2,0.0
2025-06-05,155,cvar_t0.95_r0.20_g0.05,153,15,0.05
2025-06-06,156,cvar_t0.95_r0.20_g0.05,154,15,0.05
2025-06-07,157,cvar_t0.95_r0.05_g0.02,155,9,0.02
2025-06-08,158,cvar_t0.95_r0.05_g0.02,156,9,0.02
2025-06-09,159,cvar_t0.95_r0.20_g0.05,157,15,0.05
2025-06-10,160,cvar_t0.95_r0.20_g0.05,158,15,0.05
2025-06-11,161,cvar_t0.95_r0.20_g0.05,159,15,0.05
2025-06-12,162,cvar_t0.95_r0.05_g0.02,160,9,0.02
2025-06-13,163,cvar_t0.95_r0.05_g0.02,161,9,0.02
2025-06-14,164,cvar_t0.95_r0.05_g0.02,162,9,0.02
2025-06-15,165,cvar_t0.95_r0.05_g0.02,163,9,0.02
2025-06-16,166,cvar_t0.95_r0.05_g0.02,164,9,0.02
2025-06-17,167,cvar_t0.95_r0.05_g0.02,165,9,0.02
2025-06-18,168,cvar_t0.95_r0.05_g0.02,166,9,0.02
2025-06-19,169,cvar_t0.95_r0.05_g0.02,167,9,0.02
2025-06-20,170,cvar_t0.95_r0.05_g0.02,168,9,0.02
2025-06-21,171,cvar_t0.95_r0.05_g0.02,169,9,0.02
2025-06-22,172,cvar_t0.95_r0.05_g0.02,170,9,0.02
2025-06-23,173,cvar_t0.95_r0.05_g0.02,171,9,0.02
2025-06-24,174,cvar_t0.95_r0.05_g0.02,172,9,0.02
2025-06-25,175,cvar_t0.95_r0.05_g0.02,173,9,0.02
2025-06-26,176,cvar_t0.95_r0.05_g0.02,174,9,0.02
2025-06-27,177,cvar_t0.95_r0.05_g0.02,175,9,0.02
2025-06-28,178,cvar_t0.95_r0.05_g0.02,176,9,0.02
2025-06-29,179,cvar_t0.95_r0.05_g0.02,177,9,0.02
2025-06-30,180,cvar_t0.95_r0.05_g0.02,178,9,0.02
2025-07-01,181,cvar_t0.95_r0.05_g0.02,179,9,0.02
2025-07-02,182,nocvar_g0.05,180,11,0.05
2025-07-03,183,cvar_t0.95_r0.05_g0.02,181,9,0.02
2025-07-04,184,cvar_t0.95_r0.05_g0.02,182,9,0.02
2025-07-05,185,cvar_t0.95_r0.05_g0.02,183,9,0.02
2025-07-06,186,cvar_t0.95_r0.05_g0.02,184,9,0.02
