nominal_hour,emergency_kwh,active_intervals,intervals
0,0.0,0,2004
1,0.0,0,2004
2,0.0,0,2004
3,0.0,0,2004
4,0.0,0,2004
5,1031.7185306707815,8,2004
6,3073.131145385775,32,2004
7,4217.145125620688,54,2004
8,6163.882514331658,43,2004
9,19001.714234138573,131,2004
10,7770.649928283844,64,2004
11,107.52500293333749,4,2004
12,0.0,0,2004
13,0.0,0,2004
14,0.0,0,2004
15,0.0,0,2004
16,625.738273266666,4,2004
17,457.9267149999997,6,2004
18,1443.3210353333336,10,2004
19,19653.74121094407,57,2004
20,87480.60453982516,281,2004
21,5766.028777654402,166,2004
22,0.0,0,2004
23,0.0,0,2004
