month,days,q25_cash_yuan,median_cash_yuan,q75_cash_yuan,p95_cash_yuan,max_cash_yuan,emergency_days,emergency_day_fraction
2025-02,28,22748.599156920598,48871.46444175675,55725.452147949414,56903.77383389584,59829.28681104818,12,0.42857142857142855
2025-03,31,18054.44669456742,40501.41660552772,46112.030695778616,56034.18400794519,70371.63498296251,13,0.41935483870967744
2025-04,30,18974.072501565115,35081.714203917436,38932.10595828852,64499.856795686064,71511.08589369377,15,0.5
2025-05,31,16456.965682437134,36152.6681550494,38750.02312111064,45014.29659283557,46038.01649894612,11,0.3548387096774194
2025-06,30,36890.58955681139,52771.46676187236,57725.40297602016,83970.25630991976,111230.50827298813,12,0.4
2025-07,31,43688.03747422093,55525.05071276021,58788.82703618702,65002.32113388493,90561.45153121556,12,0.3870967741935484
2025-08,31,25690.866215231967,46031.46196411385,47671.641558311225,58483.276124368276,77964.90210206067,16,0.5161290322580645
2025-09,30,26118.988743990616,42698.710360006815,44352.68789245251,50745.94553664905,51327.0873278756,16,0.5333333333333333
2025-10,31,18077.165602163434,40356.98602299311,45352.29170122873,51043.0623092907,60753.81704575395,13,0.41935483870967744
2025-11,30,21280.209901035796,49154.177244654406,51784.54658448801,55056.55425083037,60593.85528367413,11,0.36666666666666664
2025-12,31,48283.30363043777,62747.94484578296,64271.34110014035,76492.15302929771,88162.15157538828,9,0.2903225806451613
