month,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,grid_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh
2025-02,1172823.5319647926,36924.24452882146,1209747.776493614,1933438.265386119,6401.485204144661,583910.6194221186,472312.96836716495
2025-03,1078880.3419647168,73706.65506379113,1152586.9970285078,1803126.3784257744,11846.038931861438,582824.6664532839,472029.3872343937
2025-04,878731.5668084422,138645.0469360216,1017376.613744464,1504026.1024732925,21526.05656637653,535451.2584327478,433518.0542141704
2025-05,921904.9048763368,61877.604998217794,983782.5098745546,1519417.3632742288,9689.846212132496,516699.88411439065,417718.796776198
2025-06,1281707.832152197,232238.31131093795,1513946.1434631343,2018282.1567287107,37186.62949342017,527001.200305992,425282.72638563486
2025-07,1482571.1616594307,108453.50786487407,1591024.6695243048,2277326.027755694,18965.893129915203,522990.54814658646,422148.54928681074
2025-08,1218312.4307880006,71602.86931123691,1289915.3000992374,1909832.8440197117,11127.62327084904,538481.4561724791,439388.3432381085
2025-09,1080550.0564501714,57714.45257930271,1138264.509029474,1717994.270343786,9762.394333418795,532791.4408832155,432700.87321182847
2025-10,1077288.5001151485,61237.8435913255,1138526.3437064737,1755414.0762410208,9585.44116950717,583512.879756153,472335.771212234
2025-11,1216408.0907297642,33462.855469206384,1249870.9461989703,1975981.7489378368,5268.717981105201,623064.0515516282,505145.94726965216
2025-12,1640537.6703076677,86510.72829857198,1727048.3986062396,2614294.6660681874,15433.00074065758,693588.2043146848,561453.783501978
