variable,time_index,nominal_hour,median_kw,p10_kw,p90_kw,price_yuan_per_kwh
load,0,0.0,3465.0342,2456.42128,4385.73558,0.4248
load,1,0.16666666666666666,3452.6851,2503.66132,4354.93568,0.4245
load,2,0.3333333333333333,3467.02,2529.67,4307.07,0.4269
load,3,0.5,3476.4439,2568.1365800000003,4349.835660000001,0.4272
load,4,0.6666666666666666,3491.0769,2561.91706,4271.3085,0.4271
load,5,0.8333333333333334,3507.56,2562.24,4332.104000000001,0.4285
load,6,1.0,3510.7796,2536.5207,4262.34058,0.4311
load,7,1.1666666666666667,3532.2407,2569.37534,4216.918,0.4302
load,8,1.3333333333333333,3519.32,2606.482,4169.224,0.4279
load,9,1.5,3533.0136,2599.6925,4248.04236,0.4312
load,10,1.6666666666666667,3553.1771,2603.83176,4189.88606,0.4333
load,11,1.8333333333333333,3553.83,2616.118,4142.170000000001,0.4311
load,12,2.0,3566.7016,2618.0826,4195.9967400000005,0.4293
load,13,2.1666666666666665,3580.066,2640.21422,4167.2285600000005,0.4324
load,14,2.3333333333333335,3594.62,2668.1859999999997,4151.612,0.4367
load,15,2.5,3601.2505,2679.79308,4162.00328,0.4348
load,16,2.6666666666666665,3603.0912,2660.71274,4180.27438,0.4335
load,17,2.8333333333333335,3601.04,2652.018,4154.344,0.4357
load,18,3.0,3614.0257,2669.87448,4128.4249,0.4374
load,19,3.1666666666666665,3610.2324,2690.16374,4145.01604,0.4371
load,20,3.3333333333333335,3617.8,2670.3740000000003,4208.724,0.4356
load,21,3.5,3631.228,2706.21744,4155.71992,0.4353
load,22,3.6666666666666665,3642.9442,2730.53048,4176.27764,0.436
load,23,3.8333333333333335,3640.17,2744.682,4183.6900000000005,0.4378
load,24,4.0,3627.8981,2727.93294,4190.68678,0.4401
load,25,4.166666666666667,3639.6836,2705.57586,4185.8958,0.4389
load,26,4.333333333333333,3644.65,2710.204,4187.874,0.4364
load,27,4.5,3659.6071,2735.37614,4219.98626,0.4393
load,28,4.666666666666667,3663.3583,2760.09678,4201.744020000001,0.4422
load,29,4.833333333333333,3659.6,2739.168,4163.55,0.4395
load,30,5.0,3655.9561,2709.6109,4204.93414,0.4333
load,31,5.166666666666667,3668.3357,2722.6257,4232.62906,0.4439
load,32,5.333333333333333,3675.03,2753.3920000000003,4154.612,0.4301
load,33,5.5,3550.4264,2743.36058,4030.32866,0.3713
load,34,5.666666666666667,4013.7353,2753.49028,4520.86206,0.5708
load,35,5.833333333333333,4805.33,2750.25,5348.7660000000005,0.9099
load,36,6.0,4905.4054,2711.1058,5415.5127600000005,0.9368
load,37,6.166666666666667,4797.6279,2734.19524,5288.1089600000005,0.8758
load,38,6.333333333333333,4816.28,2754.328,5355.612,0.8759
load,39,6.5,4817.7937,2692.74204,5363.58924,0.8601
load,40,6.666666666666667,4815.4282,2874.3243,5340.63064,0.8442
load,41,6.833333333333333,4792.84,3216.826,5332.534000000001,0.8334
load,42,7.0,4791.268,3277.2299199999998,5325.57502,0.8092
load,43,7.166666666666667,4835.3889,3214.85174,5381.38324,0.7972
load,44,7.333333333333333,4799.88,3203.062,5348.724,0.7644
load,45,7.5,4608.2702,3215.5433199999998,5144.8796,0.6899
load,46,7.666666666666667,5342.3413,3192.32022,5889.218800000001,0.86
load,47,7.833333333333333,6582.74,3216.416,7182.272,1.1617
load,48,8.0,6707.1785,3195.52768,7253.51984,1.1683
load,49,8.166666666666666,6532.3389,3208.68976,7049.96872,1.0956
load,50,8.333333333333334,6560.48,3138.134,7116.308000000001,1.0849
load,51,8.5,6563.5191,3126.5625,7121.81982,1.061
load,52,8.666666666666666,6539.8425,3410.2878800000003,7102.7438,1.043
load,53,8.833333333333334,6545.14,3856.16,7065.18,1.036
load,54,9.0,6540.6298,3890.8936200000003,7079.06244,1.0147
load,55,9.166666666666666,6523.8899,3834.38328,7045.81782,0.9922
load,56,9.333333333333334,6528.87,3858.688,7026.764,0.97
load,57,9.5,6503.5749,3798.3205,7013.202200000001,0.9422
load,58,9.666666666666666,6503.6566,3804.08848,7024.1796,0.9569
load,59,9.833333333333334,6480.73,3818.884,7037.662,0.9977
load,60,10.0,6479.0144,3795.68398,7007.10034,0.9919
load,61,10.166666666666666,6486.7084,3790.63414,7005.4919,0.9588
load,62,10.333333333333334,6451.51,3794.154,6984.822,0.9549
load,63,10.5,6433.349,3761.5299999999997,6976.52072,0.9839
load,64,10.666666666666666,6428.5835,3741.93642,6952.00482,0.799
load,65,10.833333333333334,6435.03,3756.842,6942.09,0.5025
load,66,11.0,6427.534,3770.36582,6935.39526,0.4662
load,67,11.166666666666666,6390.6269,3740.51898,6940.063260000001,0.5007
load,68,11.333333333333334,6413.25,3691.414,6952.576,0.4827
load,69,11.5,6429.2379,3707.83426,6950.76454,0.4785
load,70,11.666666666666666,6261.7595,3690.8149,6814.44664,0.4662
load,71,11.833333333333334,5991.26,3700.994,6542.3060000000005,0.4432
load,72,12.0,5956.0462,3664.52004,6506.183,0.4411
load,73,12.166666666666666,5986.4457,3679.2409,6520.24604,0.4551
load,74,12.333333333333334,5958.43,3664.132,6474.634,0.4463
load,75,12.5,5926.6448,3667.43758,6441.1549,0.4113
load,76,12.666666666666666,6064.0725,3626.45376,6596.67698,0.5682
load,77,12.833333333333334,6299.59,3607.122,6836.812,0.8279
load,78,13.0,6331.239,3596.22638,6866.4697,0.8636
load,79,13.166666666666666,6288.4228,3587.23174,6846.904640000001,0.8416
load,80,13.333333333333334,6277.11,3615.916,6898.6140000000005,0.8618
load,81,13.5,6272.0999,3621.3147,6876.824660000001,0.8623
load,82,13.666666666666666,6242.4743,3587.5238799999997,6866.1017600000005,0.9026
load,83,13.833333333333334,6231.9,3577.288,6904.55,0.9754
load,84,14.0,6233.7006,3562.30274,6871.06538,1.0002
load,85,14.166666666666666,6227.9968,3515.13442,6922.61772,0.9978
load,86,14.333333333333334,6215.54,3503.564,6967.826,1.0271
load,87,14.5,6203.2927,3519.88734,6985.109020000001,1.0906
load,88,14.666666666666666,6197.2913,3570.89434,6999.31712,0.9376
load,89,14.833333333333334,6208.4,3528.674,7010.34,0.6694
load,90,15.0,6198.6853,3518.21232,7012.40732,0.66
load,91,15.166666666666666,6177.4322,3508.29902,6998.370820000001,0.7217
load,92,15.333333333333334,6162.59,3507.674,7045.4800000000005,0.7308
load,93,15.5,6156.8041,3485.97296,7021.3317799999995,0.7534
load,94,15.666666666666666,6168.1656,3474.592,7096.38296,0.7823
load,95,15.833333333333334,6171.98,3472.1079999999997,7056.088000000001,0.8055
load,96,16.0,6153.3743,3483.75406,7149.77828,0.8271
load,97,16.166666666666668,6149.898,3453.60298,7134.6084,0.8519
load,98,16.333333333333332,6137.72,3427.948,7099.490000000001,0.8791
load,99,16.5,6137.0216,3526.1055,7181.05256,0.9024
load,100,16.666666666666668,6135.3278,3223.04946,7182.98988,0.9163
load,101,16.833333333333332,6135.32,2710.282,7093.906,0.9264
load,102,17.0,6134.1999,2694.66034,7141.416660000001,0.9462
load,103,17.166666666666668,6100.2031,2795.22442,7118.524760000001,0.9742
load,104,17.333333333333332,6144.24,2733.366,7236.7480000000005,0.9862
load,105,17.5,6293.4938,2724.39232,7464.52506,0.976
load,106,17.666666666666668,5542.1147,2735.65676,6747.075860000001,1.0742
load,107,17.833333333333332,4312.13,2719.41,5497.674000000001,1.2313
load,108,18.0,4187.8237,2742.18226,5344.4939,1.2561
load,109,18.166666666666668,4353.6146,2756.73508,5569.93904,1.2447
load,110,18.333333333333332,4305.3,2728.294,5536.26,1.2545
load,111,18.5,4321.2951,2684.8127799999997,5527.7259,1.2522
load,112,18.666666666666668,4325.326,2710.9832199999996,5519.4756400000015,1.2881
load,113,18.833333333333332,4309.28,2754.7000000000003,5460.196,1.3466
load,114,19.0,4322.9231,2723.01422,5529.90978,1.3523
load,115,19.166666666666668,4337.6079,2711.07564,5588.78916,1.3445
load,116,19.333333333333332,4333.93,2786.548,5602.424000000002,1.3483
load,117,19.5,4343.0334,2796.44414,5618.61032,1.349
load,118,19.666666666666668,4356.8816,2731.24876,5654.04312,1.3473
load,119,19.833333333333332,4350.97,2738.864,5659.638,1.3482
load,120,20.0,4356.0804,2766.1593000000003,5605.4661,1.3513
load,121,20.166666666666668,4361.9429,2784.74094,5578.32426,1.34
load,122,20.333333333333332,4354.38,2772.72,5595.396000000001,1.3489
load,123,20.5,4357.5493,2821.16094,5583.77938,1.3952
load,124,20.666666666666668,4349.1068,2806.14196,5641.991720000001,1.2226
load,125,20.833333333333332,4377.21,2781.608,5570.832,0.9332
load,126,21.0,4391.6678,2816.55314,5602.915840000001,0.9068
load,127,21.166666666666668,4368.3422,2842.1307,5576.2697,0.9371
load,128,21.333333333333332,4407.71,2849.196,5593.302,0.9371
load,129,21.5,4519.7625,2904.20336,5767.2805,0.9871
load,130,21.666666666666668,4080.4444,2711.1325,5277.40602,0.7764
load,131,21.833333333333332,3316.38,2357.9100000000003,4441.574,0.4209
load,132,22.0,3261.2988,2321.4125599999998,4352.160360000001,0.3859
load,133,22.166666666666668,3367.0094,2381.94414,4468.1835,0.4368
load,134,22.333333333333332,3345.58,2429.736,4383.220000000001,0.4198
load,135,22.5,3342.9919,2432.01556,4411.264480000001,0.4186
