date,day_index,selected_candidate,planned_initial_energy_kwh,executed_initial_energy_kwh,actual_end_energy_kwh,realized_total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,candidate_scores_completed_before_issue,latest_full_score_day_released,grid_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,commanded_charge_kwh,commanded_discharge_kwh
2025-01-01,0,cvar_t0.90_r0.05_g0.00,6000.0,6000.0,4152.800174999999,201693.89940732595,34280.8652559563,167413.03415136965,"{""nocvar_g0.00"": null, ""cvar_t0.90_r0.05_g0.00"": null, ""cvar_t0.90_r0.20_g0.00"": null, ""cvar_t0.95_r0.05_g0.00"": null, ""cvar_t0.95_r0.20_g0.00"": null, ""nocvar_g0.02"": null, ""cvar_t0.90_r0.05_g0.02"": null, ""cvar_t0.90_r0.20_g0.02"": null, ""cvar_t0.95_r0.05_g0.02"": null, ""cvar_t0.95_r0.20_g0.02"": null, ""nocvar_g0.05"": null, ""cvar_t0.90_r0.05_g0.05"": null, ""cvar_t0.90_r0.20_g0.05"": null, ""cvar_t0.95_r0.05_g0.05"": null, ""cvar_t0.95_r0.20_g0.05"": null}",-2,57482.69899835391,34865.266854646085,21.217300000000023,10284.517783333331,9992.939246999998,18740.66613168725,16799.939566666668
2025-01-02,1,cvar_t0.90_r0.05_g0.00,4152.800174999999,4152.800174999999,4063.6046699999997,206942.55646106554,35160.61290581463,171781.9435552509,"{""nocvar_g0.00"": null, ""cvar_t0.90_r0.05_g0.00"": null, ""cvar_t0.90_r0.20_g0.00"": null, ""cvar_t0.95_r0.05_g0.00"": null, ""cvar_t0.95_r0.20_g0.00"": null, ""nocvar_g0.02"": null, ""cvar_t0.90_r0.05_g0.02"": null, ""cvar_t0.90_r0.20_g0.02"": null, ""cvar_t0.95_r0.05_g0.02"": null, ""cvar_t0.95_r0.20_g0.02"": null, ""nocvar_g0.05"": null, ""cvar_t0.90_r0.05_g0.05"": null, ""cvar_t0.90_r0.20_g0.05"": null, ""cvar_t0.95_r0.05_g0.05"": null, ""cvar_t0.95_r0.20_g0.05"": null}",-1,59535.14324835391,35661.16509214608,102.01625000000001,12049.098833333332,9840.046009499998,20793.110381687246,16799.939566666668
2025-01-03,2,nocvar_g0.00,4063.6046699999997,4063.6046699999997,7899.585796296298,61854.42295558949,61854.42295558949,0.0,"{""nocvar_g0.00"": 201693.89940732595, ""cvar_t0.90_r0.05_g0.00"": 201693.89940732595, ""cvar_t0.90_r0.20_g0.00"": 201693.89940732595, ""cvar_t0.95_r0.05_g0.00"": 201693.89940732595, ""cvar_t0.95_r0.20_g0.00"": 201693.89940732595, ""nocvar_g0.02"": 201693.89940732595, ""cvar_t0.90_r0.05_g0.02"": 201693.89940732595, ""cvar_t0.90_r0.20_g0.02"": 201693.89940732595, ""cvar_t0.95_r0.05_g0.02"": 201693.89940732595, ""cvar_t0.95_r0.20_g0.02"": 201693.89940732595, ""nocvar_g0.05"": 201693.89940732595, ""cvar_t0.90_r0.05_g0.05"": 201693.89940732595, ""cvar_t0.90_r0.20_g0.05"": 201693.89940732595, ""cvar_t0.95_r0.05_g0.05"": 201693.89940732595, ""cvar_t0.95_r0.20_g0.05"": 201693.89940732595}",0,97004.99056172838,0.0,45399.80220144032,13936.126210288065,7835.879216666665,25510.867095061723,20541.04655
2025-01-04,3,nocvar_g0.00,7899.585796296298,7899.585796296298,8033.956295833333,60877.87702290849,60877.87702290849,0.0,"{""nocvar_g0.00"": 204318.22793419575, ""cvar_t0.90_r0.05_g0.00"": 204318.22793419575, ""cvar_t0.90_r0.20_g0.00"": 204318.22793419575, ""cvar_t0.95_r0.05_g0.00"": 204318.22793419575, ""cvar_t0.95_r0.20_g0.00"": 204318.22793419575, ""nocvar_g0.02"": 204318.22793419575, ""cvar_t0.90_r0.05_g0.02"": 204318.22793419575, ""cvar_t0.90_r0.20_g0.02"": 204318.22793419575, ""cvar_t0.95_r0.05_g0.02"": 204318.22793419575, ""cvar_t0.95_r0.20_g0.02"": 204318.22793419575, ""nocvar_g0.05"": 204318.22793419575, ""cvar_t0.90_r0.05_g0.05"": 204318.22793419575, ""cvar_t0.90_r0.20_g0.05"": 204318.22793419575, ""cvar_t0.95_r0.05_g0.05"": 204318.22793419575, ""cvar_t0.95_r0.20_g0.05"": 204318.22793419575}",1,93763.95970226337,0.0,47090.40990380658,9405.336748456795,7497.389316666668,21438.49518467078,20539.272958333335
2025-01-05,4,nocvar_g0.00,8056.5724108333325,8033.956295833333,2086.136943271604,94364.23507510315,59777.87919332771,34586.35588177544,"{""nocvar_g0.00"": 156830.292941327, ""cvar_t0.90_r0.05_g0.00"": 156830.292941327, ""cvar_t0.90_r0.20_g0.00"": 156830.292941327, ""cvar_t0.95_r0.05_g0.00"": 156830.292941327, ""cvar_t0.95_r0.20_g0.00"": 156830.292941327, ""nocvar_g0.02"": 156830.292941327, ""cvar_t0.90_r0.05_g0.02"": 156830.292941327, ""cvar_t0.90_r0.20_g0.02"": 156830.292941327, ""cvar_t0.95_r0.05_g0.02"": 156830.292941327, ""cvar_t0.95_r0.20_g0.02"": 156830.292941327, ""nocvar_g0.05"": 156830.292941327, ""cvar_t0.90_r0.05_g0.05"": 156830.292941327, ""cvar_t0.90_r0.20_g0.05"": 156830.292941327, ""cvar_t0.95_r0.05_g0.05"": 156830.292941327, ""cvar_t0.95_r0.20_g0.05"": 156830.292941327}",2,90852.02646944445,6324.565833131104,9333.641762002748,11369.882409886148,14562.642169313336,15857.322068552818,15710.555788888887
2025-01-06,5,nocvar_g0.00,2086.136943271604,2086.136943271604,3407.048131620375,99191.20468966209,75159.16493361346,24032.039756048624,"{""nocvar_g0.00"": 132842.18896172236, ""cvar_t0.90_r0.05_g0.00"": 132842.18896172236, ""cvar_t0.90_r0.20_g0.00"": 132842.18896172236, ""cvar_t0.95_r0.05_g0.00"": 132842.18896172236, ""cvar_t0.95_r0.20_g0.00"": 132842.18896172236, ""nocvar_g0.02"": 132842.18896172236, ""cvar_t0.90_r0.05_g0.02"": 132842.18896172236, ""cvar_t0.90_r0.20_g0.02"": 132842.18896172236, ""cvar_t0.95_r0.05_g0.02"": 132842.18896172236, ""cvar_t0.95_r0.20_g0.02"": 132842.18896172236, ""nocvar_g0.05"": 132842.18896172236, ""cvar_t0.90_r0.05_g0.05"": 132842.18896172236, ""cvar_t0.90_r0.20_g0.05"": 132842.18896172236, ""cvar_t0.95_r0.05_g0.05"": 132842.18896172236, ""cvar_t0.95_r0.20_g0.05"": 132842.18896172236}",3,113155.77538171467,4192.928755347224,22300.469414883402,16983.86080349794,12568.10718131944,22714.167664214678,14679.511459166664
2025-01-07,6,nocvar_g0.00,3401.510746620375,3407.048131620375,3400.0325838148133,86515.80282749108,74525.53514160274,11990.267685888331,"{""nocvar_g0.00"": 125146.59818439852, ""cvar_t0.90_r0.05_g0.00"": 125146.59818439852, ""cvar_t0.90_r0.20_g0.00"": 125146.59818439852, ""cvar_t0.95_r0.05_g0.00"": 125146.59818439852, ""cvar_t0.95_r0.20_g0.00"": 125146.59818439852, ""nocvar_g0.02"": 125290.98309413037, ""cvar_t0.90_r0.05_g0.02"": 125290.98309413037, ""cvar_t0.90_r0.20_g0.02"": 125290.98309413037, ""cvar_t0.95_r0.05_g0.02"": 125290.98309413037, ""cvar_t0.95_r0.20_g0.02"": 125290.98309413037, ""nocvar_g0.05"": 125509.27720794528, ""cvar_t0.90_r0.05_g0.05"": 125509.27720794528, ""cvar_t0.90_r0.20_g0.05"": 125509.27720794528, ""cvar_t0.95_r0.05_g0.05"": 125509.27720794528, ""cvar_t0.95_r0.20_g0.05"": 125509.27720794528}",4,111600.21866238682,1986.951653333333,17609.030858724287,17987.118421162544,14575.87991416667,22330.849642355955,16195.258647500003
2025-01-08,7,nocvar_g0.00,3427.8551988148133,3400.0325838148133,4524.959987643119,91768.54252178894,86932.6578057734,4835.884716015549,"{""nocvar_g0.00"": 120820.69926860911, ""cvar_t0.90_r0.05_g0.00"": 120820.69926860911, ""cvar_t0.90_r0.20_g0.00"": 120820.69926860911, ""cvar_t0.95_r0.05_g0.00"": 120820.69926860911, ""cvar_t0.95_r0.20_g0.00"": 120820.69926860911, ""nocvar_g0.02"": 121000.52047332854, ""cvar_t0.90_r0.05_g0.02"": 121000.52047332854, ""cvar_t0.90_r0.20_g0.02"": 121000.52047332854, ""cvar_t0.95_r0.05_g0.02"": 121000.52047332854, ""cvar_t0.95_r0.20_g0.02"": 121000.52047332854, ""nocvar_g0.05"": 121262.86358469194, ""cvar_t0.90_r0.05_g0.05"": 121262.86358469194, ""cvar_t0.90_r0.20_g0.05"": 121262.86358469194, ""cvar_t0.95_r0.05_g0.05"": 121262.86358469194, ""cvar_t0.95_r0.20_g0.05"": 121262.86358469194}",5,127473.05040365018,754.5795111111102,34695.017467424695,15758.823511707815,11752.212381037858,21924.222491371744,16368.964932482304
2025-01-09,8,nocvar_g0.00,4520.03098764312,4524.959987643119,4319.029781878305,90762.03309729815,86564.62156683911,4197.411530459036,"{""nocvar_g0.00"": 115919.99977702081, ""cvar_t0.90_r0.05_g0.00"": 115919.99977702081, ""cvar_t0.90_r0.20_g0.00"": 115919.99977702081, ""cvar_t0.95_r0.05_g0.00"": 115919.99977702081, ""cvar_t0.95_r0.20_g0.00"": 115919.99977702081, ""nocvar_g0.02"": 116067.5260444031, ""cvar_t0.90_r0.05_g0.02"": 116091.61195909556, ""cvar_t0.90_r0.20_g0.02"": 116091.61195909556, ""cvar_t0.95_r0.05_g0.02"": 116091.61195909556, ""cvar_t0.95_r0.20_g0.02"": 116091.61195909556, ""nocvar_g0.05"": 116310.5101568762, ""cvar_t0.90_r0.05_g0.05"": 116340.65485849498, ""cvar_t0.90_r0.20_g0.05"": 116340.65485849498, ""cvar_t0.95_r0.05_g0.05"": 116340.65485849498, ""cvar_t0.95_r0.20_g0.05"": 116340.65485849498}",6,126406.26862370723,684.7468419047601,33440.77933700323,14442.195774370663,11883.51576242857,20470.4607116311,16465.02581007143
2025-01-10,9,nocvar_g0.00,4309.372111164019,4319.029781878305,3852.9673898898145,53899.31420529786,48537.249608537815,5362.064596760041,"{""nocvar_g0.00"": 112901.06762011684, ""cvar_t0.90_r0.05_g0.00"": 112954.88844258338, ""cvar_t0.90_r0.20_g0.00"": 112954.88844258338, ""cvar_t0.95_r0.05_g0.00"": 112954.88844258338, ""cvar_t0.95_r0.20_g0.00"": 112954.88844258338, ""nocvar_g0.02"": 113029.45896534467, ""cvar_t0.90_r0.05_g0.02"": 113104.35097449303, ""cvar_t0.90_r0.20_g0.02"": 113104.35097449303, ""cvar_t0.95_r0.05_g0.02"": 113104.35097449303, ""cvar_t0.95_r0.20_g0.02"": 113104.35097449303, ""nocvar_g0.05"": 113239.25285103438, ""cvar_t0.90_r0.05_g0.05"": 113319.35935829047, ""cvar_t0.90_r0.20_g0.05"": 113319.35935829047, ""cvar_t0.95_r0.05_g0.05"": 113319.35935829047, ""cvar_t0.95_r0.20_g0.05"": 113319.35935829047}",7,80440.67451302557,823.0973734166666,34020.54485927822,11431.665596247356,9679.10528575,17087.99750812023,13818.72941316667
