date,day_index,selected_candidate,planned_initial_energy_kwh,executed_initial_energy_kwh,actual_end_energy_kwh,realized_total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,candidate_scores_completed_before_issue,latest_full_score_day_released,grid_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,commanded_charge_kwh,commanded_discharge_kwh
2025-01-01,0,cvar_t0.90_r0.05_g0.00,6000.0,6000.0,3860.4221444444443,213677.05315645924,34280.8652559563,179396.18790050293,"{""nocvar_g0.00"": null, ""cvar_t0.90_r0.05_g0.00"": null, ""cvar_t0.90_r0.20_g0.00"": null, ""cvar_t0.95_r0.05_g0.00"": null, ""cvar_t0.95_r0.20_g0.00"": null, ""nocvar_g0.02"": null, ""cvar_t0.90_r0.05_g0.02"": null, ""cvar_t0.90_r0.20_g0.02"": null, ""cvar_t0.95_r0.05_g0.02"": null, ""cvar_t0.95_r0.20_g0.02"": null, ""nocvar_g0.05"": null, ""cvar_t0.90_r0.05_g0.05"": null, ""cvar_t0.90_r0.20_g0.05"": null, ""cvar_t0.95_r0.05_g0.05"": null, ""cvar_t0.95_r0.20_g0.05"": null}",-2,57482.69899835391,34927.58585564609,423.01881666666645,9882.716266666666,9930.620245999995,10096.063733333332,10239.436195999995
2025-01-02,1,cvar_t0.90_r0.05_g0.00,3907.0840148148145,3860.4221444444443,3792.041032222222,218821.83704169223,35277.94655065424,183543.89049103798,"{""nocvar_g0.00"": null, ""cvar_t0.90_r0.05_g0.00"": null, ""cvar_t0.90_r0.20_g0.00"": null, ""cvar_t0.95_r0.05_g0.00"": null, ""cvar_t0.95_r0.20_g0.00"": null, ""nocvar_g0.02"": null, ""cvar_t0.90_r0.05_g0.02"": null, ""cvar_t0.90_r0.20_g0.02"": null, ""cvar_t0.95_r0.05_g0.02"": null, ""cvar_t0.95_r0.20_g0.02"": null, ""nocvar_g0.05"": null, ""cvar_t0.90_r0.05_g0.05"": null, ""cvar_t0.90_r0.20_g0.05"": null, ""cvar_t0.95_r0.05_g0.05"": null, ""cvar_t0.95_r0.20_g0.05"": null}",-1,59808.161204115226,35735.29345081275,469.9452999999994,11841.121522427982,9652.851434166667,11946.253072427982,9886.086084166669
2025-01-03,2,nocvar_g0.00,3789.562447222222,3792.041032222222,10800.0,63252.25933277641,61985.37259590141,1266.8867368750007,"{""nocvar_g0.00"": 213677.05315645924, ""cvar_t0.90_r0.05_g0.00"": 213677.05315645924, ""cvar_t0.90_r0.20_g0.00"": 213677.05315645924, ""cvar_t0.95_r0.05_g0.00"": 213677.05315645924, ""cvar_t0.95_r0.20_g0.00"": 213677.05315645924, ""nocvar_g0.02"": 213677.05315645924, ""cvar_t0.90_r0.05_g0.02"": 213677.05315645924, ""cvar_t0.90_r0.20_g0.02"": 213677.05315645924, ""cvar_t0.95_r0.05_g0.02"": 213677.05315645924, ""cvar_t0.95_r0.20_g0.02"": 213677.05315645924, ""nocvar_g0.05"": 213677.05315645924, ""cvar_t0.90_r0.05_g0.05"": 213677.05315645924, ""cvar_t0.90_r0.20_g0.05"": 213677.05315645924, ""cvar_t0.95_r0.05_g0.05"": 213677.05315645924, ""cvar_t0.95_r0.20_g0.05"": 213677.05315645924}",0,97309.48192037037,223.05673333333345,42455.252419341545,17185.16735102881,7612.8224833333325,17450.935401028808,8093.279049999999
2025-01-04,3,nocvar_g0.00,10800.0,10800.0,10710.654369444444,60698.24277476003,59552.1972189517,1146.0455558083352,"{""nocvar_g0.00"": 216249.44509907573, ""cvar_t0.90_r0.05_g0.00"": 216249.44509907573, ""cvar_t0.90_r0.20_g0.00"": 216249.44509907573, ""cvar_t0.95_r0.05_g0.00"": 216249.44509907573, ""cvar_t0.95_r0.20_g0.00"": 216249.44509907573, ""nocvar_g0.02"": 216249.44509907573, ""cvar_t0.90_r0.05_g0.02"": 216249.44509907573, ""cvar_t0.90_r0.20_g0.02"": 216249.44509907573, ""cvar_t0.95_r0.05_g0.02"": 216249.44509907573, ""cvar_t0.95_r0.20_g0.02"": 216249.44509907573, ""nocvar_g0.05"": 216249.44509907573, ""cvar_t0.90_r0.05_g0.05"": 216249.44509907573, ""cvar_t0.90_r0.20_g0.05"": 216249.44509907573, ""cvar_t0.95_r0.05_g0.05"": 216249.44509907573, ""cvar_t0.95_r0.20_g0.05"": 216249.44509907573}",1,90541.2772537037,194.45860000000033,44356.37327880658,8916.690924897119,7302.930716666666,9301.026447736625,7767.001016666667
2025-01-05,4,nocvar_g0.00,10733.270484444443,10710.654369444444,2113.998905432103,62958.63995861597,58554.193005894966,4404.446952721,"{""nocvar_g0.00"": 165250.38317697597, ""cvar_t0.90_r0.05_g0.00"": 165250.38317697597, ""cvar_t0.90_r0.20_g0.00"": 165250.38317697597, ""cvar_t0.95_r0.05_g0.00"": 165250.38317697597, ""cvar_t0.95_r0.20_g0.00"": 165250.38317697597, ""nocvar_g0.02"": 165250.38317697597, ""cvar_t0.90_r0.05_g0.02"": 165250.38317697597, ""cvar_t0.90_r0.20_g0.02"": 165250.38317697597, ""cvar_t0.95_r0.05_g0.02"": 165250.38317697597, ""cvar_t0.95_r0.20_g0.02"": 165250.38317697597, ""nocvar_g0.05"": 165250.38317697597, ""cvar_t0.90_r0.05_g0.05"": 165250.38317697597, ""cvar_t0.90_r0.20_g0.05"": 165250.38317697597, ""cvar_t0.95_r0.05_g0.05"": 165250.38317697597, ""cvar_t0.95_r0.20_g0.05"": 165250.38317697597}",2,87877.91749876544,925.3556746666669,2623.5925505926075,15162.948633950607,20018.978311111106,16094.800867283942,21440.28574444444
2025-01-06,5,nocvar_g0.00,2151.921886913585,2113.998905432103,2250.9838170370367,78704.50321611729,75127.65394560895,3576.8492705083327,"{""nocvar_g0.00"": 139112.34807642197, ""cvar_t0.90_r0.05_g0.00"": 139112.34807642197, ""cvar_t0.90_r0.20_g0.00"": 139112.34807642197, ""cvar_t0.95_r0.05_g0.00"": 139112.34807642197, ""cvar_t0.95_r0.20_g0.00"": 139112.34807642197, ""nocvar_g0.02"": 139112.34807642197, ""cvar_t0.90_r0.05_g0.02"": 139112.34807642197, ""cvar_t0.90_r0.20_g0.02"": 139112.34807642197, ""cvar_t0.95_r0.05_g0.02"": 139112.34807642197, ""cvar_t0.95_r0.20_g0.02"": 139112.34807642197, ""nocvar_g0.05"": 139112.34807642197, ""cvar_t0.90_r0.05_g0.05"": 139112.34807642197, ""cvar_t0.90_r0.20_g0.05"": 139112.34807642197, ""cvar_t0.95_r0.05_g0.05"": 139112.34807642197, ""cvar_t0.95_r0.20_g0.05"": 139112.34807642197}",3,113082.68099989026,690.8022666666666,19219.235724897124,19992.000111659796,16070.233669999998,20498.99837832647,17218.039953333333
2025-01-07,6,nocvar_g0.00,2245.4464320370366,2250.9838170370367,2560.1094966666637,78508.56896807802,75078.42715856968,3430.1418095083327,"{""nocvar_g0.00"": 123881.60645286078, ""cvar_t0.90_r0.05_g0.00"": 123881.60645286078, ""cvar_t0.90_r0.20_g0.00"": 123881.60645286078, ""cvar_t0.95_r0.05_g0.00"": 123881.60645286078, ""cvar_t0.95_r0.20_g0.00"": 123881.60645286078, ""nocvar_g0.02"": 123881.60645286078, ""cvar_t0.90_r0.05_g0.02"": 123881.60645286078, ""cvar_t0.90_r0.20_g0.02"": 123881.60645286078, ""cvar_t0.95_r0.05_g0.02"": 123881.60645286078, ""cvar_t0.95_r0.20_g0.02"": 123881.60645286078, ""nocvar_g0.05"": 123881.60645286078, ""cvar_t0.90_r0.05_g0.05"": 123881.60645286078, ""cvar_t0.90_r0.20_g0.05"": 123881.60645286078, ""cvar_t0.95_r0.05_g0.05"": 123881.60645286078, ""cvar_t0.95_r0.20_g0.05"": 123881.60645286078}",4,112884.73456747943,664.1758833333332,16915.73823024692,19937.148204732504,15870.876934166668,20373.95230473251,17004.106669333334
2025-01-08,7,nocvar_g0.05,2560.6003716666637,2560.1094966666637,3795.5817171481535,90497.18453222027,87343.17396462028,3154.0105676000017,"{""nocvar_g0.00"": 116352.08924673685, ""cvar_t0.90_r0.05_g0.00"": 116352.08924673685, ""cvar_t0.90_r0.20_g0.00"": 116352.08924673685, ""cvar_t0.95_r0.05_g0.00"": 116352.08924673685, ""cvar_t0.95_r0.20_g0.00"": 116352.08924673685, ""nocvar_g0.02"": 116352.08924673685, ""cvar_t0.90_r0.05_g0.02"": 116352.08924673685, ""cvar_t0.90_r0.20_g0.02"": 116352.08924673685, ""cvar_t0.95_r0.05_g0.02"": 116352.08924673685, ""cvar_t0.95_r0.20_g0.02"": 116352.08924673685, ""nocvar_g0.05"": 116351.74191066028, ""cvar_t0.90_r0.05_g0.05"": 116351.74191066028, ""cvar_t0.90_r0.20_g0.05"": 116351.74191066028, ""cvar_t0.95_r0.05_g0.05"": 116351.74191066028, ""cvar_t0.95_r0.20_g0.05"": 116351.74191066028}",5,128434.94537875925,567.1045500000004,35301.3948721428,16119.62495534979,11944.971215399995,16638.518388683126,12774.585298733331
2025-01-09,8,nocvar_g0.02,3790.6527171481534,3795.5817171481535,3379.0860201851883,88728.2679147803,86924.56541206363,1803.7025027166644,"{""nocvar_g0.00"": 110945.87206407131, ""cvar_t0.90_r0.05_g0.00"": 110945.87206407131, ""cvar_t0.90_r0.20_g0.00"": 110945.87206407131, ""cvar_t0.95_r0.05_g0.00"": 110945.87206407131, ""cvar_t0.95_r0.20_g0.00"": 110945.87206407131, ""nocvar_g0.02"": 110915.83886478667, ""cvar_t0.90_r0.05_g0.02"": 110945.87206407131, ""cvar_t0.90_r0.20_g0.02"": 110945.87206407131, ""cvar_t0.95_r0.05_g0.02"": 110945.87206407131, ""cvar_t0.95_r0.20_g0.02"": 110945.87206407131, ""nocvar_g0.05"": 110918.2670042573, ""cvar_t0.90_r0.05_g0.05"": 110945.57434743423, ""cvar_t0.90_r0.20_g0.05"": 110945.57434743423, ""cvar_t0.95_r0.05_g0.05"": 110945.57434743423, ""cvar_t0.95_r0.20_g0.05"": 110945.57434743423}",6,127245.18414092384,329.35184999999944,34073.67881170164,14653.406262222219,12244.105199666665,15124.136628888888,13042.200466333332
2025-01-10,9,nocvar_g0.02,3379.0860201851883,3379.0860201851883,3030.5159675518544,50366.18393370268,48951.80387176102,1414.3800619416656,"{""nocvar_g0.00"": 108390.28444625724, ""cvar_t0.90_r0.05_g0.00"": 108414.83617826794, ""cvar_t0.90_r0.20_g0.00"": 108414.83617826794, ""cvar_t0.95_r0.05_g0.00"": 108414.83617826794, ""cvar_t0.95_r0.20_g0.00"": 108414.83617826794, ""nocvar_g0.02"": 108363.61432815253, ""cvar_t0.90_r0.05_g0.02"": 108414.65992131912, ""cvar_t0.90_r0.20_g0.02"": 108414.65992131912, ""cvar_t0.95_r0.05_g0.02"": 108414.65992131912, ""cvar_t0.95_r0.20_g0.02"": 108414.65992131912, ""nocvar_g0.05"": 108365.63169525267, ""cvar_t0.90_r0.05_g0.05"": 108414.39941926168, ""cvar_t0.90_r0.20_g0.05"": 108414.39941926167, ""cvar_t0.95_r0.05_g0.05"": 108414.39941926168, ""cvar_t0.95_r0.20_g0.05"": 108414.39941926167}",7,81434.15335630864,250.61694999999978,34177.778097413575,12263.360734728392,10247.035242499998,12576.780320119336,10658.5427425
