date,start,end,time_period,emergency_kwh,duration_minutes,interval_count
2025-02-09,2025-02-09 20:40:00,2025-02-09 20:50:00,20:40-20:50,484.052091016662,10.0,1
2025-02-09,2025-02-09 21:00:00,2025-02-09 21:10:00,21:00-21:10,0.9601562500000912,10.0,1
2025-02-15,2025-02-15 20:50:00,2025-02-15 21:30:00,20:50-21:30,178.4133474166693,40.0,4
2025-02-15,2025-02-15 21:40:00,2025-02-15 22:00:00,21:40-22:00,33.84981491749661,20.0,2
2025-02-16,2025-02-16 06:00:00,2025-02-16 06:20:00,06:00-06:20,17.625353333333464,20.0,2
2025-02-16,2025-02-16 10:40:00,2025-02-16 11:00:00,10:40-11:00,171.19760423333383,20.0,2
2025-02-16,2025-02-16 20:30:00,2025-02-16 20:50:00,20:30-20:50,1082.893247422662,20.0,2
2025-02-16,2025-02-16 21:20:00,2025-02-16 21:30:00,21:20-21:30,14.951716166666756,10.0,1
2025-02-16,2025-02-16 21:40:00,2025-02-16 22:00:00,21:40-22:00,26.801793573333224,20.0,2
2025-02-19,2025-02-19 06:30:00,2025-02-19 06:40:00,06:30-06:40,11.756250000000025,10.0,1
2025-02-19,2025-02-19 09:30:00,2025-02-19 10:50:00,09:30-10:50,1092.3466120518315,80.0,8
2025-02-19,2025-02-19 20:30:00,2025-02-19 22:00:00,20:30-22:00,1263.3670027121593,90.0,9
2025-02-20,2025-02-20 06:10:00,2025-02-20 06:20:00,06:10-06:20,8.202134999999998,10.0,1
2025-02-20,2025-02-20 10:20:00,2025-02-20 11:00:00,10:20-11:00,313.46924373333513,40.0,4
2025-02-20,2025-02-20 21:10:00,2025-02-20 21:20:00,21:10-21:20,9.136531666671043,10.0,1
2025-02-21,2025-02-21 08:00:00,2025-02-21 08:40:00,08:00-08:40,138.09885783333456,40.0,4
2025-02-22,2025-02-22 08:00:00,2025-02-22 08:30:00,08:00-08:30,168.524296983334,30.0,3
2025-02-22,2025-02-22 20:50:00,2025-02-22 21:00:00,20:50-21:00,137.20689063333322,10.0,1
2025-02-22,2025-02-22 21:40:00,2025-02-22 21:50:00,21:40-21:50,16.405571116664373,10.0,1
2025-02-23,2025-02-23 10:20:00,2025-02-23 10:50:00,10:20-10:50,146.87411871717399,30.0,3
2025-02-24,2025-02-24 06:10:00,2025-02-24 06:20:00,06:10-06:20,25.751363333333305,10.0,1
2025-02-24,2025-02-24 20:50:00,2025-02-24 21:20:00,20:50-21:20,41.81243370000261,30.0,3
2025-02-25,2025-02-25 06:00:00,2025-02-25 06:10:00,06:00-06:10,13.12416666666661,10.0,1
2025-02-25,2025-02-25 06:30:00,2025-02-25 06:40:00,06:30-06:40,10.660833333333471,10.0,1
2025-02-26,2025-02-26 20:40:00,2025-02-26 21:10:00,20:40-21:10,88.69671215000335,30.0,3
2025-02-27,2025-02-27 06:10:00,2025-02-27 06:20:00,06:10-06:20,11.706631666666452,10.0,1
2025-02-27,2025-02-27 09:30:00,2025-02-27 10:30:00,09:30-10:30,877.362914683333,60.0,6
2025-02-27,2025-02-27 21:40:00,2025-02-27 21:50:00,21:40-21:50,16.2375138333281,10.0,1
2025-03-01,2025-03-01 20:50:00,2025-03-01 21:30:00,20:50-21:30,155.93405751050483,40.0,4
2025-03-02,2025-03-02 19:50:00,2025-03-02 21:10:00,19:50-21:10,3725.3725880538577,80.0,8
2025-03-02,2025-03-02 21:30:00,2025-03-02 21:50:00,21:30-21:50,48.87018125000006,20.0,2
2025-03-03,2025-03-03 20:40:00,2025-03-03 21:10:00,20:40-21:10,513.1382065166642,30.0,3
2025-03-03,2025-03-03 21:20:00,2025-03-03 21:50:00,21:20-21:50,85.47720358333345,30.0,3
2025-03-10,2025-03-10 20:50:00,2025-03-10 21:00:00,20:50-21:00,12.56739049134635,10.0,1
2025-03-12,2025-03-12 20:40:00,2025-03-12 20:50:00,20:40-20:50,180.51405605000105,10.0,1
2025-03-13,2025-03-13 20:10:00,2025-03-13 21:00:00,20:10-21:00,2727.9331889065847,50.0,5
2025-03-15,2025-03-15 07:20:00,2025-03-15 08:00:00,07:20-08:00,410.7949920578137,40.0,4
2025-03-16,2025-03-16 06:00:00,2025-03-16 06:10:00,06:00-06:10,1.6400000000001,10.0,1
