natural_day,natural_time_index,source_plan_day,source_time_index,interval_start,interval_end,planned_grid_kwh,charge_kwh,discharge_kwh,commanded_charge_kwh,commanded_discharge_kwh,emergency_kwh,unused_supply_kwh,actual_soc_before_kwh,actual_soc_after_kwh
2025-02-01,0,2025-01-31,143,2025-02-01 00:00:00,2025-02-01 00:10:00,478.43234999999993,54.47234999999989,0.0,54.47234999999989,0.0,0.0,0.0,3668.3243752037038,3717.3494902037037
2025-02-01,1,2025-02-01,0,2025-02-01 00:10:00,2025-02-01 00:20:00,1300.2621166666665,833.3333333333333,0.0,833.3333333333333,0.0,0.0,44.89841666666666,3717.3494902037037,4467.349490203704
2025-02-01,2,2025-02-01,1,2025-02-01 00:20:00,2025-02-01 00:30:00,1309.2617916666663,833.3333333333333,0.0,833.3333333333333,0.0,0.0,60.52114166666638,4467.349490203704,5217.349490203704
2025-02-01,3,2025-02-01,2,2025-02-01 00:30:00,2025-02-01 00:40:00,1274.3544833333333,833.3333333333333,0.0,833.3333333333333,0.0,0.0,30.304483333333337,5217.349490203704,5967.349490203704
2025-02-01,4,2025-02-01,3,2025-02-01 00:40:00,2025-02-01 00:50:00,1305.96555,833.3333333333333,0.0,833.3333333333333,0.0,0.0,42.33741666666674,5967.349490203704,6717.349490203704
2025-02-01,5,2025-02-01,4,2025-02-01 00:50:00,2025-02-01 01:00:00,1327.4660583333332,833.3333333333333,0.0,833.3333333333333,0.0,0.0,69.72214166666663,6717.349490203704,7467.349490203704
2025-02-01,6,2025-02-01,5,2025-02-01 01:00:00,2025-02-01 01:10:00,1382.2449833333333,833.3333333333333,0.0,833.3333333333333,0.0,0.0,142.8599833333334,7467.349490203704,8217.349490203704
2025-02-01,7,2025-02-01,6,2025-02-01 01:10:00,2025-02-01 01:20:00,497.89334166666663,61.143158333333304,0.0,61.143158333333304,0.0,0.0,0.0,8217.349490203704,8272.378332703704
2025-02-01,8,2025-02-01,7,2025-02-01 01:20:00,2025-02-01 01:30:00,450.2727499999999,0.0,1.5249333333333652,0.0,1.5249333333333652,0.0,0.0,8272.378332703704,8270.683962333333
2025-02-01,9,2025-02-01,8,2025-02-01 01:30:00,2025-02-01 01:40:00,1312.5777833333332,833.3333333333333,0.0,833.3333333333333,0.0,0.0,33.16444999999999,8270.683962333333,9020.683962333333
2025-02-01,10,2025-02-01,9,2025-02-01 01:40:00,2025-02-01 01:50:00,473.56699166666664,1.800658333333331,0.0,1.800658333333331,0.0,0.0,0.0,9020.683962333333,9022.304554833332
2025-02-01,11,2025-02-01,10,2025-02-01 01:50:00,2025-02-01 02:00:00,502.20772500000004,54.18175833333339,0.0,54.18175833333339,0.0,0.0,0.0,9022.304554833332,9071.068137333332
2025-02-01,12,2025-02-01,11,2025-02-01 02:00:00,2025-02-01 02:10:00,539.1666666666665,141.7633333333332,0.0,141.7633333333332,0.0,0.0,0.0,9071.068137333332,9198.655137333331
2025-02-01,13,2025-02-01,12,2025-02-01 02:10:00,2025-02-01 02:20:00,1378.5468416666663,833.3333333333333,0.0,833.3333333333333,0.0,0.0,111.1228749999998,9198.655137333331,9948.655137333331
