month,days,baseline_cash_yuan,candidate_cash_yuan,cash_saving_yuan,inventory_adjusted_saving_yuan,baseline_initial_soc_kwh,candidate_initial_soc_kwh,baseline_end_soc_kwh,candidate_end_soc_kwh,baseline_emergency_kwh,candidate_emergency_kwh,baseline_daily_cvar95_yuan,candidate_daily_cvar95_yuan,bootstrap_mean_daily_cash_saving_ci95_yuan
2025-02,28,1269038.1733020227,1265780.2950725858,3257.8782294366265,3257.8782294366265,10300.422321388887,10300.422321388887,9982.669966629855,9982.669966629855,5386.720109608905,1921.3905938506407,63955.10551235745,63947.87869374633,"{'3': [-225.20604226736256, 539.4881386263704], '7': [-206.6838815892459, 620.0644242528934], '14': [14.940542785723535, 455.4312029359084]}"
2025-03,31,1145136.5088635837,1118693.0830553113,26443.42580827252,26634.654261219686,9982.669966629855,9982.669966629855,5607.5506350000005,6015.809501240744,11631.14324162212,90.78742868055618,65757.06169588382,53903.13405775839,"{'3': [-373.9309224705279, 1996.1429027374531], '7': [-225.76545112154483, 1553.8945901411676], '14': [-41.65061159192927, 1736.5252231448364]}"
2025-04,30,992325.4951827995,918231.219227285,74094.2759555146,73903.04750256744,5607.5506350000005,6015.809501240744,8238.546252185182,8238.546252185182,20568.667416140353,135.62348610396862,69679.08846855964,48264.0156517304,"{'3': [37.33634935406798, 4602.508574968482], '7': [-83.69346120546139, 2998.233320276238], '14': [-150.88184356087854, 2577.5523832392564]}"
2025-05,31,967048.463589865,947161.2875988737,19887.175990991323,19887.175990991323,8238.546252185182,8238.546252185182,10707.299074074072,10707.299074074072,9877.42855529444,1844.9989696409793,45529.451005863055,42235.49882724634,"{'3': [-268.13179867902954, 1371.1692172940811], '7': [-491.01228520361843, 1491.264613504873], '14': [-490.24229564862446, 1118.6097384537231]}"
2025-06,30,1586982.344637585,1432128.3418140044,154854.0028235808,154854.0028235808,10707.299074074072,10707.299074074072,5528.797301370374,5528.797301370374,34654.30041152084,272.2688687249998,106379.35897962077,62905.73394388413,"{'3': [129.78266444612558, 9613.385589595528], '7': [68.79451602495571, 8133.112956087066], '14': [56.56467190146541, 6161.758741964615]}"
2025-07,31,1860252.5938673702,1760503.7499468592,99748.84392051068,99748.84392051068,5528.797301370374,5528.797301370374,6576.513258777405,6576.513258777405,25391.964516176486,3279.928553427776,106674.1919500651,73254.3044505498,"{'3': [-44.48416949604584, 6629.201903395621], '7': [-66.08918841775028, 6976.76187902501], '14': [-55.83320789768214, 5335.4506334936605]}"
2025-08,31,1449068.0014268442,1400097.1866155504,48970.81481129417,48970.81481129417,6576.513258777405,6576.513258777405,2788.183312407409,2788.183312407409,11785.088085457151,382.8775431333315,78933.30688808102,59932.925066678145,"{'3': [181.06316749140362, 3928.999352082658], '7': [89.73770096163508, 3918.6328803165834], '14': [62.90068842942548, 3054.3911435758696]}"
2025-09,30,1142511.7597461448,1133894.2048167652,8617.554929379497,8816.889406895496,2788.183312407409,2788.183312407409,3327.853083240741,3753.417723539628,8755.905095851616,1487.0080681027684,53050.501294309564,47826.5211864516,"{'3': [-373.7618666539952, 868.6151198282685], '7': [-191.07518591256888, 882.8001941681068], '14': [-135.0116075162378, 753.5931379970175]}"
2025-10,31,1133849.7454970602,1110817.9096961855,23031.83580087497,22832.50132335897,3327.853083240741,3753.417723539628,7805.144107157596,7805.144107157596,9095.72737717136,965.8675436072796,57845.29073798597,51145.67323421413,"{'3': [-23.212145479998156, 1798.1435988360688], '7': [-162.49009200939074, 1584.4165356270653], '14': [394.41330946494895, 1443.0243617571011]}"
2025-11,30,1300175.973840401,1310055.7147693816,-9879.74092898058,-9721.359645967776,7805.144107157596,7805.144107157596,7361.25810962963,7699.390652355513,4777.6884141811215,296.44090723315566,62959.36754797312,61288.661161343465,"{'3': [-1079.1765050696952, 232.4736752952267], '7': [-1161.2445172756604, -5.150732810477105], '14': [-1096.9232391944468, -241.68186265960972]}"
2025-12,31,1965991.8677424768,1929827.2105660448,36164.65717643188,36006.27589341908,7361.25810962963,7699.390652355513,7174.897846148145,7174.897846148145,14453.380027124815,103.08213645833257,105370.9738136869,81897.79235535387,"{'3': [-827.6576541569337, 2610.9371607869816], '7': [-693.2471515835455, 1820.5693674383028], '14': [-674.4999498744668, 1332.5560351476777]}"
