step,q0_kwh,qfinal_kwh
0,642.3734837232491,642.3734837232491
1,1278.53770625,1278.53770625
2,448.8283333333334,448.8283333333334
3,473.3475870833334,473.3475870833334
4,504.17668416666663,504.17668416666663
5,513.1849166666667,513.1849166666667
6,495.18429291666666,495.18429291666666
7,466.7449358333333,466.7449358333333
8,471.3247083333333,471.3247083333333
9,487.47138999999993,487.47138999999993
10,510.1279991666667,510.1279991666667
11,530.4925,530.4925
12,503.30686583333335,503.30686583333335
13,511.9531470833334,511.9531470833334
14,518.37675,518.37675
15,499.94112499999994,499.94112499999994
16,516.2635887499999,516.2635887499999
17,528.5034999999999,528.5034999999999
18,523.6431329166667,523.6431329166667
19,508.2814079166667,508.2814079166667
20,508.52875000000006,508.52875000000006
21,502.4392683333333,502.4392683333333
22,534.34300375,534.34300375
23,570.9875416666666,570.9875416666666
24,552.3193891666667,552.3193891666667
25,529.6085379166666,529.6085379166666
26,549.6759999999999,549.6759999999999
27,572.72540125,572.72540125
28,580.9198029166666,580.9198029166666
29,559.6151249999999,559.6151249999999
30,564.2077720833333,564.2077720833333
31,580.0323929166666,580.0323929166666
32,574.7357916666666,574.7357916666666
33,1414.0047504166664,1414.0047504166664
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,445.41476750000004,445.41476750000004
72,448.87804000000006,448.87804000000006
73,0.0,0.0
74,263.8594286968488,263.8594286968488
75,510.46956180555566,510.46956180555566
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,120.0900250000002,120.0900250000002
90,321.0778596690673,321.0778596690673
91,234.306815,234.306815
92,270.4435179166666,270.4435179166666
93,332.6956340277778,332.6956340277778
94,386.752215,386.752215
95,410.3445058333334,410.3445058333334
96,411.97923375000016,411.97923375000016
97,446.4428740277777,446.4428740277777
98,499.2632083333332,499.2632083333332
99,518.4770416666665,518.4770416666665
100,474.5824470833333,474.5824470833333
101,425.53174833333327,425.53174833333327
102,441.26542319444434,441.26542319444434
103,459.94523916666674,459.94523916666674
104,454.7039383333333,454.7039383333333
105,469.54905750000006,469.54905750000006
106,339.7258025000011,339.7258025000011
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,528.8272916666666,528.8272916666666
126,510.2402554166666,510.2402554166666
127,478.1945375,478.1945375
128,477.06658333333326,477.06658333333326
129,487.7290895833334,487.7290895833334
130,475.6680895833334,475.6680895833334
131,1271.82575,1271.82575
132,1253.1118729166665,1253.1118729166665
133,441.02254583333325,441.02254583333325
134,1289.78975,1289.78975
135,1270.2754275,1270.2754275
136,1245.3146770833332,1245.3146770833332
137,1235.2867199999998,1235.2867199999998
138,1245.6817545833333,1245.6817545833333
139,1258.8022058333333,1258.8022058333333
140,1262.4187916666665,1262.4187916666665
141,1268.3595816666666,1268.3595816666666
142,503.3010254166667,503.3010254166667
143,620.0128333333332,620.0128333333332
