interval_start,interval_end,step,template_label,q0_kwh,qfinal_kwh,load_actual_kwh,pv_actual_kwh,charge_kwh,discharge_kwh,actual_emergency_kwh,planned_emergency_kwh,unused_supply_kwh,soc_before_kwh,soc_after_kwh,price_yuan_per_kwh
2025-02-01 00:10:00,2025-02-01 00:20:00,0,0:10-0:20,642.3734837232491,642.3734837232491,422.0303666666667,0.0,220.34311705658246,0.0,0.0,0.0,0.0,9152.704917024075,9351.013722374999,0.4248
2025-02-01 00:20:00,2025-02-01 00:30:00,1,0:20-0:30,1278.53770625,1278.53770625,415.4073166666667,0.0,833.3333333333333,0.0,0.0,0.0,29.79705624999997,9351.013722374999,10101.013722374999,0.4245
2025-02-01 00:30:00,2025-02-01 00:40:00,2,0:30-0:40,448.8283333333334,448.8283333333334,410.7166666666667,0.0,38.11166666666668,0.0,0.0,0.0,0.0,10101.013722374999,10135.314222374998,0.4269
2025-02-01 00:40:00,2025-02-01 00:50:00,3,0:40-0:50,473.3475870833334,473.3475870833334,430.29479999999995,0.0,43.05278708333344,0.0,0.0,0.0,0.0,10135.314222374998,10174.061730749998,0.4272
2025-02-01 00:50:00,2025-02-01 01:00:00,4,0:50-1:00,504.17668416666663,504.17668416666663,424.4105833333333,0.0,79.76610083333333,0.0,0.0,0.0,0.0,10174.061730749998,10245.851221499997,0.4271
2025-02-01 01:00:00,2025-02-01 01:10:00,5,1:00-1:10,513.1849166666667,513.1849166666667,406.0516666666666,0.0,107.13325000000009,0.0,0.0,0.0,0.0,10245.851221499997,10342.271146499997,0.4285
2025-02-01 01:10:00,2025-02-01 01:20:00,6,1:10-1:20,495.18429291666666,495.18429291666666,436.7501833333333,0.0,58.43410958333334,0.0,0.0,0.0,0.0,10342.271146499997,10394.861845124997,0.4311
2025-02-01 01:20:00,2025-02-01 01:30:00,7,1:20-1:30,466.7449358333333,466.7449358333333,451.7976833333333,0.0,14.94725249999999,0.0,0.0,0.0,0.0,10394.861845124997,10408.314372374996,0.4302
2025-02-01 01:30:00,2025-02-01 01:40:00,8,1:30-1:40,471.3247083333333,471.3247083333333,446.08,0.0,25.244708333333335,0.0,0.0,0.0,0.0,10408.314372374996,10431.034609874996,0.4279
2025-02-01 01:40:00,2025-02-01 01:50:00,9,1:40-1:50,487.47138999999993,487.47138999999993,471.7663333333333,0.0,15.705056666666621,0.0,0.0,0.0,0.0,10431.034609874996,10445.169160874995,0.4312
2025-02-01 01:50:00,2025-02-01 02:00:00,10,1:50-2:00,510.1279991666667,510.1279991666667,448.02596666666665,0.0,62.102032500000064,0.0,0.0,0.0,0.0,10445.169160874995,10501.060990124995,0.4333
2025-02-01 02:00:00,2025-02-01 02:10:00,11,2:00-2:10,530.4925,530.4925,397.4033333333333,0.0,133.08916666666664,0.0,0.0,0.0,0.0,10501.060990124995,10620.841240124995,0.4311
2025-02-01 02:10:00,2025-02-01 02:20:00,12,2:10-2:20,503.30686583333335,503.30686583333335,434.0906333333333,0.0,69.21623250000005,0.0,0.0,0.0,0.0,10620.841240124995,10683.135849374996,0.4293
2025-02-01 02:20:00,2025-02-01 02:30:00,13,2:20-2:30,511.9531470833334,511.9531470833334,490.5609166666666,0.0,21.39223041666679,0.0,0.0,0.0,0.0,10683.135849374996,10702.388856749996,0.4324
2025-02-01 02:30:00,2025-02-01 02:40:00,14,2:30-2:40,518.37675,518.37675,503.22,0.0,15.156749999999988,0.0,0.0,0.0,0.0,10702.388856749996,10716.029931749996,0.4367
2025-02-01 02:40:00,2025-02-01 02:50:00,15,2:40-2:50,499.94112499999994,499.94112499999994,474.07281666666665,0.0,25.86830833333329,0.0,0.0,0.0,0.0,10716.029931749996,10739.311409249996,0.4348
2025-02-01 02:50:00,2025-02-01 03:00:00,16,2:50-3:00,516.2635887499999,516.2635887499999,461.38439999999997,0.0,54.87918874999997,0.0,0.0,0.0,0.0,10739.311409249996,10788.702679124995,0.4335
2025-02-01 03:00:00,2025-02-01 03:10:00,17,3:00-3:10,528.5034999999999,528.5034999999999,476.94166666666666,0.0,12.552578750005017,0.0,0.0,0.0,39.009254583328236,10788.702679124995,10800.0,0.4357
2025-02-01 03:10:00,2025-02-01 03:20:00,18,3:10-3:20,523.6431329166667,523.6431329166667,483.39955,0.0,0.0,0.0,0.0,0.0,40.243582916666696,10800.0,10800.0,0.4374
2025-02-01 03:20:00,2025-02-01 03:30:00,19,3:20-3:30,508.2814079166667,508.2814079166667,486.6019166666666,0.0,0.0,0.0,0.0,0.0,21.67949125000007,10800.0,10800.0,0.4371
2025-02-01 03:30:00,2025-02-01 03:40:00,20,3:30-3:40,508.52875000000006,508.52875000000006,498.84833333333336,0.0,0.0,0.0,0.0,0.0,9.680416666666702,10800.0,10800.0,0.4356
2025-02-01 03:40:00,2025-02-01 03:50:00,21,3:40-3:50,502.4392683333333,502.4392683333333,518.3097333333333,0.0,0.0,15.870464999999967,0.0,0.0,0.0,10800.0,10782.36615,0.4353
