decision_day,decision_time,strategy,load_model,pv_model,alpha,terminal_mode,decision_soc_0000_kwh,predicted_plan_start_soc_0010_kwh,realized_plan_start_soc_0010_kwh,forecast_source_max_timestamp,residual_source_max_timestamp,residual_history_days,planning_cash_yuan,planning_objective_yuan,planning_max_residual_kwh,solve_seconds
2025-01-01 00:00:00,2025-01-01 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,6000.0,6000.0,6000.0,,,0,36399.69858928963,70246.25381634198,9.094947017729282e-13,0.0034585999999947603
2025-01-02 00:00:00,2025-01-02 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,8435.006323148147,8435.006323148147,8388.344452777777,2025-01-02 00:00:00,,0,49594.34794210698,97791.30719077445,9.094947017729282e-13,0.0034077000000038993
2025-01-03 00:00:00,2025-01-03 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,8387.451916111111,8387.451916111111,8466.29280111111,2025-01-03 00:00:00,2025-01-02 00:10:00,1,49824.33006401356,98228.71479411323,9.094947017729282e-13,0.003286299999999187
2025-01-04 00:00:00,2025-01-04 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,10800.0,10800.0,10800.0,2025-01-04 00:00:00,2025-01-03 00:10:00,2,48476.44991936299,96627.2231429722,9.094947017729282e-13,0.0033311999999980912
2025-01-05 00:00:00,2025-01-05 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,10800.0,10800.0,10772.078870370371,2025-01-05 00:00:00,2025-01-04 00:10:00,3,48267.59980662785,96209.522917468,9.094947017729282e-13,0.003022899999997719
2025-01-06 00:00:00,2025-01-06 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,8501.043549814814,8501.043549814814,8463.120568333334,2025-01-06 00:00:00,2025-01-05 00:10:00,4,49199.17684338192,97032.28865063461,9.094947017729282e-13,0.002986399999997502
2025-01-07 00:00:00,2025-01-07 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,8540.940719999999,8540.940719999999,8546.478104999998,2025-01-07 00:00:00,2025-01-06 00:10:00,5,49086.15023379859,109170.9780645038,9.094947017729282e-13,0.0032972999999998365
2025-01-08 00:00:00,2025-01-08 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,8564.13900574074,8564.13900574074,8529.790098333333,2025-01-08 00:00:00,2025-01-07 00:10:00,6,61483.85039955225,121892.70547574309,9.094947017729282e-13,0.0031274999999979514
2025-01-09 00:00:00,2025-01-09 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,8837.354302037036,8837.354302037036,8842.283302037036,2025-01-09 00:00:00,2025-01-08 00:10:00,7,74864.51571896445,111224.46764096137,9.094947017729282e-13,0.002658499999995456
2025-01-10 00:00:00,2025-01-10 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,9456.213520777776,9483.515485777776,9514.916485777776,2025-01-10 00:00:00,2025-01-09 00:10:00,8,36754.01830301201,72769.75066267095,2.2737367544323206e-13,0.0028980999999959067
2025-01-11 00:00:00,2025-01-11 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,9445.42646199074,9470.90615199074,9501.40265199074,2025-01-11 00:00:00,2025-01-10 00:10:00,9,36335.74144586234,108834.8914395123,9.094947017729282e-13,0.0034155999999967435
2025-01-12 00:00:00,2025-01-12 00:00:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,9397.051219629631,9420.708634629631,9408.51063462963,2025-01-12 00:00:00,2025-01-11 00:10:00,10,72761.71347802851,143900.10023504548,9.094947017729282e-13,0.0025867000000019402
