day,issue_time,schedule,release_hour,block_start,block_end_exclusive,soc_kwh,accepted,keep_score_yuan,new_score_yuan,changed_intervals,risk_days,risk_day_first,risk_day_last,gate_days,gate_day_first,gate_day_last,load_source_max,load_correction_source_max,anchor_source,lp_residual_kwh,solve_seconds,planned_mutex_violations,solver_fallback_keep_contract
2025-02-01 00:00:00,2025-02-01 06:00:00,M1,6,35,71,10209.798703703704,False,-5872.815907452184,-5872.815907452184,0,14,2025-01-18 00:00:00,2025-01-31 00:00:00,14,2025-01-04 00:00:00,2025-01-17 00:00:00,2025-02-01 00:10:00,2025-02-01 06:00:00,frozen_current_point_measurement_proxy,4.547473508864641e-13,0.0026918000000080156,0,False
2025-02-02 00:00:00,2025-02-02 06:00:00,M1,6,35,71,10800.0,False,6778.077183160996,10118.53924480287,0,14,2025-01-19 00:00:00,2025-02-01 00:00:00,14,2025-01-05 00:00:00,2025-01-18 00:00:00,2025-02-02 00:10:00,2025-02-02 06:00:00,frozen_current_point_measurement_proxy,9.094947017729282e-13,0.0024468999999953667,0,False
2025-02-03 00:00:00,2025-02-03 06:00:00,M1,6,35,71,10800.0,False,6344.252500621054,9437.951215940655,0,14,2025-01-20 00:00:00,2025-02-02 00:00:00,14,2025-01-06 00:00:00,2025-01-19 00:00:00,2025-02-03 00:10:00,2025-02-03 06:00:00,frozen_current_point_measurement_proxy,9.094947017729282e-13,0.0024892999999792664,0,False
2025-02-04 00:00:00,2025-02-04 06:00:00,M1,6,35,71,10800.0,False,7174.4401575605825,10417.016769877127,0,14,2025-01-21 00:00:00,2025-02-03 00:00:00,14,2025-01-07 00:00:00,2025-01-20 00:00:00,2025-02-04 00:10:00,2025-02-04 06:00:00,frozen_current_point_measurement_proxy,1.8189894035458565e-12,0.0026443000000142547,0,False
2025-02-05 00:00:00,2025-02-05 06:00:00,M1,6,35,71,10800.0,False,7836.508346367603,7997.741658533406,0,14,2025-01-22 00:00:00,2025-02-04 00:00:00,14,2025-01-08 00:00:00,2025-01-21 00:00:00,2025-02-05 00:10:00,2025-02-05 06:00:00,frozen_current_point_measurement_proxy,9.094947017729282e-13,0.0025496000000089225,0,False
2025-02-06 00:00:00,2025-02-06 06:00:00,M1,6,35,71,10800.0,False,6275.793105531761,8332.092221849125,0,14,2025-01-23 00:00:00,2025-02-05 00:00:00,14,2025-01-09 00:00:00,2025-01-22 00:00:00,2025-02-06 00:10:00,2025-02-06 06:00:00,frozen_current_point_measurement_proxy,9.094947017729282e-13,0.0026162000000056196,0,False
2025-02-07 00:00:00,2025-02-07 06:00:00,M1,6,35,71,10409.66892943827,False,-4415.796326942703,-4415.796326942703,0,14,2025-01-24 00:00:00,2025-02-06 00:00:00,14,2025-01-10 00:00:00,2025-01-23 00:00:00,2025-02-07 00:10:00,2025-02-07 06:00:00,frozen_current_point_measurement_proxy,9.094947017729282e-13,0.0023126999999760756,0,False
2025-02-08 00:00:00,2025-02-08 06:00:00,M1,6,35,71,9072.658127043216,False,-5448.900825464766,-5448.900825464766,0,14,2025-01-25 00:00:00,2025-02-07 00:00:00,14,2025-01-11 00:00:00,2025-01-24 00:00:00,2025-02-08 00:10:00,2025-02-08 06:00:00,frozen_current_point_measurement_proxy,9.094947017729282e-13,0.002402599999982158,0,False
2025-02-09 00:00:00,2025-02-09 06:00:00,M1,6,35,71,10800.0,False,6519.51560403394,6669.539902871659,0,14,2025-01-26 00:00:00,2025-02-08 00:00:00,14,2025-01-12 00:00:00,2025-01-25 00:00:00,2025-02-09 00:10:00,2025-02-09 06:00:00,frozen_current_point_measurement_proxy,4.547473508864641e-13,0.0026664000000096166,0,False
2025-02-10 00:00:00,2025-02-10 06:00:00,M1,6,35,71,10794.847590740741,False,3436.7554560527924,5471.370451013879,0,14,2025-01-27 00:00:00,2025-02-09 00:00:00,14,2025-01-13 00:00:00,2025-01-26 00:00:00,2025-02-10 00:10:00,2025-02-10 06:00:00,frozen_current_point_measurement_proxy,9.094947017729282e-13,0.0025124999999945885,0,False
2025-02-11 00:00:00,2025-02-11 06:00:00,M1,6,35,71,10798.186525925927,False,3368.793741550134,5289.61703151116,0,14,2025-01-28 00:00:00,2025-02-10 00:00:00,14,2025-01-14 00:00:00,2025-01-27 00:00:00,2025-02-11 00:10:00,2025-02-11 06:00:00,frozen_current_point_measurement_proxy,9.094947017729282e-13,0.0025196999999934633,0,False
2025-02-12 00:00:00,2025-02-12 06:00:00,M1,6,35,71,10800.0,False,3461.102568731099,4880.594623955927,0,14,2025-01-29 00:00:00,2025-02-11 00:00:00,14,2025-01-15 00:00:00,2025-01-28 00:00:00,2025-02-12 00:10:00,2025-02-12 06:00:00,frozen_current_point_measurement_proxy,2.2737367544323206e-13,0.002582200000006196,0,False
2025-02-13 00:00:00,2025-02-13 06:00:00,M1,6,35,71,10797.06597037037,False,2287.8986352804245,3160.6257970668316,0,14,2025-01-30 00:00:00,2025-02-12 00:00:00,14,2025-01-16 00:00:00,2025-01-29 00:00:00,2025-02-13 00:10:00,2025-02-13 06:00:00,frozen_current_point_measurement_proxy,9.094947017729282e-13,0.002752899999990177,0,False
