alpha,load_correction,asset_adjusted_cost_yuan,accepted_updates,intervals,q0_kwh,qfinal_kwh,base_plan_cost_yuan,up_adjustment_cost_yuan,down_refund_B_yuan,down_penalty_A_yuan,ordinary_cost_B_yuan,ordinary_cost_A_yuan,emergency_kwh,emergency_cost_yuan,total_cash_B_yuan,total_cash_A_revaluation_yuan,unused_supply_kwh,charge_kwh,discharge_kwh,soc_min_kwh,soc_max_kwh,start_soc_kwh,end_soc_kwh
0.6,True,2077744.1845151826,14,4320,2549086.3029160164,2538314.931518999,1588126.9169670162,9937.2700027995,-5541.2219842750255,5541.2219842750255,1592522.9649855406,1603605.4089540907,84164.14963288054,491528.02146643895,2084050.9864519797,2095133.4304205298,203060.05546848092,642889.3313229734,518328.6262395752,1200.0,10800.0,6000.0,8679.702368925926
0.6,False,2079070.184352337,11,4320,2548835.3610677696,2541135.0254974524,1588018.7751127048,9909.589080391483,-4451.675701322206,4451.675701322206,1593476.688491774,1602380.0398944183,84282.77027825554,491934.64150311064,2085411.3299948848,2094314.681397529,206058.35788755142,642351.8228906483,517850.70560249174,1200.0,10800.0,6000.0,8726.967709925924
0.5,False,2085616.9395836415,15,4320,2484982.0528846034,2487637.3213467794,1540031.0775887496,17098.089368592326,-2266.780049919238,2266.780049919238,1554862.3869074224,1559395.9470072612,91344.78883895384,537044.0949853178,2091906.4818927404,2096440.041992579,157667.378146262,652979.2496344993,526522.8381950278,1200.0,10800.0,6000.0,8655.948898796296
0.5,True,2086148.0699291106,15,4320,2485511.797509121,2485802.5612603705,1540257.664816875,16779.9695270902,-3042.009053650082,3042.009053650082,1553995.6252903151,1560079.6433976153,91565.94715030552,538424.6043954163,2092420.2296857315,2098504.247793032,155948.9215585153,653644.4348603876,527083.1686082263,1200.0,10800.0,6000.0,8632.02625409722
0.65,True,2086959.9343666404,13,4320,2583305.9893711796,2567655.026662833,1614432.142009864,7417.215753249596,-6796.391954846481,6796.391954846481,1615052.9658082672,1628645.7497179601,82053.85837434791,478322.66865803755,2093375.634466305,2106968.418375998,231771.8392232592,634379.5243163656,511300.79910244374,1200.0,10800.0,6000.0,8829.572882013888
0.65,False,2088526.736402932,10,4320,2582896.729284469,2571904.533511185,1614256.761329156,7215.489585218491,-5063.383389418928,5063.383389418928,1616408.8675249554,1626535.6343037933,82151.8074545736,478487.339991253,2094896.2075162085,2105022.9742950466,236406.2650932253,633170.5254422582,510378.770169725,1200.0,10800.0,6000.0,8765.950487226852
0.7,True,2110480.1571683595,12,4320,2622695.774513007,2599190.749347757,1644208.06512411,5844.2791311367455,-8738.656888134037,8738.656888134037,1641313.6873671128,1658791.001143381,81567.63131565832,475627.2274637015,2116940.9148308146,2134418.2286070827,265047.2799906466,622370.2909081692,501517.5108354004,1200.0,10800.0,6000.0,8891.583111351852
0.7,False,2113656.9867995046,9,4320,2622125.8706366722,2607657.669572714,1643964.3860117625,5113.136211573977,-5758.837205284992,5758.837205284992,1643318.6850180514,1654836.3594286214,81808.77173388888,476755.6747432271,2120074.3597612786,2131592.0341718486,274084.24175499985,620922.0595633024,500398.1806117,1200.0,10800.0,6000.0,8831.875149527777
0.75,True,2139831.4517396437,11,4320,2667066.0132171465,2636263.8086965336,1678297.581476942,3869.1736868521834,-10578.096289589303,10578.096289589303,1671588.6588742048,1692744.8514533832,81448.40404527777,474804.40432142676,2146393.063195632,2167549.25577481,304367.5360276987,609257.9566857168,490771.6005716042,1200.0,10800.0,6000.0,9030.382604251543
0.75,False,2144019.2494335705,7,4320,2666698.194911624,2645824.2351062093,1678139.6804074338,1096.5552300163417,-6813.689893742668,6813.689893742668,1672422.5457437073,1686049.9255311927,82101.54961055554,478158.3151458515,2150580.8608895587,2164208.2406770443,314696.6252166409,608649.9713489369,490279.1324488125,1200.0,10800.0,6000.0,9030.382604251543
