month,total_cash_B_yuan,emergency_kwh,unused_supply_kwh,schedule
2025-02,1285423.127635339,18558.229141177777,132746.2478963717,M0
2025-03,1214695.3032047718,24515.35854638314,172947.28980610424,M0
2025-04,1017759.5570703323,23498.440338793534,186907.12385606996,M0
2025-05,1080274.1914121525,32773.17685859443,219588.3452309917,M0
2025-06,1423066.5991785794,36778.43382937319,130137.08441246492,M0
2025-07,1843988.723691065,80341.55267731303,216734.36978534656,M0
2025-08,1334829.0627839214,17830.184503456916,266998.04146925575,M0
2025-09,1276401.7796210581,36413.41195843469,256857.99032542136,M0
2025-10,1237548.5491969015,28847.18053383907,200546.9301170713,M0
2025-11,1327944.4585725965,20275.56222281551,87367.93851297666,M0
2025-12,1814117.4423379544,42130.55641979445,85743.30870915634,M0
2025-02,1258717.9928471467,11242.891549250004,137756.3226018621,M1
2025-03,1137962.8206288263,7220.327548263377,180479.2670833049,M1
2025-04,987720.3961288736,16026.20078939631,196164.52638108097,M1
2025-05,1046400.2269247586,24290.70557178888,229707.0296012993,M1
2025-06,1415400.1212119495,32713.821875017242,131565.86623004463,M1
2025-07,1658829.4182495777,38615.46509809628,230760.34534939684,M1
2025-08,1333261.7016083798,16871.560672779135,264215.89361622266,M1
2025-09,1207866.8006528912,18370.790753590274,265370.41925188596,M1
2025-10,1222290.5720205458,24433.31540202519,201355.472040895,M1
2025-11,1313627.148492608,12233.786968139555,106065.32672295507,M1
2025-12,1694251.465419889,11035.508787589197,88809.41481316465,M1
2025-02,1273767.438326547,16860.01272733821,67540.65018326702,M2
2025-03,1172742.1178803763,14921.800636662105,132160.92668089198,M2
2025-04,992280.4068629595,17831.35057169017,167319.29519551803,M2
2025-05,1055426.9134722478,26545.373213799714,210803.11883898423,M2
2025-06,1443222.1634271385,38366.81662295933,106180.52927780188,M2
2025-07,1637335.6697611245,39214.91809683341,147530.94317907427,M2
2025-08,1338829.0903804165,19968.11481692097,219162.2788902619,M2
2025-09,1215156.442426523,21455.68659445088,221400.10623060027,M2
2025-10,1235255.7768018998,27820.61128107224,167090.9160013216,M2
2025-11,1305031.0117019166,12505.762138152206,68699.62465186806,M2
2025-12,1739004.6997768825,20021.745754234387,51549.599626570016,M2
2025-02,1209685.9096219868,2046.1115835892142,67273.07923388382,M3
2025-03,1116879.5927023934,2281.2038928472066,132375.12413185553,M3
2025-04,919623.2118907223,1821.001670617271,166924.83709122855,M3
2025-05,953876.6943247168,3304.662193022209,210481.83750671844,M3
2025-06,1291684.9215682868,3338.938906318618,104972.25164193142,M3
2025-07,1494966.3736567888,6062.371923900006,146815.17736545912,M3
2025-08,1264057.5406361038,2857.7495572133716,218228.783140504,M3
2025-09,1130486.065235188,2351.4021393805615,217106.22939555492,M3
2025-10,1125551.733463948,3239.518432512648,166462.80785523422,M3
2025-11,1259180.8765587818,2104.828938895037,68375.3010249622,M3
2025-12,1668896.7335262587,4046.085731688372,50730.8627593581,M3
