plan_day,day_index,time_index,interval_start,interval_end,natural_day,q0_kwh,planned_grid_kwh,qfinal_kwh,price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,soc_before_kwh,confirmation_count,release_used,settlement,observation_delay_slots,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,soc_after_kwh,u_kwh,r_kwh,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-03-19,77,143,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-20,612.5333333333333,612.5333333333333,612.5333333333333,0.4276,568.4183333333333,0.0,4751.661227256521,0,Q2,B,0,44.11500000000001,0.0,0.0,0.0,4791.36472725652,0.0,0.0,261.9192533333333,0.0,-0.0,261.9192533333333,0.0,261.9192533333333
2025-03-20,78,0,2025-03-20 00:10:00,2025-03-20 00:20:00,2025-03-20,1392.8019833333333,1392.8019833333333,1392.8019833333333,0.4248,549.8448166666667,0.0,4791.36472725652,0,0,B,0,833.3333333333334,0.0,0.0,9.62383333333321,5541.36472725652,0.0,0.0,591.66228252,0.0,-0.0,591.66228252,0.0,591.66228252
2025-03-20,78,1,2025-03-20 00:20:00,2025-03-20 00:30:00,2025-03-20,1381.8082,1381.8082,1381.8082,0.4245,570.3135,0.0,5541.36472725652,0,0,B,0,811.4947,0.0,0.0,0.0,6271.70995725652,0.0,0.0,586.5775808999999,0.0,-0.0,586.5775808999999,0.0,586.5775808999999
2025-03-20,78,2,2025-03-20 00:30:00,2025-03-20 00:40:00,2025-03-20,1392.1549999999997,1392.1549999999997,1392.1549999999997,0.4269,613.8516666666667,0.0,6271.70995725652,0,0,B,0,778.3033333333331,0.0,0.0,0.0,6972.18295725652,0.0,0.0,594.3109694999999,0.0,-0.0,594.3109694999999,0.0,594.3109694999999
2025-03-20,78,3,2025-03-20 00:40:00,2025-03-20 00:50:00,2025-03-20,1388.7795666666666,1388.7795666666666,1388.7795666666666,0.4272,579.4561666666666,0.0,6972.18295725652,0,0,B,0,809.3234,0.0,0.0,0.0,7700.57401725652,0.0,0.0,593.28663088,0.0,-0.0,593.28663088,0.0,593.28663088
2025-03-20,78,4,2025-03-20 00:50:00,2025-03-20 01:00:00,2025-03-20,1383.1740999999997,1383.1740999999997,1383.1740999999997,0.4271,550.4449166666666,0.0,7700.57401725652,0,0,B,0,832.7291833333331,0.0,0.0,0.0,8450.03028225652,0.0,0.0,590.7536581099998,0.0,-0.0,590.7536581099998,0.0,590.7536581099998
2025-03-20,78,5,2025-03-20 01:00:00,2025-03-20 01:10:00,2025-03-20,1079.2391073487202,1079.2391073487202,1079.2391073487202,0.4285,571.1566666666666,0.0,8450.03028225652,0,0,B,0,508.0824406820535,0.0,0.0,0.0,8907.304478870368,0.0,0.0,462.45395749892657,0.0,-0.0,462.45395749892657,0.0,462.45395749892657
2025-03-20,78,6,2025-03-20 01:10:00,2025-03-20 01:20:00,2025-03-20,589.0196249999999,589.0196249999999,589.0196249999999,0.4311,601.5890499999999,0.0,8907.304478870368,0,0,B,0,0.0,12.569425000000024,0.0,0.0,8893.33845109259,0.0,0.0,253.92636033749994,0.0,-0.0,253.92636033749994,0.0,253.92636033749994
2025-03-20,78,7,2025-03-20 01:20:00,2025-03-20 01:30:00,2025-03-20,568.4431166666666,568.4431166666666,568.4431166666666,0.4302,611.48375,0.0,8893.33845109259,0,0,B,0,0.0,43.0406333333334,0.0,0.0,8845.515525166664,0.0,0.0,244.54422878999998,0.0,-0.0,244.54422878999998,0.0,244.54422878999998
2025-03-20,78,8,2025-03-20 01:30:00,2025-03-20 01:40:00,2025-03-20,1372.2833333333333,1372.2833333333333,1372.2833333333333,0.4279,598.2166666666667,0.0,8845.515525166664,0,0,B,0,774.0666666666666,0.0,0.0,0.0,9542.175525166664,0.0,0.0,587.2000383333333,0.0,-0.0,587.2000383333333,0.0,587.2000383333333
2025-03-20,78,9,2025-03-20 01:40:00,2025-03-20 01:50:00,2025-03-20,602.5348583333331,602.5348583333331,602.5348583333331,0.4312,583.9359499999999,0.0,9542.175525166664,0,0,B,0,18.598908333333156,0.0,0.0,0.0,9558.914542666664,0.0,0.0,259.81303091333325,0.0,-0.0,259.81303091333325,0.0,259.81303091333325
2025-03-20,78,10,2025-03-20 01:50:00,2025-03-20 02:00:00,2025-03-20,608.4313083333334,608.4313083333334,608.4313083333334,0.4333,590.99505,0.0,9558.914542666664,0,0,B,0,17.4362583333334,0.0,0.0,0.0,9574.607175166664,0.0,0.0,263.63328590083336,0.0,-0.0,263.63328590083336,0.0,263.63328590083336
2025-03-20,78,11,2025-03-20 02:00:00,2025-03-20 02:10:00,2025-03-20,634.0591666666666,634.0591666666666,634.0591666666666,0.4311,598.4433333333333,0.0,9574.607175166664,0,0,B,0,35.615833333333285,0.0,0.0,0.0,9606.661425166663,0.0,0.0,273.34290674999994,0.0,-0.0,273.34290674999994,0.0,273.34290674999994
