plan_day,block_index,charge_kwh,discharge_kwh
2025-03-20,0,5544.3281240153865,134.1928916666667
2025-03-20,1,1125.0986266666669,5214.823951666667
2025-03-20,2,3760.2908158715586,2777.3772166666668
2025-03-20,3,6518.794480470189,270.4194477083332
2025-03-20,4,116.69139568500614,5648.019606829011
2025-03-20,5,3662.8721829166657,3026.7662152388857
2025-03-21,0,122.97741691666812,768.3247500000002
2025-03-21,1,1059.6393660416663,2842.400074535991
2025-03-21,2,10299.302529417866,0.0
2025-03-21,3,0.0,0.0
2025-03-21,4,6.731776148834696,5941.885205347222
2025-03-21,5,3453.05165,2444.466883333333
2025-03-22,0,232.78157499999998,186.25613274615108
2025-03-22,1,929.7734736528392,3419.0769836233544
2025-03-22,2,10182.211161062602,0.0
2025-03-22,3,0.0,0.0
2025-03-22,4,0.0,5801.70655
2025-03-22,5,3479.385354536424,2268.5899833333333
