variant,period,days,block_days,cash_difference_yuan,boundary_adjusted_difference_yuan,mean_difference_yuan,bootstrap_low,bootstrap_high
A,all,3,3,-10290.575491178126,-10349.10221087977,-3449.7007369599232,-3449.7007369599232,-3449.7007369599232
A,all,3,7,-10290.575491178126,-10349.10221087977,-3449.7007369599232,-3449.7007369599232,-3449.7007369599232
A,all,3,14,-10290.575491178126,-10349.10221087977,-3449.7007369599232,-3449.7007369599232,-3449.7007369599232
A,development,3,3,-10290.575491178126,-10349.10221087977,-3449.7007369599232,-3449.7007369599232,-3449.7007369599232
A,development,3,7,-10290.575491178126,-10349.10221087977,-3449.7007369599232,-3449.7007369599232,-3449.7007369599232
A,development,3,14,-10290.575491178126,-10349.10221087977,-3449.7007369599232,-3449.7007369599232,-3449.7007369599232
B,all,3,3,-10304.101743540463,-10362.628463242107,-3454.2094877473687,-3454.2094877473687,-3454.2094877473687
B,all,3,7,-10304.101743540463,-10362.628463242107,-3454.2094877473687,-3454.2094877473687,-3454.2094877473687
B,all,3,14,-10304.101743540463,-10362.628463242107,-3454.2094877473687,-3454.2094877473687,-3454.2094877473687
B,development,3,3,-10304.101743540463,-10362.628463242107,-3454.2094877473687,-3454.2094877473687,-3454.2094877473687
B,development,3,7,-10304.101743540463,-10362.628463242107,-3454.2094877473687,-3454.2094877473687,-3454.2094877473687
B,development,3,14,-10304.101743540463,-10362.628463242107,-3454.2094877473687,-3454.2094877473687,-3454.2094877473687
