plan_day,block_index,charge_kwh,discharge_kwh
2025-03-20,0,5544.3281240153865,134.1928916666667
2025-03-20,1,1125.0986266666669,5214.823951666667
2025-03-20,2,3760.2908158715586,2777.3772166666668
2025-03-20,3,6433.2696970232055,270.4194477083332
2025-03-20,4,116.69139568500614,5648.019606829011
2025-03-20,5,3662.8721829166657,3026.7662152388857
2025-06-21,0,208.5259533333334,1188.190845483337
2025-06-21,1,377.4047849999999,4456.262528333333
2025-06-21,2,9817.364490061731,0.0
2025-06-21,3,0.0,0.0
2025-06-21,4,44.95781893004094,4206.322683333333
2025-06-21,5,5045.4334266666665,2192.081363333336
2025-09-23,0,6198.809187448558,129.19843333333324
2025-09-23,1,1023.7412833333333,6391.356725
2025-09-23,2,5312.411189393858,1896.6157166666662
2025-09-23,3,5389.072622487133,464.37901249999993
2025-09-23,4,321.1950835185132,5674.490872100006
2025-09-23,5,3411.573234583333,2921.0151397916634
2025-12-21,0,6055.81328163477,168.0163833333337
2025-12-21,1,1581.7420616255222,1684.1505383333326
2025-12-21,2,6463.028111666666,6435.626598333332
2025-12-21,3,5161.912009732511,2230.3386499999997
2025-12-21,4,68.06481481481529,5524.801334133331
2025-12-21,5,3843.688266666666,2901.449866666667
