date,interval_start,interval_end,emergency_kwh,time_period
2025-02-16,2025-02-16 06:00:00,2025-02-16 06:20:00,12.061531736110965,06:00-06:20
2025-02-16,2025-02-16 10:40:00,2025-02-16 11:00:00,114.59140294999898,10:40-11:00
2025-02-19,2025-02-19 06:30:00,2025-02-19 06:40:00,11.756249999999909,06:30-06:40
2025-02-19,2025-02-19 09:40:00,2025-02-19 10:50:00,821.4222187613311,09:40-10:50
2025-02-19,2025-02-19 21:00:00,2025-02-19 22:00:00,157.18908333333314,21:00-22:00
2025-02-20,2025-02-20 06:10:00,2025-02-20 06:20:00,8.202134999999885,06:10-06:20
2025-02-22,2025-02-22 08:20:00,2025-02-22 08:30:00,6.9194447916662725,08:20-08:30
2025-02-24,2025-02-24 06:10:00,2025-02-24 06:20:00,25.751363333333188,06:10-06:20
2025-02-25,2025-02-25 06:00:00,2025-02-25 06:10:00,13.124166666666497,06:00-06:10
2025-02-25,2025-02-25 06:30:00,2025-02-25 06:40:00,10.660833333333358,06:30-06:40
2025-02-27,2025-02-27 06:10:00,2025-02-27 06:20:00,11.70663166666634,06:10-06:20
2025-02-27,2025-02-27 09:30:00,2025-02-27 10:30:00,877.362914683333,09:30-10:30
2025-03-10,2025-03-10 20:50:00,2025-03-10 21:00:00,12.56739049134635,20:50-21:00
2025-03-13,2025-03-13 20:50:00,2025-03-13 21:00:00,5.049810583333419,20:50-21:00
2025-03-15,2025-03-15 07:40:00,2025-03-15 08:00:00,76.33058540382022,07:40-08:00
2025-03-16,2025-03-16 06:00:00,2025-03-16 06:10:00,1.6399999999999864,06:00-06:10
2025-04-02,2025-04-02 20:40:00,2025-04-02 21:00:00,127.9685251991807,20:40-21:00
2025-04-05,2025-04-05 21:00:00,2025-04-05 21:10:00,27.578162121834897,21:00-21:10
2025-04-10,2025-04-10 20:40:00,2025-04-10 21:10:00,91.50980656391982,20:40-21:10
2025-04-21,2025-04-21 21:30:00,2025-04-21 22:00:00,45.64193209999835,21:30-22:00
2025-05-01,2025-05-01 20:40:00,2025-05-01 21:20:00,708.0258902777776,20:40-21:20
2025-05-02,2025-05-02 20:40:00,2025-05-02 21:30:00,279.8587817361134,20:40-21:30
2025-05-02,2025-05-02 21:40:00,2025-05-02 22:00:00,28.11170378958328,21:40-22:00
2025-05-04,2025-05-04 20:40:00,2025-05-04 21:00:00,84.86052333333112,20:40-21:00
2025-05-04,2025-05-04 21:20:00,2025-05-04 21:40:00,67.71752241666665,21:20-21:40
2025-05-05,2025-05-05 20:40:00,2025-05-05 21:10:00,396.69429166666885,20:40-21:10
2025-05-07,2025-05-07 20:40:00,2025-05-07 20:50:00,86.86862057430164,20:40-20:50
2025-05-08,2025-05-08 20:10:00,2025-05-08 20:20:00,35.99924999999996,20:10-20:20
2025-05-11,2025-05-11 19:30:00,2025-05-11 19:40:00,27.56166666666661,19:30-19:40
2025-05-19,2025-05-19 20:30:00,2025-05-19 20:40:00,67.00333333333333,20:30-20:40
2025-06-01,2025-06-01 19:10:00,2025-06-01 19:20:00,26.200161666666872,19:10-19:20
2025-06-01,2025-06-01 19:30:00,2025-06-01 19:40:00,17.95337916666631,19:30-19:40
2025-06-01,2025-06-01 20:00:00,2025-06-01 20:20:00,35.08894833333318,20:00-20:20
2025-06-02,2025-06-02 19:30:00,2025-06-02 19:40:00,31.795404374999862,19:30-19:40
2025-06-02,2025-06-02 20:00:00,2025-06-02 20:20:00,68.7476014583334,20:00-20:20
2025-06-04,2025-06-04 19:10:00,2025-06-04 19:20:00,51.15764958333341,19:10-19:20
2025-06-04,2025-06-04 20:30:00,2025-06-04 20:50:00,26.963874999999575,20:30-20:50
2025-06-05,2025-06-05 19:00:00,2025-06-05 19:20:00,87.53449625000007,19:00-19:20
2025-06-09,2025-06-09 20:30:00,2025-06-09 20:40:00,4.383333333333326,20:30-20:40
2025-06-14,2025-06-14 07:30:00,2025-06-14 07:40:00,25.62541780000049,07:30-07:40
2025-06-19,2025-06-19 19:30:00,2025-06-19 19:40:00,12.486666666666338,19:30-19:40
2025-07-01,2025-07-01 19:50:00,2025-07-01 20:00:00,11.679303888888967,19:50-20:00
2025-07-02,2025-07-02 19:10:00,2025-07-02 19:30:00,40.769161597222364,19:10-19:30
2025-07-03,2025-07-03 20:30:00,2025-07-03 20:50:00,22.103034374999993,20:30-20:50
2025-07-04,2025-07-04 05:50:00,2025-07-04 06:00:00,52.06386708744685,05:50-06:00
2025-07-06,2025-07-06 19:40:00,2025-07-06 19:50:00,38.57224166666663,19:40-19:50
2025-07-06,2025-07-06 20:30:00,2025-07-06 20:50:00,9.544274999999516,20:30-20:50
2025-07-07,2025-07-07 19:10:00,2025-07-07 19:20:00,38.78730444444443,19:10-19:20
2025-07-07,2025-07-07 19:50:00,2025-07-07 20:00:00,8.124329999999759,19:50-20:00
2025-07-08,2025-07-08 20:00:00,2025-07-08 20:10:00,8.704101250000008,20:00-20:10
2025-07-09,2025-07-09 19:30:00,2025-07-09 19:40:00,41.879999999999654,19:30-19:40
2025-07-10,2025-07-10 20:30:00,2025-07-10 20:40:00,1.4891666666666197,20:30-20:40
2025-08-11,2025-08-11 19:30:00,2025-08-11 19:40:00,12.769999999999754,19:30-19:40
2025-08-14,2025-08-14 20:40:00,2025-08-14 20:50:00,5.083291666666696,20:40-20:50
2025-08-16,2025-08-16 07:10:00,2025-08-16 07:30:00,62.867529233331965,07:10-07:30
2025-08-18,2025-08-18 19:10:00,2025-08-18 19:20:00,1.6362416666664785,19:10-19:20
2025-08-18,2025-08-18 20:40:00,2025-08-18 20:50:00,14.883574999999723,20:40-20:50
2025-08-19,2025-08-19 19:30:00,2025-08-19 19:50:00,77.29885928250144,19:30-19:50
2025-08-19,2025-08-19 20:10:00,2025-08-19 20:20:00,5.654421666666622,20:10-20:20
2025-08-21,2025-08-21 20:30:00,2025-08-21 20:40:00,26.827518958333258,20:30-20:40
2025-08-27,2025-08-27 19:00:00,2025-08-27 19:10:00,24.33916666666653,19:00-19:10
2025-08-28,2025-08-28 20:00:00,2025-08-28 20:10:00,28.763333333332866,20:00-20:10
2025-09-10,2025-09-10 09:00:00,2025-09-10 09:50:00,422.98757703333104,09:00-09:50
2025-09-15,2025-09-15 19:50:00,2025-09-15 20:00:00,1.1717666666665991,19:50-20:00
2025-09-15,2025-09-15 20:40:00,2025-09-15 20:50:00,89.02630594391496,20:40-20:50
2025-09-19,2025-09-19 07:20:00,2025-09-19 08:00:00,189.75561891326709,07:20-08:00
2025-09-22,2025-09-22 19:50:00,2025-09-22 20:10:00,19.555899999999838,19:50-20:10
2025-09-23,2025-09-23 20:30:00,2025-09-23 20:40:00,6.374999999999886,20:30-20:40
2025-09-25,2025-09-25 19:00:00,2025-09-25 19:10:00,15.371666666666556,19:00-19:10
2025-09-29,2025-09-29 06:10:00,2025-09-29 06:20:00,11.922871666666424,06:10-06:20
2025-09-29,2025-09-29 20:40:00,2025-09-29 20:50:00,5.6203833333332796,20:40-20:50
2025-09-30,2025-09-30 20:10:00,2025-09-30 20:20:00,21.607091666666634,20:10-20:20
2025-10-10,2025-10-10 07:30:00,2025-10-10 07:50:00,128.06899601954154,07:30-07:50
2025-10-12,2025-10-12 06:10:00,2025-10-12 06:20:00,20.929933333333224,06:10-06:20
2025-10-14,2025-10-14 09:40:00,2025-10-14 09:50:00,27.11074961805457,09:40-09:50
2025-10-15,2025-10-15 20:40:00,2025-10-15 21:30:00,250.51113380027778,20:40-21:30
2025-10-15,2025-10-15 21:50:00,2025-10-15 22:00:00,32.18805000000016,21:50-22:00
2025-10-16,2025-10-16 20:40:00,2025-10-16 21:10:00,191.77835221458486,20:40-21:10
2025-10-16,2025-10-16 21:20:00,2025-10-16 21:30:00,8.021984916666725,21:20-21:30
2025-10-16,2025-10-16 21:40:00,2025-10-16 22:00:00,59.06380906250056,21:40-22:00
2025-10-19,2025-10-19 20:40:00,2025-10-19 21:00:00,114.21902115116791,20:40-21:00
2025-10-22,2025-10-22 20:50:00,2025-10-22 21:10:00,27.86910277777679,20:50-21:10
2025-10-24,2025-10-24 20:50:00,2025-10-24 21:30:00,104.42102173610823,20:50-21:30
2025-10-30,2025-10-30 06:10:00,2025-10-30 06:20:00,3.6418333333332384,06:10-06:20
2025-11-04,2025-11-04 06:10:00,2025-11-04 06:20:00,21.977883333333352,06:10-06:20
2025-11-04,2025-11-04 20:40:00,2025-11-04 20:50:00,135.45911409722225,20:40-20:50
2025-11-04,2025-11-04 21:10:00,2025-11-04 21:30:00,12.848964212499915,21:10-21:30
2025-11-07,2025-11-07 08:20:00,2025-11-07 08:40:00,145.86427381666553,08:20-08:40
2025-11-10,2025-11-10 20:40:00,2025-11-10 21:10:00,145.14927613332827,20:40-21:10
2025-11-10,2025-11-10 21:40:00,2025-11-10 22:00:00,61.9010508333333,21:40-22:00
2025-11-26,2025-11-26 06:10:00,2025-11-26 06:20:00,8.039349999999672,06:10-06:20
2025-12-01,2025-12-01 21:50:00,2025-12-01 22:00:00,24.753683999996042,21:50-22:00
2025-12-02,2025-12-02 08:00:00,2025-12-02 08:30:00,48.00077645833289,08:00-08:30
2025-12-04,2025-12-04 08:20:00,2025-12-04 08:30:00,13.015638333333186,08:20-08:30
2025-12-09,2025-12-09 08:10:00,2025-12-09 08:20:00,42.06572166666649,08:10-08:20
2025-12-25,2025-12-25 20:40:00,2025-12-25 21:00:00,79.85094979166604,20:40-21:00
