month,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan,q0_kwh,qfinal_kwh,u_kwh,r_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,asset_adjusted_cost_yuan,daily_cost_p95_yuan,daily_cost_cvar95_yuan
2025-02,1172823.5319647926,20381.97184713455,0.0,1193205.5038119273,9882.161188546757,1203087.665000474,1933438.265386119,1948892.6067742892,15454.341388170282,0.0,579395.7465195681,468655.921316099,2070.7479762557728,126343.8574804093,1202746.9647026411,56372.055389141125,56460.87622690956
2025-03,1078880.3419647168,41299.831114767425,0.0,1120180.1730794841,407.69349289499513,1120587.8665723791,1803126.3784257746,1837786.2942282166,34659.915802442076,0.0,580293.7895802937,469829.4155749383,95.58778647849998,201099.84154267324,1120479.3258094674,49288.30526198192,51267.48839802348
2025-04,878731.5668084422,52923.831095073736,0.0,931655.397903516,1810.303712802746,933465.7016163188,1504026.1024732925,1557115.4840397625,53089.38156646995,0.0,537914.5278651502,435663.26384674973,292.69842598493375,237427.3194473471,933440.9785670611,43295.07401487557,46131.20243853028
2025-05,921904.9048763367,30382.33410835999,0.0,952287.2389846967,11372.838085218575,963660.0770699152,1519417.3632742288,1550561.116976473,31143.75370224414,0.0,513041.70430804184,414755.6711330554,1782.7015837944425,267247.32041861437,963239.5010448429,41294.79386151543,41720.13494102657
2025-06,1281707.8321521967,64859.471917016985,0.0,1346567.3040692136,2546.389890975866,1349113.6939601894,2018282.1567287107,2069036.5292138655,50754.37248515486,0.0,537925.7387204441,434131.6025013411,387.93693363333284,215637.16374506263,1348287.100224786,57745.17664080582,58585.71053499976
2025-07,1482571.1616594307,46885.958434831926,0.0,1529457.1200942628,1649.4180596472543,1531106.5381539098,2277326.027755694,2314732.021226424,37405.993470730056,0.0,519312.385972143,419169.2379255115,273.7167859763348,270043.3304491022,1530339.5098838373,61632.39076381072,61995.05167898748
2025-08,1218312.4307880006,35991.59050616501,0.0,1254304.0212941656,1586.3576516213477,1255890.378945787,1909832.8440197115,1950086.6785090358,40253.83448932437,0.0,540044.3870512365,440654.317249902,260.12393747416536,266843.868378509,1257565.3584736388,50993.81592505874,52085.263796260755
2025-09,1080550.0564501714,39213.04319407287,0.0,1119763.0996442444,3984.452430151517,1123747.5520743958,1717994.2703437859,1756647.0513223733,38652.78097858754,0.0,531833.15445674,431580.76749399136,783.3941818905123,268794.19129151525,1124161.7802529298,46375.49055338943,46634.82105103301
2025-10,1077288.5001151483,26935.843038967178,0.0,1104224.3431541154,5484.0816694084515,1109708.4248235237,1755414.0762410208,1780426.307409746,25012.231168725295,0.0,582954.7958412556,472227.61695355905,967.8239879633456,195533.3614766796,1109726.240845403,46570.014113789104,48359.87126971604
2025-11,1216408.090729764,33902.09178422576,0.0,1250310.1825139897,3052.630544293405,1253362.8130582832,1975981.7489378366,2007150.0411244475,31168.292186610885,0.0,613755.5536015341,497401.03914973134,531.2399124263823,103354.35860173794,1253497.6293683918,54437.49241305558,55128.462700284
2025-12,1640537.6703076675,46817.54203435127,0.0,1687355.2123420187,1237.5586206028895,1688592.7709626218,2614294.6660681874,2655834.688981609,41540.02291342118,0.0,695908.4667722266,563538.2208729315,207.68677024999465,159635.1936192306,1688515.9339955454,66407.09950750781,66936.6931752214
