month,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan,q0_kwh,qfinal_kwh,u_kwh,r_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,asset_adjusted_cost_yuan,daily_cost_p95_yuan,daily_cost_cvar95_yuan
2025-02,1172823.5319647926,6433.666415110574,0.0,1179257.1983799033,26668.75384859542,1205925.9522284986,1933438.265386119,1939170.8637695487,5732.598383429609,0.0,581528.2674141608,470383.263240719,4636.056873423709,118782.24440286397,1205585.251930666,56466.67756089276,57686.817187991765
2025-03,1078880.3419647168,19628.683939947045,0.0,1098509.0259046638,37833.199444416736,1136342.2253490805,1803126.3784257746,1822262.8242430235,19136.445817248845,0.0,579320.6790090582,469191.15740457084,5726.609831985609,191542.2460038552,1136311.7311596896,51224.6341089904,58081.34745614516
2025-04,878731.5668084422,42353.26421190568,0.0,921084.8310203479,15209.471595070245,936294.3026154182,1504026.1024732925,1549825.147964307,45799.045491014396,0.0,539758.4810703706,437006.904550645,2404.791543970981,231748.76398855238,936191.5329926395,43411.04291354204,46584.844460234715
2025-05,921904.9048763367,19201.067699692438,0.0,941105.9725760291,42678.13289319134,983784.1054692206,1519417.3632742288,1542411.3895863525,22994.026312123657,0.0,514717.5329839995,416113.09236058115,6701.174018614822,263697.6580148823,983363.5294441481,43133.79691729612,45892.75828131258
2025-06,1281707.8321521967,30599.535841204237,0.0,1312307.367993401,110104.41611902774,1422411.7841124285,2018282.1567287107,2048557.166907846,30275.01017913536,0.0,535192.4668872919,431917.65231648774,16504.090319113115,211793.27647282186,1421585.190377025,67308.4433115385,78697.213251484
2025-07,1482571.1616594307,30006.148022589656,0.0,1512577.3096820205,48233.43798494606,1560810.7476669664,2277326.027755694,2303024.362078323,25698.334322629325,0.0,517767.47783364897,417917.8623333314,7742.055743418933,266097.54280475795,1560043.7193968939,63370.72993018101,71277.8372449018
2025-08,1218312.4307880006,22566.2870116439,0.0,1240878.7177996445,21993.505496771064,1262872.2232964155,1909832.8440197115,1938767.752800229,28934.90878051754,0.0,543867.0527137474,443750.6764365358,3325.371008261201,257863.88326461217,1264547.2028242676,51927.96314621682,55297.900207039405
2025-09,1080550.0564501714,23264.485883902114,0.0,1103814.5423340737,27216.092192385593,1131030.6345264593,1717994.2703437859,1745069.5422951793,27075.271951393504,0.0,531406.9751307406,431579.4559523238,4565.203860691513,261423.35972745408,1131623.840277087,46647.91824183496,47404.48328655117
2025-10,1077288.5001151483,15123.23635166659,0.0,1092411.7364668148,30053.1813781255,1122464.9178449402,1755414.0762410208,1772001.0227653338,16586.94652431309,0.0,584150.6742190305,472852.38472716475,4631.3554777889585,190200.49771792383,1122303.7562947257,48962.713666781856,51599.77102347499
2025-11,1216408.090729764,26355.875354381467,0.0,1242763.9660841455,12715.007057678622,1255478.9731418241,1975981.7489378366,2001336.450054895,25354.70111705819,0.0,613901.3398254842,497724.1507714756,1978.1246126284955,99164.9776301815,1255720.4934598366,54458.15748013443,56201.35579662013
2025-12,1640537.6703076675,25649.692435415684,0.0,1666187.3627430832,8619.933910263564,1674807.2966533469,2614294.6660681874,2638993.6997319083,24699.03366372076,0.0,699379.0918721077,566144.4024234905,1277.518411826889,142999.59246178498,1674623.7556783666,66398.72414830196,66928.31781601555
