natural_day,block_index,charge_kwh,discharge_kwh,initial_soc_kwh,end_soc_kwh,interval_count,complete_block
2025-02-01,0,7260.835683333334,1.5249333333333652,3668.3243752037038,10201.382119833332,24,True
2025-02-01,1,665.1309779629642,6329.008316666666,10201.382119833332,3767.768537037039,24,True
2025-02-01,2,4904.42549,977.6502,3767.768537037039,7095.473478037038,24,True
2025-02-01,3,4116.140579958847,165.63499711933957,7095.473478037038,10615.961114311845,24,True
2025-02-01,4,127.01695999999976,5411.538570102881,10615.961114311845,4717.455744864199,24,True
2025-02-01,5,2743.0213458367584,2658.969425377779,4717.455744864199,4231.764483475305,24,True
2025-02-02,0,6853.045352002743,14.06916666666666,4231.764483475305,10383.872892870364,24,True
2025-02-02,1,1419.1237712963002,774.9758583333328,10383.872892870364,10800.0,24,True
2025-02-02,2,5118.449728333333,7104.348051666666,10800.0,7512.884698092592,24,True
2025-02-02,3,5328.459288127575,1357.6482516666665,7512.884698092592,10800.0,24,True
2025-02-02,4,35.36134979423865,4647.593649396707,10800.0,5667.832271040695,24,True
2025-02-02,5,3782.6045333333327,3543.492981499999,5667.832271040695,5134.961927151806,24,True
2025-02-03,0,6033.61748781486,0.0,5134.961927151806,10565.217666185183,24,True
2025-02-03,1,1317.70959106996,856.0406683333326,10565.217666185183,10800.0,24,True
2025-02-03,2,4937.3462500000005,7267.815866666666,10800.0,7168.260662037039,24,True
2025-02-03,3,6177.418311728389,1735.1434283333333,7168.260662037039,10800.0,24,True
2025-02-03,4,132.0713716666662,4607.578951474113,10800.0,5799.33206619543,24,True
2025-02-03,5,3664.454261625514,3596.248590192553,5799.33206619543,5101.509134777778,24,True
2025-02-04,0,5868.460360246911,0.0,5101.509134777778,10383.123459,24,True
2025-02-04,1,1243.2875270576137,665.2098233499977,10383.123459,10762.960207407408,24,True
2025-02-04,2,5061.290343333334,7703.1554099999985,10762.960207407408,6759.059949740743,24,True
2025-02-04,3,6787.379602530873,2264.640339999999,6759.059949740743,10351.434547574087,24,True
2025-02-04,4,135.95789333333357,4460.597571666666,10351.434547574087,5517.577127500014,24,True
2025-02-04,5,3606.0909666666666,3606.970958333333,5517.577127500014,4755.313488240755,24,True
2025-02-05,0,6052.06806639916,0.0,4755.313488240755,10202.174748,24,True
2025-02-05,1,1638.362046975306,789.030531250001,10202.174748,10800.0,24,True
2025-02-05,2,4999.426703333333,7869.193863333334,10800.0,6555.93529596296,24,True
2025-02-05,3,6644.250535349798,1562.1846999999993,6555.93529596296,10800.0,24,True
2025-02-05,4,25.768031872428498,4771.55045,10800.0,5521.468506462963,24,True
2025-02-05,5,3606.0227418428194,3550.961933333333,5521.468506462963,4821.375714862241,24,True
2025-02-06,0,6109.598289041953,0.0,4821.375714862241,10320.014175000002,24,True
2025-02-06,1,1492.9445427571961,777.2978371333331,10320.014175000002,10800.0,24,True
2025-02-06,2,5075.846458333333,7053.116476383329,10800.0,7531.465727629634,24,True
2025-02-06,3,5910.953016625507,1846.1910983333335,7531.465727629634,10800.0,24,True
2025-02-06,4,8.247096707819436,4636.3518089166655,10800.0,5655.920377129631,24,True
2025-02-06,5,3439.2877755049985,3658.5401854999996,5655.920377129631,4686.234724528576,24,True
2025-02-07,0,6576.84684496825,13.666758333333348,4686.234724528576,10590.211597962967,24,True
2025-02-07,1,263.1905084362099,6051.7975,10590.211597962967,4102.863611111113,24,True
2025-02-07,2,4257.584283333333,1376.3880333333332,4102.863611111113,6405.369429074077,24,True
2025-02-07,3,4882.92285658436,0.0,6405.369429074077,10800.0,24,True
2025-02-07,4,60.173528209877865,5592.379225699999,10800.0,4640.401480166665,24,True
2025-02-07,5,2388.3082326131703,2826.397975,4640.401480166665,3649.436695074075,24,True
2025-02-08,0,6631.649658333334,42.58916666666664,3649.436695074075,9570.600091277778,24,True
2025-02-08,1,1126.2975683333339,6024.893646666666,9570.600091277778,3889.941628703706,24,True
2025-02-08,2,5571.866933333333,617.2230666666668,3889.941628703706,8218.818461296298,24,True
2025-02-08,3,2867.979487448559,37.706551666666996,8218.818461296298,10758.103831481481,24,True
2025-02-08,4,38.621825000000115,5814.405055773663,10758.103831481481,4332.413412010742,24,True
2025-02-08,5,3969.5923689300407,2837.2839916666667,4332.413412010742,4752.508775529261,24,True
2025-02-09,0,6003.397532189714,0.0,4752.508775529261,10155.566554500003,24,True
2025-02-09,1,1748.6835616666622,901.1942132249973,10155.566554500003,10728.054856416671,24,True
2025-02-09,2,5002.077780555555,7283.381552358331,10728.054856416671,7137.278689629638,24,True
2025-02-09,3,6056.549933189291,2215.3629666666657,7137.278689629638,10126.659222092592,24,True
2025-02-09,4,305.2774933333329,4534.9779996499965,10126.659222092592,5362.544522037044,24,True
2025-02-09,5,3841.7995333333324,3557.738283333333,5362.544522037044,4867.121565000007,24,True
2025-02-10,0,6307.096090576125,0.0,4867.121565000007,10543.508046518518,24,True
2025-02-10,1,1313.9780841152265,833.4794899999998,10543.508046518518,10800.0,24,True
