plan_day,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan,q0_kwh,qfinal_kwh,u_kwh,r_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,initial_soc_kwh,end_soc_kwh,asset_adjusted_cost_yuan,interval_count
2025-02-01,23284.283285284986,0.0,0.0,23284.283285284986,0.0,23284.283285284986,45163.39259558244,45163.39259558244,0.0,0.0,19824.02535375857,15544.326442599999,0.0,6505.517751090531,3717.3494902037037,4287.498483475305,23017.225496836567,144
2025-02-02,56243.01542461002,0.0,0.0,56243.01542461002,0.0,56243.01542461002,89291.5768882048,89291.5768882048,0.0,0.0,22529.396372887524,17442.127959230038,0.0,5848.030524547319,4287.498483475305,5183.813042151806,55823.181685325944,144
2025-02-03,55661.755446493415,0.0,0.0,55661.755446493415,0.0,55661.755446493415,88157.08978168317,88157.08978168317,0.0,0.0,22244.774923905392,18062.827504999997,0.0,3758.2258627777865,5183.813042151806,5134.302134777778,55684.94635550741,144
2025-02-04,55916.54225231742,0.0,0.0,55916.54225231742,0.0,55916.54225231742,88022.13340152653,88022.13340152653,0.0,0.0,22738.78669316873,18700.574103349994,0.0,2789.0568617078025,5134.302134777778,4820.794488240755,56063.389233955364,144
2025-02-05,56480.214006853545,0.0,0.0,56480.214006853545,0.0,56480.214006853545,89429.36002114686,89429.36002114686,0.0,0.0,22964.065625772844,18542.92147791667,0.0,4259.788889957345,4820.794488240755,4885.207464862241,56450.04296860404,144
2025-02-06,56441.53844696557,0.0,0.0,56441.53844696557,0.0,56441.53844696557,89149.01032965888,89149.01032965888,0.0,0.0,22036.79786230414,17971.497406266662,0.0,4812.6526569547395,4885.207464862241,4749.9950895285765,56504.87192357186,144
2025-02-07,21141.546771827445,0.0,0.0,21141.546771827445,0.0,21141.546771827445,40819.1287880236,40819.1287880236,0.0,0.0,18436.500570811866,15860.629492366665,0.0,6437.578042911733,4749.9950895285765,3719.923945074075,21624.032095889932,144
2025-02-08,20546.33034613223,0.0,0.0,20546.33034613223,0.0,20546.33034613223,40006.057140656376,40006.057140656376,0.0,0.0,20203.7826913786,15374.101479106996,0.0,3599.2132117181054,3719.923945074075,4820.993390529261,20030.58941788102,144
2025-02-09,52997.972178716256,3206.9709907816914,0.0,56204.94316949795,0.0,56204.94316949795,84505.24235408971,87324.2654750265,2819.023120936796,0.0,22862.552918300808,17967.071078566656,0.0,2873.3676686256954,4820.993390529261,5433.878707481487,55917.86768703753,144
2025-02-10,54830.93450046042,0.0,0.0,54830.93450046042,0.0,54830.93450046042,87096.99798448497,87096.99798448497,0.0,0.0,19575.015652262766,15892.695641666669,0.0,9088.040390555549,5433.878707481487,5392.842081555007,54850.15605604438,144
