day_index,plan_day,issue_time,planned_initial_energy_kwh,executed_initial_energy_kwh,upstream_planned_initial_energy_kwh,planned_initial_source,q0_source
0,2025-01-01,2025-01-01,6000.0,6000.0,6000.0,previous_confirmed_contract_and_last_release,Q2_G_direct
1,2025-01-02,2025-01-02,3783.278582777777,3869.5352031481475,3916.1970735185178,previous_confirmed_contract_and_last_release,Q2_G_direct
2,2025-01-03,2025-01-03,3742.336641481481,3942.699220925925,3863.858335925925,previous_confirmed_contract_and_last_release,Q2_G_direct
3,2025-01-04,2025-01-04,10800.0,10800.0,10800.0,previous_confirmed_contract_and_last_release,Q2_G_direct
4,2025-01-05,2025-01-05,10800.0,10775.879338333332,10798.495453333331,previous_confirmed_contract_and_last_release,Q2_G_direct
5,2025-01-06,2025-01-06,1923.015558395064,2030.7343917283974,2068.657373209879,previous_confirmed_contract_and_last_release,Q2_G_direct
6,2025-01-07,2025-01-07,1982.3615737037035,2106.9580829629626,2101.4206979629625,previous_confirmed_contract_and_last_release,Q2_G_direct
7,2025-01-08,2025-01-08,2343.406408888889,2459.9907237037037,2487.813338703704,previous_confirmed_contract_and_last_release,Q2_G_direct
8,2025-01-09,2025-01-09,3822.119344555562,3815.202604555562,3810.273604555562,previous_confirmed_contract_and_last_release,Q2_G_direct
9,2025-01-10,2025-01-10,3661.1302530555554,3697.892230555555,3666.4912305555554,previous_confirmed_contract_and_last_release,Q2_G_direct
10,2025-01-11,2025-01-11,3024.644905885184,3057.944905885184,3027.448405885184,previous_confirmed_contract_and_last_release,Q2_G_direct
11,2025-01-12,2025-01-12,3203.950172037037,3177.4760325925927,3192.535291851852,previous_confirmed_contract_and_last_release,Q2_G_direct
12,2025-01-13,2025-01-13,4316.7544225370375,4354.341370037037,4321.252870037038,previous_confirmed_contract_and_last_release,Q2_G_direct
13,2025-01-14,2025-01-14,4043.5940930555553,4011.6286355555553,4034.8291355555552,previous_confirmed_contract_and_last_release,Q2_G_direct
14,2025-01-15,2025-01-15,3820.9771932407416,3796.6708707407415,3803.0728707407416,previous_confirmed_contract_and_last_release,Q2_G_direct
15,2025-01-16,2025-01-16,4420.814176620366,4474.077620370366,4436.477120370367,previous_confirmed_contract_and_last_release,Q2_G_direct
16,2025-01-17,2025-01-17,4554.261443324191,4583.396430824191,4561.133430824191,previous_confirmed_contract_and_last_release,Q2_G_direct
17,2025-01-18,2025-01-18,4911.394607342594,4887.852208592594,4886.624458592594,previous_confirmed_contract_and_last_release,Q2_G_direct
18,2025-01-19,2025-01-19,4016.953546111109,3988.8646272222204,4018.328131111109,previous_confirmed_contract_and_last_release,Q2_G_direct
19,2025-01-20,2025-01-20,5078.525158129623,5046.946475629624,5064.267725629624,previous_confirmed_contract_and_last_release,Q2_G_direct
20,2025-01-21,2025-01-21,5373.84475064257,5337.8957013370145,5372.83875689257,previous_confirmed_contract_and_last_release,Q2_G_direct
21,2025-01-22,2025-01-22,5050.39355787963,5054.6939941296305,5035.98149412963,previous_confirmed_contract_and_last_release,Q2_G_direct
22,2025-01-23,2025-01-23,4352.487425277772,4347.581390277772,4350.978890277772,previous_confirmed_contract_and_last_release,Q2_G_direct
23,2025-01-24,2025-01-24,5049.511488884812,5057.452226384812,5055.811976384813,previous_confirmed_contract_and_last_release,Q2_G_direct
24,2025-01-25,2025-01-25,3306.0077460316616,3275.0847697816616,3291.5180197816617,previous_confirmed_contract_and_last_release,Q2_G_direct
25,2025-01-26,2025-01-26,3275.157306388891,3306.3565713888906,3259.855821388891,previous_confirmed_contract_and_last_release,Q2_G_direct
26,2025-01-27,2025-01-27,4199.56124921296,4171.30290296296,4198.36365296296,previous_confirmed_contract_and_last_release,Q2_G_direct
27,2025-01-28,2025-01-28,4680.772563957593,4701.448335207593,4674.849585207593,previous_confirmed_contract_and_last_release,Q2_G_direct
28,2025-01-29,2025-01-29,4341.792205777785,4342.734978277785,4343.778228277784,previous_confirmed_contract_and_last_release,Q2_G_direct
29,2025-01-30,2025-01-30,5155.304395370372,5116.0389253703715,5128.189675370372,previous_confirmed_contract_and_last_release,Q2_G_direct
30,2025-01-31,2025-01-31,4590.760060129626,4561.830430129627,4575.8344301296265,previous_confirmed_contract_and_last_release,Q2_G_direct
