plan_day,day_index,time_index,interval_start,interval_end,natural_day,q0_kwh,planned_grid_kwh,qfinal_kwh,price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,soc_before_kwh,confirmation_count,release_used,settlement,observation_delay_slots,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,soc_after_kwh,u_kwh,r_kwh,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-03-20,78,59,2025-03-20 10:00:00,2025-03-20 10:10:00,2025-03-20,0.0,0.0,0.0,0.9977,1116.2383333333332,1071.03125,1845.6860074656984,1,6,A,0,0.0,45.20708333333323,0.0,0.0,1795.455914873106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,78,71,2025-03-20 12:00:00,2025-03-20 12:10:00,2025-03-20,510.53958333333344,510.53958333333344,583.670510416667,0.4432,1028.0533333333333,1303.0749999999998,4429.717649157509,1,12,A,0,833.3333333333334,0.0,0.0,25.35884375000012,5179.717649157509,73.13092708333352,0.0,226.27114333333338,48.61744032500012,0.0,274.8885836583335,0.0,274.8885836583335
2025-03-20,78,83,2025-03-20 14:00:00,2025-03-20 14:10:00,2025-03-20,0.0,0.0,0.0,0.9754,1046.67,1133.3249999999998,9469.88058184501,1,12,A,0,86.65499999999975,0.0,0.0,0.0,9547.870081845009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,78,95,2025-03-20 16:00:00,2025-03-20 16:10:00,2025-03-20,454.0795833333333,454.0795833333333,491.6275022916666,0.8055,1033.3616666666667,526.0374999999999,10732.67352142979,1,12,A,0,0.0,15.696664375000182,0.0,0.0,10715.232783235346,37.5479189583333,0.0,365.76110437499995,45.36727308140621,0.0,411.12837745640616,0.0,411.12837745640616
2025-03-20,78,107,2025-03-20 18:00:00,2025-03-20 18:10:00,2025-03-20,696.0676790123433,696.0676790123433,696.0676790123433,1.2313,682.3533333333332,0.0,10800.0,0,0,A,0,0.0,0.0,0.0,13.71434567901008,10800.0,0.0,0.0,857.0681331678984,0.0,0.0,857.0681331678984,0.0,857.0681331678984
2025-03-20,78,119,2025-03-20 20:00:00,2025-03-20 20:10:00,2025-03-20,0.0,0.0,0.0,1.3482,726.3683333333333,0.0,5351.753624356654,0,0,A,0,0.0,726.3683333333333,0.0,0.0,4544.677698430728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-21,171,59,2025-06-21 10:00:00,2025-06-21 10:10:00,2025-06-21,0.0,0.0,0.0,0.9977,666.6899999999999,1107.25625,4535.674253944443,1,6,A,0,440.56624999999997,0.0,0.0,0.0,4932.183878944443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-21,171,71,2025-06-21 12:00:00,2025-06-21 12:10:00,2025-06-21,0.0,0.0,0.0,0.4432,605.18,1277.51875,10800.0,1,12,A,0,0.0,0.0,0.0,672.33875,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-21,171,83,2025-06-21 14:00:00,2025-06-21 14:10:00,2025-06-21,0.0,0.0,0.0,0.9754,643.6416666666667,992.6999999999999,10800.0,1,12,A,0,0.0,0.0,0.0,349.0583333333333,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-21,171,95,2025-06-21 16:00:00,2025-06-21 16:10:00,2025-06-21,152.05503536046388,152.05503536046388,152.05503536046388,0.8055,702.905,675.9,10800.0,1,12,A,0,0.0,0.0,0.0,125.05003536046388,10800.0,0.0,0.0,122.48033098285364,0.0,0.0,122.48033098285364,0.0,122.48033098285364
2025-06-21,171,107,2025-06-21 18:00:00,2025-06-21 18:10:00,2025-06-21,349.48583333333335,349.48583333333335,349.48583333333335,1.2313,558.2516666666667,172.34999999999997,10800.0,0,0,A,0,0.0,36.41583333333335,0.0,0.0,10759.537962962962,0.0,0.0,430.3219065833334,0.0,0.0,430.3219065833334,0.0,430.3219065833334
2025-06-21,171,119,2025-06-21 20:00:00,2025-06-21 20:10:00,2025-06-21,0.0,0.0,0.0,1.3482,531.6033333333332,0.0,6757.440537037038,0,0,A,0,0.0,531.6033333333332,0.0,0.0,6166.770166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-23,265,59,2025-09-23 10:00:00,2025-09-23 10:10:00,2025-09-23,0.0,0.0,0.0,0.9977,1075.9933333333333,1081.2937499999998,1324.6118758773137,1,6,A,0,5.300416666666479,0.0,0.0,0.0,1329.3822508773135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-23,265,71,2025-09-23 12:00:00,2025-09-23 12:10:00,2025-09-23,327.29666666666606,327.29666666666606,327.29666666666606,0.4432,982.2816666666665,1435.59375,5603.640961171295,1,12,A,0,780.6087499999996,0.0,0.0,0.0,6306.188836171295,0.0,0.0,145.0578826666664,0.0,0.0,145.0578826666664,0.0,145.0578826666664
2025-09-23,265,83,2025-09-23 14:00:00,2025-09-23 14:10:00,2025-09-23,0.0,0.0,0.0,0.9754,1068.2549999999999,1182.4937499999999,10800.0,1,12,A,0,0.0,0.0,0.0,114.23874999999998,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-23,265,95,2025-09-23 16:00:00,2025-09-23 16:10:00,2025-09-23,382.23874999999987,382.23874999999987,432.8284041666666,0.8055,1084.195,590.6125,10800.0,1,12,A,0,0.0,60.754095833333395,0.0,0.0,10732.495449074075,50.58965416666672,0.0,307.8933131249999,61.124949646875066,0.0,369.01826277187496,0.0,369.01826277187496
2025-09-23,265,107,2025-09-23 18:00:00,2025-09-23 18:10:00,2025-09-23,780.2237500000001,780.2237500000001,780.2237500000001,1.2313,752.645,0.0,10620.421456333337,0,0,A,0,27.578750000000127,0.0,0.0,0.0,10645.242331333337,0.0,0.0,960.6895033750002,0.0,0.0,960.6895033750002,0.0,960.6895033750002
2025-09-23,265,119,2025-09-23 20:00:00,2025-09-23 20:10:00,2025-09-23,0.0,0.0,0.0,1.3482,811.9116666666666,0.0,5160.377870222226,0,0,A,0,0.0,811.9116666666666,0.0,0.0,4258.253796148152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,354,59,2025-12-21 10:00:00,2025-12-21 10:10:00,2025-12-21,0.0,0.0,0.0,0.9977,1152.0383333333332,791.7312499999999,4553.47173325926,1,6,A,0,0.0,360.30708333333325,0.0,0.0,4153.130529555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,354,71,2025-12-21 12:00:00,2025-12-21 12:10:00,2025-12-21,1164.5241666666666,1164.5241666666666,1164.5241666666666,0.4432,1055.1499999999999,981.8,7882.433246796296,1,12,A,0,833.3333333333334,0.0,0.0,257.8408333333331,8632.433246796296,0.0,0.0,516.1171106666666,0.0,0.0,516.1171106666666,0.0,516.1171106666666
2025-12-21,354,83,2025-12-21 14:00:00,2025-12-21 14:10:00,2025-12-21,0.0,0.0,0.0,0.9754,1109.8016666666667,807.9187499999999,10800.0,1,12,A,0,0.0,301.8829166666668,0.0,0.0,10464.574537037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,354,95,2025-12-21 16:00:00,2025-12-21 16:10:00,2025-12-21,847.0754166666663,847.0754166666663,847.0754166666663,0.8055,1031.7366666666667,235.80625,10800.0,1,12,A,0,0.0,0.0,0.0,51.144999999999754,10800.0,0.0,0.0,682.3192481249997,0.0,0.0,682.3192481249997,0.0,682.3192481249997
2025-12-21,354,107,2025-12-21 18:00:00,2025-12-21 18:10:00,2025-12-21,695.4725,695.4725,695.4725,1.2313,712.6333333333333,0.0,10800.0,0,0,A,0,0.0,17.160833333333358,0.0,0.0,10780.932407407407,0.0,0.0,856.33528925,0.0,0.0,856.33528925,0.0,856.33528925
2025-12-21,354,119,2025-12-21 20:00:00,2025-12-21 20:10:00,2025-12-21,0.0,0.0,0.0,1.3482,780.2683333333332,0.0,5589.554999111109,0,0,A,0,0.0,780.2683333333332,0.0,0.0,4722.590184296295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
