plan_day,block_index,charge_kwh,discharge_kwh
2025-03-20,0,5544.3281240153865,134.1928916666667
2025-03-20,1,1125.0986266666669,5214.823951666667
2025-03-20,2,3760.2908158715586,2777.3772166666668
2025-03-20,3,6484.423541207882,270.4194477083332
2025-03-20,4,116.69139568500614,5648.019606829011
2025-03-20,5,3638.2454333333326,3096.549878170989
2025-06-21,0,208.5259533333334,1188.190845483337
2025-06-21,1,377.4047849999999,4456.262528333333
2025-06-21,2,9817.364490061731,0.0
2025-06-21,3,0.0,0.0
2025-06-21,4,44.95781893004094,4206.322683333333
2025-06-21,5,5045.4334266666665,2192.081363333336
2025-09-23,0,6198.809187448558,129.19843333333324
2025-09-23,1,1062.288295625,6233.087957083338
2025-09-23,2,5539.269420902778,1896.6157166666662
2025-09-23,3,5491.425881620366,464.37901249999993
2025-09-23,4,149.2421183333331,5947.703603483334
2025-09-23,5,3395.2220166666666,2813.133464033337
2025-12-21,0,6055.81328163477,168.0163833333337
2025-12-21,1,1581.7420616255222,1684.1505383333326
2025-12-21,2,6463.028111666666,6435.626598333332
2025-12-21,3,5161.912009732511,2230.3386499999997
2025-12-21,4,68.06481481481529,5524.801334133331
2025-12-21,5,3843.688266666666,2901.449866666667
