month,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan,q0_kwh,qfinal_kwh,u_kwh,r_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,asset_adjusted_cost_yuan,daily_cost_p95_yuan,daily_cost_cvar95_yuan
2025-02,1172823.5319647926,13028.78764414421,0.0,1185852.3196089368,17419.62591295081,1203271.9455218876,1933438.265386119,1944891.1205771267,11452.855191007735,0.0,581332.7040513967,470224.8569168801,3243.851506758777,123147.45288270233,1202931.245224055,56372.055389141125,56460.87622690956
2025-03,1078880.3419647168,33205.59501920571,0.0,1112085.9369839225,17255.950834373543,1129341.887818296,1803126.3784257746,1833494.4942584138,30368.115832639105,0.0,581200.0754725228,470563.5071476438,2662.9606242881714,199203.22009115643,1129233.3470553842,50245.79204938881,55632.95425478932
2025-04,878731.5668084422,49287.534792239545,0.0,928019.1016006818,11768.6921837652,939787.793784447,1504026.1024732925,1555293.388480718,51267.28600742548,0.0,538070.2372871835,435789.3884785967,1750.9049315935727,237033.84560372494,939763.0707351894,43495.29326682683,46131.20243853028
2025-05,921904.9048763367,24878.755065088964,0.0,946783.6599414257,30241.60856947214,977025.2685108979,1519417.3632742288,1547443.3830652277,28026.01979099881,0.0,512833.2492935382,414586.8225713075,4860.829042284088,267247.3204186143,976604.6924858254,43133.79691729612,45892.75828131258
2025-06,1281707.8321521967,37461.154382745604,0.0,1319168.9865349422,75479.18576451864,1394648.1722994607,2018282.1567287107,2055331.9054352867,37049.74870657589,0.0,537816.4344605892,434043.0660508585,11368.883729803465,212934.25457202626,1393821.5785640571,61222.394370122885,66675.59409090824
2025-07,1482571.1616594307,39882.489099223574,0.0,1522453.6507586543,18021.932841063284,1540475.5835997176,2277326.027755694,2311373.604270601,34047.57651490723,0.0,519466.3804799007,419293.97347679525,3321.507265219152,269703.44501604827,1539708.555329645,62333.239720600424,63068.28044515732
2025-08,1218312.4307880006,32991.173567233905,0.0,1251303.6043552344,2537.7452883074675,1253841.349643542,1909832.8440197115,1948236.940995697,38404.096975985325,0.0,540847.1395182913,441304.5467482165,466.39001626166475,265047.87397521705,1255516.329171394,50562.994435870816,51927.96314621682
2025-09,1080550.0564501714,32777.687866264845,0.0,1113327.7443164364,8343.77801387734,1121671.5223303137,1717994.2703437859,1753992.23746045,35997.967116664244,0.0,532518.4221134812,432135.83429595176,1718.7891961901994,266944.5715891108,1122085.7505088476,46360.797891397255,46634.82105103301
2025-10,1077288.5001151483,18959.134663939487,0.0,1096247.6347790877,28539.42262237556,1124787.0574014632,1755414.0762410208,1776340.2021061343,20926.125865113456,0.0,583628.2563453197,472773.1199618509,4406.3664413381375,194757.8411306704,1124804.8734233424,49149.374623258074,51786.431979951216
2025-11,1216408.090729764,31409.428171108233,0.0,1247817.5189008722,7213.173313139783,1255030.6922140121,1975981.7489378366,2005753.3327378314,29771.5837999947,0.0,614000.8504482708,497599.72959558805,1179.6574509501581,102559.46135276557,1255165.5085241206,54617.17182485627,55192.22553190535
2025-12,1640537.6703076675,46587.284761235824,0.0,1687124.9550689035,1239.4362352350527,1688364.3913041383,2614294.6660681874,2655715.3412289275,41420.67516074006,0.0,696008.092027424,563618.9173296414,207.99392134310165,159497.22421915506,1688287.5543370622,66407.09950750781,66936.6931752214
