plan_day,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan,q0_kwh,qfinal_kwh,u_kwh,r_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,initial_soc_kwh,end_soc_kwh,asset_adjusted_cost_yuan,interval_count
2025-02-01,23284.283285284986,0.0,0.0,23284.283285284986,0.0,23284.283285284986,45163.39259558244,45163.39259558244,0.0,0.0,19824.02535375857,15544.326442599999,0.0,6505.517751090531,3717.3494902037037,4287.498483475305,23017.225496836567,144
2025-02-02,56243.01542461002,0.0,0.0,56243.01542461002,0.0,56243.01542461002,89291.5768882048,89291.5768882048,0.0,0.0,22529.396372887524,17442.127959230038,0.0,5848.030524547319,4287.498483475305,5183.813042151806,55823.181685325944,144
2025-02-03,55661.755446493415,0.0,0.0,55661.755446493415,0.0,55661.755446493415,88157.08978168317,88157.08978168317,0.0,0.0,22244.774923905392,18062.827504999997,0.0,3758.2258627777865,5183.813042151806,5134.302134777778,55684.94635550741,144
2025-02-04,55916.54225231742,0.0,0.0,55916.54225231742,0.0,55916.54225231742,88022.13340152653,88022.13340152653,0.0,0.0,22738.78669316873,18700.574103349994,0.0,2789.0568617078025,5134.302134777778,4820.794488240755,56063.389233955364,144
2025-02-05,56480.214006853545,1399.1220362214272,-1299.296987750043,56580.03905532493,0.0,56580.03905532493,89429.36002114686,86880.3157224158,727.3705614721414,3276.4148602031855,23055.42968992183,18803.052644366664,0.0,1879.511693527311,4820.794488240755,4678.400493207441,56646.73640259854,144
2025-02-06,56441.53844696557,410.1384486955009,-1092.039130603138,55759.63776505793,0.0,55759.63776505793,89149.01032965888,86145.74272169937,217.95809969791907,3221.2257076574333,22429.6948430317,18273.699188980114,0.0,1718.6898509811213,4678.400493207441,4561.015641958073,55814.62082938314,144
2025-02-07,21141.546771827445,0.0,-479.9691786254971,20661.57759320195,0.0,20661.57759320195,40819.1287880236,38910.91789327247,0.0,1908.2108947511324,18667.37363395605,16024.578214927777,0.0,4462.44280757753,4561.015641958073,3556.565007043213,21132.06227059607,144
2025-02-08,20546.33034613223,1268.7750335137512,-177.89226097623222,21637.213118669748,0.0,21637.213118669748,40006.057140656376,40390.41912555972,722.3078948935674,337.9459099902246,20461.406980816188,15065.853852495835,0.0,3417.703280572699,3556.565007043213,5231.993675893517,20852.442330180267,144
2025-02-09,52997.972178716256,3206.97099078169,-205.42869884458887,55999.51447065336,0.0,55999.51447065336,84505.24235408971,86621.32428870192,2819.0231209367953,702.9411863245971,22405.885934562746,17967.071078566656,0.0,2627.0934660391586,5231.993675893517,5433.878707481487,55904.951521857554,144
2025-02-10,54830.93450046042,0.0,-1662.6330443063957,53168.301456154026,0.0,53168.301456154026,87096.99798448497,81391.3163469119,0.0,5705.681637573066,19616.92616209816,16557.719493172222,0.0,4005.4720946526427,5433.878707481487,4691.646149845135,53515.96318615089,144
