month,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan,q0_kwh,qfinal_kwh,u_kwh,r_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,asset_adjusted_cost_yuan,daily_cost_p95_yuan,daily_cost_cvar95_yuan
2025-02,1172823.5319647926,27640.136216921404,-15958.314500373961,1184505.35368134,12353.548101011354,1196858.9017823515,1933438.265386119,1901808.5148847066,19512.69994448405,51142.45044589638,585200.6345044585,473357.88058386015,2499.781300472445,78585.87019791419,1196518.2014845188,56157.79009072519,56411.52723996747
2025-03,1078880.3419647168,58846.473829622424,-25130.693933204635,1112596.1218611344,3601.4633513087424,1116197.5852124433,1803126.3784257746,1767600.7170750895,46006.001339439325,81531.6626901246,590871.4836149106,478397.347742978,618.8069247866845,129427.72166127688,1116089.0444495315,50169.467698585766,51716.03883167269
2025-04,878731.5668084422,53046.04112749669,-9600.879989250432,922176.7279466885,3673.427767740588,925850.1557144291,1504026.1024732925,1520342.2366864872,53367.74974070974,37051.615527515125,539055.1281190689,436877.8536168967,594.7798168582734,201030.14300117336,925976.7277202816,43052.701442907484,45488.242994414344
2025-05,921904.9048763367,49802.98441670026,-30725.03676431145,940982.8525287255,28028.41708844646,969011.269617172,1519417.3632742288,1486277.7742986325,47025.472569464,80165.06154506025,532276.192865318,430044.9032999763,5686.064577507844,202922.08434413205,968439.3985369896,40951.10214995164,42437.35049223213
2025-06,1281707.8321521967,70646.65337956534,-37615.71034277261,1314738.7751889892,4390.723169382416,1319129.4983583717,2018282.1567287107,1956480.8284933234,54337.40751268655,116138.73574807393,569049.9239660364,459342.1925502708,761.245099216665,97541.17599344123,1318302.904622968,55272.484632118205,55725.44428843504
2025-07,1482571.1616594307,54902.07226000608,-51101.50341622637,1486371.7305032103,8075.655427355813,1494447.3859305663,2277326.027755694,2189295.8535827287,44704.079419001304,132734.25359196635,568083.7977641637,459467.9362551955,1237.9022459013324,137098.63480299537,1494093.514969476,60364.91259200207,60844.877635719546
2025-08,1218312.4307880006,37636.28855440661,-11058.220879017626,1244890.4984633895,1927.5048154360252,1246818.0032788257,1909832.8440197115,1915602.8941575903,41749.4259767916,35979.375838912776,546781.024273049,445540.15643795714,323.35880907138596,230572.52086490337,1248195.8938813226,50188.350242570305,50759.14414205033
2025-09,1080550.0564501714,44691.937719178415,-22243.16607164212,1102998.8280977078,6902.7901232988,1109901.6182210066,1717994.2703437859,1706645.8540630895,43461.28144866759,54809.69772936395,553133.3521737804,448610.90982825984,1354.322602741198,215093.86707031008,1110199.7780159132,45404.83991980339,45850.86547915751
2025-10,1077288.5001151483,36090.420316409865,-16323.845389916278,1097055.0750416417,7658.932988904007,1104714.0080305457,1755414.0762410208,1735901.1364957504,33411.949435077084,52924.88918034751,589543.540289583,477818.0233254209,1425.7002123071056,150467.72871056214,1104863.7688812104,45997.468539542155,48018.5884035607
2025-11,1216408.090729764,39507.279503431564,-10254.480069823941,1245660.8901633718,4215.875927100571,1249876.7660904722,1975981.7489378366,1977262.0751726113,35170.135297291985,33889.80906251732,615030.5725126426,498180.2810990126,734.0875915426408,73173.4633671907,1249879.6375717954,53981.11266120866,54721.27602762259
2025-12,1640537.6703076675,51479.3240312736,-17193.710784230185,1674823.283554711,4909.549550099092,1679732.83310481,2614294.6660681874,2607963.2545217946,44317.62735158332,50649.03889797637,706107.7129842911,571799.6103047037,824.1820765972651,110442.39768547137,1679655.9961377336,66035.47903624347,66402.99106228091
