month,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan,q0_kwh,qfinal_kwh,u_kwh,r_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,asset_adjusted_cost_yuan,daily_cost_p95_yuan,daily_cost_cvar95_yuan
2025-02,1172823.5319647926,0.0,0.0,1172823.5319647926,36924.24452882145,1209747.776493614,1933438.265386119,1933438.265386119,0.0,0.0,583910.6194221188,472312.96836716495,6401.48520414466,114362.4274686433,1209407.0761957814,56903.773833895844,58480.56566052186
2025-03,1078880.3419647168,0.0,0.0,1078880.3419647168,73706.65506379113,1152586.9970285078,1803126.3784257746,1803126.3784257746,0.0,0.0,582824.6664532839,472029.3872343937,11846.03893186144,177859.4716720793,1152556.502839117,56034.18400794518,65460.125158505034
2025-04,878731.5668084422,0.0,0.0,878731.5668084422,138645.0469360216,1017376.6137444639,1504026.1024732925,1504026.1024732925,0.0,0.0,535451.2584327478,433518.05421417044,21526.05656637653,205889.35582109186,1017273.8441216853,64499.856795686064,69410.55191181431
2025-05,921904.9048763367,0.0,0.0,921904.9048763367,61877.6049982178,983782.5098745546,1519417.3632742288,1519417.3632742288,0.0,0.0,516699.88411439065,417718.79677619797,9689.846212132497,243315.65718150197,983361.9338494821,45014.29659283557,45629.47479868894
2025-06,1281707.8321521967,0.0,0.0,1281707.8321521967,232238.31131093795,1513946.1434631345,2018282.1567287107,2018282.1567287107,0.0,0.0,527001.200305992,425282.72638563486,37186.62949342017,203757.14611844052,1513119.549727731,83970.25630991976,102410.10353205592
2025-07,1482571.1616594307,0.0,0.0,1482571.1616594307,108453.50786487406,1591024.6695243048,2277326.027755694,2277326.027755694,0.0,0.0,522990.54814658646,422148.54928681074,18965.893129915203,250630.66250916678,1590257.6412542323,65002.321133884936,79334.97959693795
2025-08,1218312.4307880006,0.0,0.0,1218312.4307880006,71602.86931123691,1289915.3000992374,1909832.8440197115,1909832.8440197115,0.0,0.0,538481.4561724791,439388.3432381085,11127.623270849039,237754.49008952343,1291590.2796270894,58483.276124368276,68537.41361758256
2025-09,1080550.0564501714,0.0,0.0,1080550.0564501714,57714.45257930271,1138264.509029474,1717994.2703437859,1717994.2703437859,0.0,0.0,532791.4408832155,432700.87321182847,9762.394333418795,239282.22975581765,1138857.7147801018,50745.94553664905,51256.52094971946
2025-10,1077288.5001151483,0.0,0.0,1077288.5001151483,61237.8435913255,1138526.3437064737,1755414.0762410208,1755414.0762410208,0.0,0.0,583512.879756153,472335.771212234,9585.44116950717,178688.81783327565,1138365.1821562592,51043.0623092907,56946.53714901548
2025-11,1216408.090729764,0.0,0.0,1216408.090729764,33462.855469206384,1249870.9461989705,1975981.7489378366,1975981.7489378366,0.0,0.0,623064.0515516282,505145.94726965216,5268.7179811052,75359.95465363265,1250112.4665169828,55056.55425083038,58421.43086057748
2025-12,1640537.6703076675,0.0,0.0,1640537.6703076675,86510.72829857196,1727048.3986062396,2614294.6660681874,2614294.6660681874,0.0,0.0,693588.204314685,561453.7835019781,15433.000740657579,133556.30976280526,1726864.8576312594,76492.15302929771,86941.36809727212
