variant,period,days,block_days,cash_difference_yuan,boundary_adjusted_difference_yuan,mean_difference_yuan,bootstrap_low,bootstrap_high
A,all,334,3,-479766.725531177,-479766.725531177,-1436.4273219496317,-2330.4584500840656,-744.802542392774
A,all,334,7,-479766.725531177,-479766.725531177,-1436.4273219496317,-2402.0312665183883,-690.4973303040933
A,all,334,14,-479766.725531177,-479766.725531177,-1436.4273219496317,-2431.4759108088715,-734.4044492688166
A,development,150,3,-307525.0363849983,-307525.0363849983,-2050.166909233322,-3801.745781864664,-776.9135745618731
A,development,150,7,-307525.0363849983,-307525.0363849983,-2050.166909233322,-4263.829232214804,-739.7450186027963
A,development,150,14,-307525.0363849983,-307525.0363849983,-2050.166909233322,-4189.94538703169,-830.9421279673018
A,audit,184,3,-172241.68914617866,-172241.68914617866,-936.0961366640145,-1734.070664819642,-305.44203163738325
A,audit,184,7,-172241.68914617866,-172241.68914617866,-936.0961366640145,-1699.978788280999,-212.50077302563804
A,audit,184,14,-172241.68914617866,-172241.68914617866,-936.0961366640145,-1511.1316804333928,-205.57038835708752
B,all,334,3,-599552.1824279809,-599552.1824279809,-1795.0664144550328,-2677.019771217659,-1107.5724027725823
B,all,334,7,-599552.1824279809,-599552.1824279809,-1795.0664144550328,-2765.634805700697,-1055.6560944586415
B,all,334,14,-599552.1824279809,-599552.1824279809,-1795.0664144550328,-2794.2038224414086,-1098.9583128357176
B,development,150,3,-350392.6299195073,-350392.6299195073,-2335.950866130049,-4051.9676315925685,-1055.6718307293825
B,development,150,7,-350392.6299195073,-350392.6299195073,-2335.950866130049,-4517.544381927387,-990.3274003326577
B,development,150,14,-350392.6299195073,-350392.6299195073,-2335.950866130049,-4412.164816623044,-1018.4458915831692
B,audit,184,3,-249159.55250847366,-249159.55250847363,-1354.1280027634436,-2180.442142471896,-713.6126341870203
B,audit,184,7,-249159.55250847366,-249159.55250847363,-1354.1280027634436,-2096.4169783720868,-630.1276463903166
B,audit,184,14,-249159.55250847366,-249159.55250847363,-1354.1280027634436,-1921.8183595999853,-630.9873973808322
A_6,all,334,3,-319867.0448643762,-319867.0448643762,-957.6857630669946,-1529.658083154946,-473.45532330253
A_6,all,334,7,-319867.0448643762,-319867.0448643762,-957.6857630669946,-1580.7501646691444,-466.11937299327303
A_6,all,334,14,-319867.0448643762,-319867.0448643762,-957.6857630669946,-1573.2925982320423,-483.51587623217785
A_6,development,150,3,-192681.67082962845,-192681.67082962848,-1284.5444721975232,-2339.7207958379386,-440.3121767362005
A_6,development,150,7,-192681.67082962845,-192681.67082962848,-1284.5444721975232,-2499.96294069559,-495.56663346969134
A_6,development,150,14,-192681.67082962845,-192681.67082962848,-1284.5444721975232,-2388.2368526559876,-479.38632662198165
A_6,audit,184,3,-127185.37403474774,-127185.37403474773,-691.2248588844985,-1384.1546399948927,-184.79947294801332
A_6,audit,184,7,-127185.37403474774,-127185.37403474773,-691.2248588844985,-1355.1023508744545,-137.83685237636098
A_6,audit,184,14,-127185.37403474774,-127185.37403474773,-691.2248588844985,-1333.335878778772,-124.94341719615949
A_6_12,all,334,3,-383844.5433407987,-383844.5433407987,-1149.2351597029901,-1876.4605566663054,-566.7455600834909
A_6_12,all,334,7,-383844.5433407987,-383844.5433407987,-1149.2351597029901,-1900.0000036783542,-551.1943392700347
A_6_12,all,334,14,-383844.5433407987,-383844.5433407987,-1149.2351597029901,-1923.4703017257968,-585.4248496974443
A_6_12,development,150,3,-233364.97266928558,-233364.9726692856,-1555.766484461904,-2933.742745040895,-531.8642729763887
A_6_12,development,150,7,-233364.97266928558,-233364.9726692856,-1555.766484461904,-3149.4435843955066,-565.6848215504259
A_6_12,development,150,14,-233364.97266928558,-233364.9726692856,-1555.766484461904,-3054.856791287295,-610.4555999507712
A_6_12,audit,184,3,-150479.57067151318,-150479.57067151315,-817.823753649528,-1567.8618238429556,-213.25790827174364
A_6_12,audit,184,7,-150479.57067151318,-150479.57067151315,-817.823753649528,-1582.7697633816153,-150.1851843119829
A_6_12,audit,184,14,-150479.57067151318,-150479.57067151315,-817.823753649528,-1425.1527693837434,-122.02606340338527
