natural_day,block_index,grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,cash_cost_yuan,initial_soc_kwh,end_soc_kwh
2025-01-01,0,17893.73835,4334.346049999999,1266.4887666666668,0.0,8396.200608773332,6000.0,8493.701704259256
2025-01-01,1,7896.117399999999,692.2252666666664,7125.033999833329,4554.115066833337,27074.60926002118,8493.701704259256,1200.0
2025-01-01,2,1274.5726047325156,586.4675333333332,214.79184449999988,10770.89981743415,71557.27289198032,1200.0,1489.1631750000001
2025-01-01,3,3901.465276954732,1390.5898499999994,1386.624635999999,5450.394120378601,34470.82724862541,1489.1631750000001,1200.0
2025-01-01,4,10814.4582,0.0,0.0,9827.120233333331,77305.60793308333,1200.0,1200.0
2025-01-01,5,15128.226183333332,3301.5006166666662,229.63813333333337,3991.1038,38963.53058755,1200.0,3916.1970735185178
2025-01-02,0,20634.525999999998,6330.859883333333,1302.5408666666667,0.0,9325.854511026666,3916.1970735185178,8166.703338888888
2025-01-02,1,8192.474530246915,878.5667135802474,6981.672042999999,4667.752373666668,27789.103552286044,8166.703338888888,1200.0
2025-01-02,2,1274.5726047325156,570.6800833333332,261.29100149999994,11366.077910434149,75841.04953418298,1200.0,1423.28874
2025-01-02,3,3901.465276954732,1384.7225166666663,1322.5851044999997,5650.195318545268,36565.55421294898,1423.28874,1200.0
2025-01-02,4,10814.4582,0.0,0.0,9655.337616666666,75383.25514309833,1200.0,1200.0
2025-01-02,5,15128.226183333332,3196.198233333333,191.4480666666667,4031.2402666666667,39407.18495721166,1200.0,3863.858335925925
2025-01-03,0,22066.668716666663,7706.824071193415,0.0,0.0,8496.86032995,3863.858335925925,10800.0
2025-01-03,1,20216.55604279835,417.77584362139885,338.3984333333332,0.0,13089.993247216933,10800.0,10800.0
2025-01-03,2,8033.796733333331,2654.060617283954,2149.7890999999995,0.0,4757.992224499998,10800.0,10800.0
2025-01-03,3,15621.16436172839,46.0727160493823,37.3189000000001,0.0,9514.193156013576,10800.0,10800.0
2025-01-03,4,15732.55575,0.0,2970.1446499999997,0.0,14094.391141466665,10800.0,7499.839277777779
2025-01-03,5,15649.217749999998,6556.015781893003,2340.228133333333,0.0,7750.144227939999,7499.839277777779,10800.0
