plan_day,q4_2,q4_3_A,q4_3_B,A_minus_q42_yuan,B_minus_A_yuan
2025-01-01,258014.0019592936,258014.00195929356,258014.00195929356,-2.9103830456733704e-11,0.0
2025-01-02,264835.93847168674,264298.797128138,264298.797128138,-537.1413435487193,0.0
2025-01-03,57643.84751824631,57706.12063544384,57706.12063544384,62.273117197531974,0.0
2025-01-04,54297.60577233562,54297.60577233562,54297.60577233562,0.0,0.0
2025-01-05,70745.44025116017,70744.60455907276,70744.60455907276,-0.8356920874066418,0.0
2025-01-06,92379.08333959807,92451.7424227668,92451.7424227668,72.65908316872083,0.0
2025-01-07,92142.9165389737,92201.40102656817,92201.40102656817,58.4844875944691,0.0
2025-01-08,106672.55659820512,106753.74538318989,106753.74538318989,81.18878498476988,0.0
2025-01-09,106079.65535939364,106073.86634625563,106073.86634625563,-5.789013138011796,0.0
2025-01-10,45173.24419455724,45175.83831200308,45175.83831200308,2.594117445834854,0.0
2025-01-11,45716.970470295695,45718.123331795694,45718.123331795694,1.152861499998835,0.0
2025-01-12,106220.18367525973,106212.82809243874,106212.82809243874,-7.355582820993732,0.0
2025-01-13,103711.08911905665,103713.9307309548,103713.9307309548,2.8416118981549516,0.0
2025-01-14,103751.25417419164,103746.7470382683,103746.7470382683,-4.507135923340684,0.0
2025-01-15,105038.76309196744,105027.52796079901,105027.52796079901,-11.235131168432417,0.0
2025-01-16,103357.63246843962,103368.23342378427,103368.23342378427,10.600955344649265,0.0
2025-01-17,44202.99664294086,44205.44841537003,44205.44841537003,2.4517724291727063,0.0
2025-01-18,36286.95655518834,36279.468291519726,36279.468291519726,-7.488263668616128,0.0
2025-01-19,86472.04064166096,86472.85238218567,86472.85238218567,0.8117405247030547,0.0
2025-01-20,86239.98807045973,86231.94212605222,86231.94212605222,-8.045944407509523,0.0
2025-01-21,85111.94529258694,85111.37735322652,85111.37735322652,-0.5679393604223151,0.0
2025-01-22,85740.81057033277,85725.94149277557,85725.94149277557,-14.869077557203127,0.0
2025-01-23,87665.87258789745,87665.09435145244,87665.09435145244,-0.7782364450104069,0.0
2025-01-24,24121.763586622652,24124.432193105986,24124.432193105986,2.6686064833338605,0.0
2025-01-25,22190.51975452349,22185.676966016825,22185.676966016825,-4.842788506666693,0.0
2025-01-26,76959.04484170552,76951.53682910676,76951.53682910676,-7.508012598758796,0.0
2025-01-27,69616.88058020428,69616.09828207773,69616.09828207773,-0.7822981265489943,0.0
2025-01-28,68413.51214613688,68410.67767175063,68410.67767175063,-2.834474386254442,0.0
2025-01-29,66484.34711962503,66485.3694798742,66485.3694798742,1.022360249175108,0.0
2025-01-30,65912.3224874282,65912.3224874282,65912.3224874282,0.0,0.0
2025-01-31,23187.369072052476,23180.801794852476,23180.801794852476,-6.567277199999808,0.0
2025-02-01,19584.364681679646,19583.860281146313,19583.860281146313,-0.5044005333329551,0.0
2025-02-02,59207.04643664654,59197.079429033205,59197.079429033205,-9.967007613333408,0.0
2025-02-03,62432.442810927896,62418.03929097419,62418.03929097419,-14.403519953702926,0.0
