plan_day,cash_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_supply_kwh,end_soc_kwh,daily_cvar95_yuan
2025-02,1269038.1733020225,1238773.046958428,30265.126343594315,5386.720109608906,104062.00603398008,9982.669966629857,63955.10551235745
2025-03,1145136.508863584,1076004.861121045,69131.64774253905,11631.143241622118,168096.52450048775,5607.5506350000005,65757.06169588384
2025-04,992325.4951827995,864803.4326394242,127522.06254337536,20568.667416140357,213520.7931188283,8238.546252185182,69679.08846855964
2025-05,967048.463589865,909191.4146737405,57857.04891612455,9877.428555294438,244439.86659811766,10707.299074074073,45529.451005863055
2025-06,1586982.344637585,1367663.0445903607,219319.30004722433,34654.30041152084,184004.09376039912,5528.797301370374,106379.35897962077
2025-07,1860252.59386737,1697878.9257093766,162373.66815799344,25391.964516176486,274478.57065280003,6576.513258777405,106674.1919500651
2025-08,1449068.0014268444,1359473.2582745196,89594.74315232468,11785.08808545715,249864.95874871736,2788.183312407409,78933.30688808102
2025-09,1142511.7597461448,1092733.4371410103,49778.32260513443,8755.905095851616,240558.64743980093,3327.853083240741,53050.501294309564
2025-10,1133849.7454970602,1078295.4295127152,55554.31598434508,9095.72737717136,179545.25287726923,7805.144107157596,57845.29073798597
2025-11,1300175.973840401,1271543.5062778385,28632.467562562586,4777.688414181122,65321.027454513314,7361.25810962963,62959.36754797312
2025-12,1965991.8677424765,1868646.8434258339,97345.0243166427,14453.380027124813,124478.7421384875,7174.897846148145,105370.9738136869
