plan_day,time_index,issue_time,interval_start,interval_end,price_source_completed_at,price_model_id,selected_candidate,forecast_model_id,time_mapping,battery_interpretation,settlement_rule,residual_history_cutoff,planned_initial_energy_kwh,executed_initial_energy_kwh,planned_initial_source,load_actual_kw,pv_actual_kw,planned_grid_kwh,final_grid_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,actual_soc_before_kwh,actual_soc_after_kwh,price_forecast_yuan_per_kwh,price_actual_yuan_per_kwh,base_cost_yuan,up_cost_yuan,down_cost_yuan,emergency_cost_yuan,ordinary_cost_yuan,cash_cost_yuan,load_forecast_kw,pv_forecast_kw,natural_day,block_index
2025-02-09,123,2025-02-09T00:00:00,2025-02-09 20:40:00,2025-02-09 20:50:00,2025-02-02 20:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-09T00:00:00,10120.572259740286,10158.339259740285,previous_confirmed_final_slot_and_issued_load_pv_forecast,4183.0157,0.0,0.0,0.0,0.0,0.0,0.0,352.1011151468635,345.0681681864698,0.0,1591.2234612742927,1200.0,1.2676,1.325,0.0,0.0,0.0,2286.0766142353623,0.0,2286.0766142353623,4370.44625,0.0,2025-02-09,5
2025-02-09,125,2025-02-09T00:00:00,2025-02-09 21:00:00,2025-02-09 21:10:00,2025-02-02 21:10:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-09T00:00:00,10120.572259740286,10158.339259740285,previous_confirmed_final_slot_and_issued_load_pv_forecast,4357.82,0.0,712.1958333333332,712.1958333333332,0.0,0.0,0.0,11.693463749999978,2.4140362500000947,0.0,1212.9927375,1200.0,0.9655,0.9301,662.4133445833332,0.0,0.0,11.22647558062544,662.4133445833332,673.6398201639587,4270.375,0.0,2025-02-09,5
2025-02-15,124,2025-02-15T00:00:00,2025-02-15 20:50:00,2025-02-15 21:00:00,2025-02-08 21:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-15T00:00:00,10093.6426545,10086.8349045,previous_confirmed_final_slot_and_issued_load_pv_forecast,2729.8125,0.0,0.0,0.0,0.0,0.0,0.0,372.9362434166646,82.03250658333542,0.0,1614.373603796294,1200.0,0.9926,1.0091,0.0,0.0,0.0,413.8950119662189,0.0,413.8950119662189,2793.3567000000003,0.0,2025-02-15,5
2025-02-15,126,2025-02-15T00:00:00,2025-02-15 21:10:00,2025-02-15 21:20:00,2025-02-08 21:20:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-15T00:00:00,10093.6426545,10086.8349045,previous_confirmed_final_slot_and_issued_load_pv_forecast,2954.8205,0.0,465.6507083333334,465.6507083333334,0.0,0.0,0.0,9.43514999999984,17.384225000000026,0.0,1210.4834999999998,1200.0,0.7109,0.7823,364.2785491291667,0.0,0.0,67.9983960875001,364.2785491291667,432.27694521666683,2745.2622,0.0,2025-02-15,5
2025-02-15,127,2025-02-15T00:00:00,2025-02-15 21:20:00,2025-02-15 21:30:00,2025-02-08 21:30:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-15T00:00:00,10093.6426545,10086.8349045,previous_confirmed_final_slot_and_issued_load_pv_forecast,2969.259,0.0,466.5347999999999,466.5347999999999,0.0,0.0,0.0,0.0,28.34170000000006,0.0,1200.0,1200.0,0.7719,0.8162,380.78570375999993,0.0,0.0,115.66247770000025,380.78570375999993,496.44818146000017,2846.3602499999997,0.0,2025-02-15,5
2025-02-15,128,2025-02-15T00:00:00,2025-02-15 21:30:00,2025-02-15 21:40:00,2025-02-08 21:40:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-15T00:00:00,10093.6426545,10086.8349045,previous_confirmed_final_slot_and_issued_load_pv_forecast,2849.49,0.0,471.0866666666666,471.0866666666666,0.0,0.0,0.0,0.0,3.8283333333333758,0.0,1200.0,1200.0,0.7782,0.7912,372.7237706666666,0.0,0.0,15.144886666666835,372.7237706666666,387.86865733333343,2825.59,0.0,2025-02-15,5
2025-02-15,129,2025-02-15T00:00:00,2025-02-15 21:40:00,2025-02-15 21:50:00,2025-02-08 21:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-15T00:00:00,10093.6426545,10086.8349045,previous_confirmed_final_slot_and_issued_load_pv_forecast,2912.6371,0.0,446.64492991666674,446.64492991666674,0.0,0.0,0.0,0.0,38.794586749999894,0.0,1200.0,1200.0,0.8545,0.8341,372.5465360434917,0.0,0.0,161.79282404087454,372.5465360434917,534.3393600843663,2850.1026,0.0,2025-02-15,5
2025-02-15,130,2025-02-15T00:00:00,2025-02-15 21:50:00,2025-02-15 22:00:00,2025-02-08 22:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-15T00:00:00,10093.6426545,10086.8349045,previous_confirmed_final_slot_and_issued_load_pv_forecast,2666.057,0.0,410.8164749999999,410.8164749999999,0.0,0.0,0.0,0.0,33.52635833333335,0.0,1200.0,1200.0,0.6551,0.6339,260.41656350249997,0.0,0.0,106.26179273750006,260.41656350249997,366.67835624,2640.2117,0.0,2025-02-15,5
2025-02-16,63,2025-02-16T00:00:00,2025-02-16 10:40:00,2025-02-16 10:50:00,2025-02-09 10:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-16T00:00:00,9825.77983953704,9835.08808953704,previous_confirmed_final_slot_and_issued_load_pv_forecast,6726.3025,5793.3004,0.0,0.0,0.0,0.0,0.0,78.34337936733326,77.15697063266654,0.0,1287.048199297037,1200.0,1.0991,1.0734,0.0,0.0,0.0,414.10146138552125,0.0,414.10146138552125,6723.1981,6445.55108,2025-02-16,2
2025-02-16,64,2025-02-16T00:00:00,2025-02-16 10:50:00,2025-02-16 11:00:00,2025-02-09 11:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-16T00:00:00,9825.77983953704,9835.08808953704,previous_confirmed_final_slot_and_issued_load_pv_forecast,6684.3033,5897.9189,28.445933333333414,28.445933333333414,0.0,0.0,0.0,0.0,102.61813333333328,0.0,1200.0,1200.0,0.989,0.9368,26.648150346666743,0.0,0.0,480.6633365333331,26.648150346666743,507.31148687999985,6822.060299999999,6609.07742,2025-02-16,2
