plan_day,cash_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_supply_kwh,end_soc_kwh
2025-02-01,19583.860281146313,19583.860281146313,0.0,0.0,8204.698307283947,10763.422721872588
2025-02-02,59197.079429033205,59197.079429033205,0.0,0.0,4947.972713813952,5795.003375925927
2025-02-03,62418.03929097419,62418.03929097419,0.0,0.0,3334.9885770164647,5331.946156899076
2025-02-04,63144.45657554315,63144.45657554315,0.0,0.0,2703.6777413168747,5228.991917666665
2025-02-05,63916.1684030913,63916.1684030913,0.0,0.0,4186.895069733944,5498.736041666668
2025-02-06,63979.58898440136,63979.58898440136,0.0,0.0,4596.328630774023,5776.704366809864
2025-02-07,19079.611564581723,19079.611564581723,0.0,0.0,5914.350707065017,10356.503049074074
2025-02-08,16041.587925444703,16041.587925444703,0.0,0.0,3289.996981666667,10158.339259740285
2025-02-09,61039.1117327368,61039.1117327368,0.0,0.0,1927.0232799556163,7763.923300629546
2025-02-10,59483.53145440096,59483.53145440096,0.0,0.0,6704.463491358138,8177.350750629633
2025-02-11,56885.202919718606,56885.202919718606,0.0,0.0,4689.658991419738,4851.8153524259205
2025-02-12,59352.14530689408,59352.14530689408,0.0,0.0,2974.169271471187,8521.125790592598
2025-02-13,57671.72986144399,57671.72986144399,0.0,0.0,7258.237282674899,9688.386625356487
2025-02-14,15516.460053784302,15516.460053784302,0.0,0.0,3220.5430436213887,10086.8349045
2025-02-15,16001.19492066237,16001.19492066237,0.0,0.0,3081.53188627058,10189.697498998461
2025-02-16,55238.719927078724,54408.23575050293,830.4841765757991,167.79809235000295,26.26556833333325,7493.316869224537
2025-02-17,53915.26569196494,53915.26569196494,0.0,0.0,4496.361242222211,7397.918388767719
2025-02-18,52717.53077694589,52717.53077694589,0.0,0.0,2837.6189743209957,5759.306467602621
2025-02-19,57578.7499270255,53022.00687952733,4556.743047498169,872.415101402926,1940.1337647564626,5318.367927222222
2025-02-20,53430.36753314676,53384.34945472926,46.01807841749935,8.202134999999885,3066.5854423945366,5593.562652037036
2025-02-21,16917.398459532997,16917.398459532997,0.0,0.0,5796.182143120712,10138.719884185191
2025-02-22,15822.972700917771,15789.4895075709,33.483193346873094,6.9194447916662725,3591.1344519391314,10340.837226959775
2025-02-23,50512.30075405967,50512.30075405967,0.0,0.0,1666.312608796282,6650.888296580254
2025-02-24,51921.67125257436,51790.094661622694,131.57659095166593,25.751363333333188,5269.6888455380595,6304.864970648238
2025-02-25,49796.95564727346,49673.92640102347,123.02924624999923,23.784999999999854,5462.5356667250535,7242.736854633088
2025-02-26,48552.088985649876,48552.088985649876,0.0,0.0,1000.8540185862437,5534.84345680314
2025-02-27,52212.66408595206,47899.31298355696,4313.351102395098,816.5194569727125,1644.749164691049,9629.087030987856
2025-02-28,13853.840626606818,13853.840626606818,0.0,0.0,6636.520901944446,9982.669966629857
2025-03-01,14447.361527029874,14447.361527029874,0.0,0.0,6505.567522734061,10277.866109145834
2025-03-02,55022.41076805136,55022.41076805136,0.0,0.0,2884.195232743472,7154.440844550926
2025-03-03,51053.714006239126,51053.714006239126,0.0,0.0,277.2865826771912,6321.797431162809
2025-03-04,52783.857347465426,52783.857347465426,0.0,0.0,5582.557292551452,5967.200117546025
2025-03-05,52029.0768730285,52029.0768730285,0.0,0.0,8598.665753505962,7783.808814830363
2025-03-06,49694.84008433921,49694.84008433921,0.0,0.0,5081.743881594432,9928.362383870382
2025-03-07,14040.504600525233,14040.504600525233,0.0,0.0,8864.641675905348,10799.294928739197
2025-03-08,12953.253431706755,12953.253431706755,0.0,0.0,9671.613802101849,10288.669751833331
2025-03-09,45389.078441616984,45389.078441616984,0.0,0.0,5344.730955166541,7830.5200645668365
2025-03-10,47368.86346114746,47368.86346114746,0.0,0.0,30.522653880047415,7129.921873526478
2025-03-11,49532.51651207015,49532.51651207015,0.0,0.0,5241.873200318938,10018.905225129629
2025-03-12,44810.72972806111,44810.72972806111,0.0,0.0,6799.212940573022,6431.827650199811
2025-03-13,49914.78776027919,49914.78776027919,0.0,0.0,2322.429166664948,6260.049156918383
2025-03-14,14301.255800589734,14301.255800589734,0.0,0.0,11447.231361479331,10800.0
2025-03-15,13268.981961585749,12987.247310292032,281.7346512937172,89.14742868055619,7078.013201331734,9876.085326166112
2025-03-16,45479.450002438476,45471.36890243847,8.081099999999934,1.6399999999999864,3556.085921810704,8151.958886269259
2025-03-17,42256.465833888935,42256.465833888935,0.0,0.0,8052.255445788764,5158.182938240743
2025-03-18,45315.05452169523,45315.05452169523,0.0,0.0,3100.980604367268,9667.057345185187
2025-03-19,39759.18810449299,39759.18810449299,0.0,0.0,3378.1370961657026,5630.6210620925885
2025-03-20,44090.61268611478,44090.61268611478,0.0,0.0,731.0455482115958,7180.76168374163
2025-03-21,14069.100089665335,14069.100089665335,0.0,0.0,15050.699017027877,10422.82825977778
2025-03-22,12988.97855499008,12988.97855499008,0.0,0.0,11006.31666580394,10616.652837074078
2025-03-23,42305.923885552416,42305.923885552416,0.0,0.0,5829.665076178832,6831.858148526233
2025-03-24,42560.49619519008,42560.49619519008,0.0,0.0,5088.838758575615,7524.009425930977
2025-03-25,41420.14112716691,41420.14112716691,0.0,0.0,1038.8439744675902,6769.481073722221
2025-03-26,40383.0101133382,40383.0101133382,0.0,0.0,4633.047521547497,7369.0135456481485
2025-03-27,40964.36554386635,40964.36554386635,0.0,0.0,2610.5384997436613,8285.414770166673
2025-03-28,12504.14745627255,12504.14745627255,0.0,0.0,14852.005419693793,10508.674456666668
2025-03-29,12591.957609393248,12591.957609393248,0.0,0.0,18697.77425668725,10800.0
2025-03-30,37044.1036893987,37044.1036893987,0.0,0.0,3786.2465670319198,8200.95751814815
2025-03-31,38348.85533811129,38348.85533811129,0.0,0.0,2140.1474236256913,6015.809501240744
2025-04-01,45262.407179932874,45262.407179932874,0.0,0.0,4840.385853181582,3785.147108179626
2025-04-02,51265.62412352792,50897.467243499974,368.1568800279483,57.565233195471365,6237.021644351231,8355.524066296297
2025-04-03,40062.76136426681,40062.76136426681,0.0,0.0,6320.959835025075,7390.473150450408
2025-04-04,12403.245267283,12403.245267283,0.0,0.0,19208.832037491746,10800.0
2025-04-05,11433.008413589416,11433.008413589416,0.0,0.0,13584.674364053295,10143.509353407408
2025-04-06,38849.64103947216,38849.64103947216,0.0,0.0,5780.733069247605,9227.33129789223
2025-04-07,35731.28063642888,35731.28063642888,0.0,0.0,3728.8085507510364,6783.88291537037
2025-04-08,37615.179606343154,37615.179606343154,0.0,0.0,1992.9345166616313,6905.768999484568
2025-04-09,41435.118862750176,41435.118862750176,0.0,0.0,2184.6742432261663,7877.867256106775
