plan_day,cash_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_supply_kwh,end_soc_kwh,daily_cvar95_yuan
2025-02,1265780.2950725858,1255745.6096371508,10034.685435435103,1921.3905938506405,110469.47876881095,9982.669966629857,63947.87869374633
2025-03,1118693.0830553113,1118403.2673040177,289.81575129371714,90.78742868055618,189282.91301995603,6015.809501240744,53903.13405775839
2025-04,918231.2192272849,917370.937110625,860.2821166599124,135.62348610396862,241913.00578513704,8238.546252185182,48264.0156517304
2025-05,947161.2875988737,936325.069852866,10836.21774600774,1844.9989696409798,262188.29933352425,10707.299074074073,42235.49882724634
2025-06,1432128.3418140044,1430504.7733266708,1623.5684873336436,272.2688687249998,191613.48531495142,5528.797301370374,62905.73394388413
2025-07,1760503.7499468592,1751445.0236823952,9058.726264464132,3279.928553427776,290232.25294821715,6576.513258777405,73254.3044505498
2025-08,1400097.1866155502,1397203.403465152,2893.7831503980706,382.8775431333315,273085.5639219886,2788.183312407409,59932.925066678145
2025-09,1133894.2048167654,1127732.6706552445,6161.534161520788,1487.0080681027684,261836.31899060885,3753.417723539628,47826.5211864516
2025-10,1110817.9096961853,1105841.9606226913,4975.949073493884,965.8675436072795,192715.19062096055,7805.144107157596,51145.67323421413
2025-11,1310055.7147693816,1308701.770876514,1353.9438928676511,296.44090723315566,91345.54774158873,7699.390652355513,61288.661161343465
2025-12,1929827.2105660446,1929083.44072363,743.7698424147862,103.08213645833257,146528.74632527356,7174.897846148145,81897.79235535387
