plan_day,time_index,issue_time,interval_start,interval_end,price_source_completed_at,price_model_id,selected_candidate,forecast_model_id,time_mapping,battery_interpretation,settlement_rule,residual_history_cutoff,planned_initial_energy_kwh,executed_initial_energy_kwh,planned_initial_source,load_actual_kw,pv_actual_kw,planned_grid_kwh,final_grid_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,actual_soc_before_kwh,actual_soc_after_kwh,price_forecast_yuan_per_kwh,price_actual_yuan_per_kwh,base_cost_yuan,up_cost_yuan,down_cost_yuan,emergency_cost_yuan,ordinary_cost_yuan,cash_cost_yuan,confirmation_count,load_forecast_kw,pv_forecast_kw,release_used,natural_day,block_index
2025-02-16,63,2025-02-16T00:00:00,2025-02-16 10:40:00,2025-02-16 10:50:00,2025-02-09 10:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-16T00:00:00,10174.368098998462,10189.697498998461,previous_confirmed_final_slot_and_issued_load_pv_forecast,6726.3025,5793.3004,0.0,0.0,0.0,0.0,0.0,90.32039098333014,65.17995901666966,0.0,1300.355989981478,1200.0,1.0991,1.0734,0.0,0.0,0.0,349.820840042466,0.0,349.820840042466,1,6723.1981,6445.55108,6,2025-02-16,2
2025-02-16,64,2025-02-16T00:00:00,2025-02-16 10:50:00,2025-02-16 11:00:00,2025-02-09 11:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-16T00:00:00,10174.368098998462,10189.697498998461,previous_confirmed_final_slot_and_issued_load_pv_forecast,6684.3033,5897.9189,28.445933333333414,28.445933333333414,0.0,0.0,0.0,0.0,102.61813333333328,0.0,1200.0,1200.0,0.989,0.9368,26.648150346666743,0.0,0.0,480.6633365333331,26.648150346666743,507.31148687999985,1,6822.060299999999,6609.07742,6,2025-02-16,2
2025-02-19,57,2025-02-19T00:00:00,2025-02-19 09:40:00,2025-02-19 09:50:00,2025-02-12 09:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-19T00:00:00,5741.9578276026205,5759.306467602621,previous_confirmed_final_slot_and_issued_load_pv_forecast,6819.4961,5354.1142,0.0,0.0,0.0,0.0,0.0,91.23524570694651,152.99507095972018,0.0,1301.3724952299406,1200.0,1.0871,1.1442,0.0,0.0,0.0,875.2848009605592,0.0,875.2848009605592,1,6981.98465,5462.8774,6,2025-02-19,2
2025-02-19,58,2025-02-19T00:00:00,2025-02-19 09:50:00,2025-02-19 10:00:00,2025-02-12 10:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-19T00:00:00,5741.9578276026205,5759.306467602621,previous_confirmed_final_slot_and_issued_load_pv_forecast,6912.8547,5543.3391,0.0,0.0,0.0,0.0,0.0,0.0,228.2525999999998,0.0,1200.0,1200.0,1.0729,1.1073,0.0,0.0,0.0,1263.7205198999989,0.0,1263.7205198999989,1,6882.6282,5702.84538,6,2025-02-19,2
2025-02-19,59,2025-02-19T00:00:00,2025-02-19 10:00:00,2025-02-19 10:10:00,2025-02-12 10:10:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-19T00:00:00,5741.9578276026205,5759.306467602621,previous_confirmed_final_slot_and_issued_load_pv_forecast,6984.25,5714.25,0.0,0.0,0.0,0.0,0.0,0.0,211.66666666666652,0.0,1200.0,1200.0,1.0777,1.0261,0.0,0.0,0.0,1085.9558333333325,0.0,1085.9558333333325,1,6786.754999999999,5844.6675000000005,6,2025-02-19,2
2025-02-19,60,2025-02-19T00:00:00,2025-02-19 10:10:00,2025-02-19 10:20:00,2025-02-12 10:20:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-19T00:00:00,5741.9578276026205,5759.306467602621,previous_confirmed_final_slot_and_issued_load_pv_forecast,6725.6262,6010.8518,0.0,0.0,0.0,0.0,0.0,0.0,119.12906666666663,0.0,1200.0,1200.0,1.1138,1.001,0.0,0.0,0.0,596.2409786666664,0.0,596.2409786666664,1,6809.59145,5968.072859999999,6,2025-02-19,2
2025-02-19,61,2025-02-19T00:00:00,2025-02-19 10:20:00,2025-02-19 10:30:00,2025-02-12 10:30:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-19T00:00:00,5741.9578276026205,5759.306467602621,previous_confirmed_final_slot_and_issued_load_pv_forecast,6703.7161,6347.6532,0.0,0.0,0.0,0.0,0.0,0.0,59.3438166666665,0.0,1200.0,1200.0,1.0824,0.9849,0.0,0.0,0.0,292.2386251749992,0.0,292.2386251749992,1,6845.71605,6097.39176,6,2025-02-19,2
2025-02-19,62,2025-02-19T00:00:00,2025-02-19 10:30:00,2025-02-19 10:40:00,2025-02-12 10:40:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-19T00:00:00,5741.9578276026205,5759.306467602621,previous_confirmed_final_slot_and_issued_load_pv_forecast,6925.07,6609.7875,0.0,0.0,0.0,0.0,0.0,0.0,52.547083333333376,0.0,1200.0,1200.0,1.0267,0.9853,0.0,0.0,0.0,258.8732060416669,0.0,258.8732060416669,1,6829.475,6202.4475,6,2025-02-19,2
2025-02-19,63,2025-02-19T00:00:00,2025-02-19 10:40:00,2025-02-19 10:50:00,2025-02-12 10:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-19T00:00:00,5741.9578276026205,5759.306467602621,previous_confirmed_final_slot_and_issued_load_pv_forecast,6823.936,6747.8572,0.0,0.0,0.0,0.0,0.0,0.0,12.679799999999886,0.0,1200.0,1200.0,1.0581,1.0306,0.0,0.0,0.0,65.33900939999941,0.0,65.33900939999941,1,6787.4349,6252.25416,6,2025-02-19,2
2025-02-19,130,2025-02-19T00:00:00,2025-02-19 21:50:00,2025-02-19 22:00:00,2025-02-12 22:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.05,Q2V2-SW2-REC5,A,A,A,2025-02-19T00:00:00,5741.9578276026205,5759.306467602621,previous_confirmed_final_slot_and_issued_load_pv_forecast,4144.8396,0.0,665.037375,665.037375,0.0,0.0,0.0,3.713544556793522,22.055680443206484,0.0,1204.1261606186595,1200.0,0.815,0.7984,530.9658402,0.0,0.0,88.04627632928029,530.9658402,619.0121165292803,1,4015.82245,0.0,18,2025-02-19,5
