day_index,release_hour,time_index,issue_time,source_completed_at,price_forecast_yuan_per_kwh,price_model_id
31,6,35,2025-02-01 06:00:00,2025-01-25 06:10:00,0.8628,PRICE-LAG7-COMPLETED
31,6,36,2025-02-01 06:00:00,2025-01-25 06:20:00,0.9186,PRICE-LAG7-COMPLETED
31,6,37,2025-02-01 06:00:00,2025-01-25 06:30:00,0.8652,PRICE-LAG7-COMPLETED
31,6,38,2025-02-01 06:00:00,2025-01-25 06:40:00,0.827,PRICE-LAG7-COMPLETED
31,6,39,2025-02-01 06:00:00,2025-01-25 06:50:00,0.8144,PRICE-LAG7-COMPLETED
31,6,40,2025-02-01 06:00:00,2025-01-25 07:00:00,0.847,PRICE-LAG7-COMPLETED
31,6,41,2025-02-01 06:00:00,2025-01-25 07:10:00,0.8765,PRICE-LAG7-COMPLETED
31,6,42,2025-02-01 06:00:00,2025-01-25 07:20:00,0.8308,PRICE-LAG7-COMPLETED
31,6,43,2025-02-01 06:00:00,2025-01-25 07:30:00,0.8187,PRICE-LAG7-COMPLETED
31,6,44,2025-02-01 06:00:00,2025-01-25 07:40:00,0.8326,PRICE-LAG7-COMPLETED
31,6,45,2025-02-01 06:00:00,2025-01-25 07:50:00,0.7834,PRICE-LAG7-COMPLETED
31,6,46,2025-02-01 06:00:00,2025-01-25 08:00:00,0.8891,PRICE-LAG7-COMPLETED
31,6,47,2025-02-01 06:00:00,2025-01-25 08:10:00,1.0877,PRICE-LAG7-COMPLETED
31,6,48,2025-02-01 06:00:00,2025-01-25 08:20:00,1.0753,PRICE-LAG7-COMPLETED
31,6,49,2025-02-01 06:00:00,2025-01-25 08:30:00,1.008,PRICE-LAG7-COMPLETED
31,6,50,2025-02-01 06:00:00,2025-01-25 08:40:00,0.9948,PRICE-LAG7-COMPLETED
31,6,51,2025-02-01 06:00:00,2025-01-25 08:50:00,0.9864,PRICE-LAG7-COMPLETED
31,6,52,2025-02-01 06:00:00,2025-01-25 09:00:00,0.9659,PRICE-LAG7-COMPLETED
31,6,53,2025-02-01 06:00:00,2025-01-25 09:10:00,0.9624,PRICE-LAG7-COMPLETED
31,6,54,2025-02-01 06:00:00,2025-01-25 09:20:00,1.0042,PRICE-LAG7-COMPLETED
31,6,55,2025-02-01 06:00:00,2025-01-25 09:30:00,0.9788,PRICE-LAG7-COMPLETED
31,6,56,2025-02-01 06:00:00,2025-01-25 09:40:00,0.8845,PRICE-LAG7-COMPLETED
31,6,57,2025-02-01 06:00:00,2025-01-25 09:50:00,0.8496,PRICE-LAG7-COMPLETED
31,6,58,2025-02-01 06:00:00,2025-01-25 10:00:00,0.9332,PRICE-LAG7-COMPLETED
31,6,59,2025-02-01 06:00:00,2025-01-25 10:10:00,1.0579,PRICE-LAG7-COMPLETED
31,6,60,2025-02-01 06:00:00,2025-01-25 10:20:00,1.0779,PRICE-LAG7-COMPLETED
31,6,61,2025-02-01 06:00:00,2025-01-25 10:30:00,1.0419,PRICE-LAG7-COMPLETED
31,6,62,2025-02-01 06:00:00,2025-01-25 10:40:00,1.0423,PRICE-LAG7-COMPLETED
31,6,63,2025-02-01 06:00:00,2025-01-25 10:50:00,1.0756,PRICE-LAG7-COMPLETED
31,6,64,2025-02-01 06:00:00,2025-01-25 11:00:00,0.8057,PRICE-LAG7-COMPLETED
31,6,65,2025-02-01 06:00:00,2025-01-25 11:10:00,0.3884,PRICE-LAG7-COMPLETED
31,6,66,2025-02-01 06:00:00,2025-01-25 11:20:00,0.35,PRICE-LAG7-COMPLETED
