plan_day,time_index,issue_time,interval_start,interval_end,price_source_completed_at,price_model_id,selected_candidate,forecast_model_id,time_mapping,battery_interpretation,settlement_rule,residual_history_cutoff,planned_initial_energy_kwh,executed_initial_energy_kwh,planned_initial_source,load_actual_kw,pv_actual_kw,planned_grid_kwh,final_grid_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,actual_soc_before_kwh,actual_soc_after_kwh,price_forecast_yuan_per_kwh,price_actual_yuan_per_kwh,base_cost_yuan,up_cost_yuan,down_cost_yuan,emergency_cost_yuan,ordinary_cost_yuan,cash_cost_yuan,confirmation_count,load_forecast_kw,pv_forecast_kw,release_used
2025-03-20,0,2025-03-20T00:00:00,2025-03-20 00:10:00,2025-03-20 00:20:00,2025-03-13 00:20:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3299.0689,0.0,599.071825,599.071825,0.0,0.0,49.22700833333329,0.0,0.0,0.0,5630.6210620925885,5674.925369592588,0.4376,0.4487,268.80352787749996,0.0,-0.0,0.0,268.80352787749996,268.80352787749996,0,3509.4078,0.0,0
2025-03-20,1,2025-03-20T00:00:00,2025-03-20 00:20:00,2025-03-20 00:30:00,2025-03-13 00:30:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3421.881,0.0,600.2197916666667,600.2197916666667,0.0,0.0,29.906291666666675,0.0,0.0,0.0,5674.925369592588,5701.841032092588,0.4576,0.4373,262.47611489583335,0.0,-0.0,0.0,262.47611489583335,262.47611489583335,0,3483.82755,0.0,0
2025-03-20,2,2025-03-20T00:00:00,2025-03-20 00:30:00,2025-03-20 00:40:00,2025-03-13 00:40:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3683.11,0.0,586.6341666666667,586.6341666666667,0.0,0.0,0.0,27.217499999999973,0.0,0.0,5701.841032092588,5671.599365425921,0.4673,0.4311,252.89798925000002,0.0,-0.0,0.0,252.89798925000002,252.89798925000002,0,3505.52,0.0,0
2025-03-20,3,2025-03-20T00:00:00,2025-03-20 00:40:00,2025-03-20 00:50:00,2025-03-13 00:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3476.737,0.0,575.7253666666667,575.7253666666667,0.0,0.0,0.0,3.730799999999931,0.0,0.0,5671.599365425921,5667.454032092588,0.4657,0.4344,250.09509928,0.0,-0.0,0.0,250.09509928,250.09509928,0,3515.11515,0.0,0
2025-03-20,4,2025-03-20T00:00:00,2025-03-20 00:50:00,2025-03-20 01:00:00,2025-03-13 01:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3302.6695,0.0,570.6444166666666,570.6444166666666,0.0,0.0,20.199500000000057,0.0,0.0,0.0,5667.454032092588,5685.633582092588,0.4651,0.4238,241.83910378333334,0.0,-0.0,0.0,241.83910378333334,241.83910378333334,0,3486.36705,0.0,0
2025-03-20,5,2025-03-20T00:00:00,2025-03-20 01:00:00,2025-03-20 01:10:00,2025-03-13 01:10:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3426.94,0.0,570.4641666666665,570.4641666666665,0.0,0.0,0.0,0.6925000000001091,0.0,0.0,5685.633582092588,5684.864137648144,0.452,0.4296,245.07140599999994,0.0,-0.0,0.0,245.07140599999994,245.07140599999994,0,3449.965,0.0,0
2025-03-20,6,2025-03-20T00:00:00,2025-03-20 01:10:00,2025-03-20 01:20:00,2025-03-13 01:20:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3609.5343,0.0,1377.0195916666664,1377.0195916666664,0.0,0.0,775.4305416666665,0.0,0.0,0.0,5684.864137648144,6382.751625148144,0.4051,0.4989,686.9950742824999,0.0,-0.0,0.0,686.9950742824999,686.9950742824999,0,3449.5696,0.0,0
2025-03-20,7,2025-03-20T00:00:00,2025-03-20 01:20:00,2025-03-20 01:30:00,2025-03-13 01:30:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3668.9025,0.0,1370.233025,1370.233025,0.0,0.0,758.749275,0.0,0.0,0.0,6382.751625148144,7065.625972648144,0.3862,0.5083,696.4894466075,0.0,-0.0,0.0,696.4894466075,696.4894466075,0,3399.09245,0.0,0
2025-03-20,8,2025-03-20T00:00:00,2025-03-20 01:30:00,2025-03-20 01:40:00,2025-03-13 01:40:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3589.3,0.0,572.9225000000001,572.9225000000001,0.0,0.0,0.0,25.29416666666657,0.0,0.0,7065.625972648144,7037.521343018514,0.406,0.4468,255.98177300000003,0.0,-0.0,0.0,255.98177300000003,255.98177300000003,0,3333.25,0.0,0
2025-03-20,9,2025-03-20T00:00:00,2025-03-20 01:40:00,2025-03-20 01:50:00,2025-03-13 01:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3503.6157,0.0,602.5348583333331,602.5348583333331,0.0,0.0,18.598908333333156,0.0,0.0,0.0,7037.521343018514,7054.260360518514,0.4177,0.4284,258.1259333099999,0.0,-0.0,0.0,258.1259333099999,258.1259333099999,0,3391.8701499999997,0.0,0
2025-03-20,10,2025-03-20T00:00:00,2025-03-20 01:50:00,2025-03-20 02:00:00,2025-03-13 02:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3545.9703,0.0,602.7612666666665,602.7612666666665,0.0,0.0,11.766216666666537,0.0,0.0,0.0,7054.260360518514,7064.8499555185135,0.4309,0.4436,267.3848978933333,0.0,-0.0,0.0,267.3848978933333,267.3848978933333,0,3519.48215,0.0,0
2025-03-20,11,2025-03-20T00:00:00,2025-03-20 02:00:00,2025-03-20 02:10:00,2025-03-13 02:10:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,B,2025-03-20T00:00:00,5612.402973342589,5630.6210620925885,previous_confirmed_final_slot_and_issued_load_pv_forecast,3590.66,0.0,634.0591666666666,634.0591666666666,0.0,0.0,35.615833333333285,0.0,0.0,0.0,7064.8499555185135,7096.904205518514,0.4209,0.454,287.8628616666666,0.0,-0.0,0.0,287.8628616666666,287.8628616666666,0,3594.105,0.0,0
